ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5
65535,57,1.44117647058824,0.647058823529412,1.35294117647059,0.794117647058823,0.294117647058824,0.647058823529412,11.5588235294118,7.76470588235294,0.441176470588235,1.55882352941176,0.323529411764706,0.117647058823529,3.05882352941176,1.14705882352941,0.323529411764706,2.20588235294118,0.235294117647059,0.294117647058824,1.52941176470588,0.0882352941176471,1.35294117647059,0.617647058823529,6.91176470588235,1.55882352941176,1.58823529411765,4.11764705882353,1.02941176470588,63.1470588235294,0.647058823529412,0.558823529411765,3262,1946,0.779799290341542,0.871794871794872,0.755555555555556,57,21.155,8.7965288244724,5.50688746849161,-6.70132365255707,192.411764705882,5.02941176470588,0,0,0,0,0,0,0
65535,114,1.46296296296296,0.555555555555556,1.03703703703704,0.722222222222222,0.407407407407407,0.37037037037037,13.1481481481481,7.62962962962963,0.425925925925926,1.94444444444444,0.203703703703704,0.148148148148148,6.38888888888889,1.27777777777778,0.259259259259259,1.37037037037037,0.314814814814815,0.185185185185185,1.74074074074074,0.12962962962963,2.53703703703704,0.925925925925926,23.5925925925926,1.87037037037037,4.40740740740741,3.7962962962963,0.648148148148148,56.8888888888889,0.925925925925926,0.703703703703704,6525,3091,0.737888876334786,0.964285714285714,0.675,57,24.819,10.2840049833733,6.94090349772842,26.0977018303873,148.055555555556,8.92592592592593,0,0,0,0,0,0,0
65535,172,2.46875,0.34375,0.90625,0.65625,0.375,0.3125,13.09375,7.03125,0.25,1.09375,0.25,0.0625,6.46875,1.78125,0.46875,1.875,0.125,0.34375,2.46875,0.09375,1.5,0.53125,17.28125,0.75,9.21875,2.40625,0.5,67.0625,0.59375,0.53125,9845,1832,0.679196348412439,0.96969696969697,0.761904761904762,57,17.417,7.57703371358095,5.56121405539513,30.5531370604838,107.28125,10.6875,0,0,0,0,0,0,0
65535,229,114,0.347826086956522,0.739130434782609,1.1304347826087,0.521739130434783,0.217391304347826,11.6086956521739,5.52173913043478,0.173913043478261,1.34782608695652,0.0869565217391304,0.0434782608695652,4.73913043478261,1.08695652173913,0.478260869565217,1.08695652173913,0.0434782608695652,0.217391304347826,1.39130434782609,0.217391304347826,1.43478260869565,0.260869565217391,1.26086956521739,0.782608695652174,172,2.56521739130435,0.695652173913043,47.7391304347826,0.434782608695652,0.652173913043478,13107,1316,0.740890431247254,57,0.657142857142857,57,14.994,6.78425552727138,4.55648182198963,26.0986037745307,550.347826086957,11.0434782608696,0,0,0,0,0,0,0
65535,286,1.78125,0.40625,1.1875,0.4375,0.40625,0.09375,9.375,8.59375,0.3125,114,0.21875,0.125,4.5625,1.59375,0.25,114,0.1875,0.3125,2.34375,0.03125,2.15625,0.6875,2.53125,2.53125,4.40625,3.40625,0.34375,55.28125,0.71875,0.59375,16369,1832,0.747453578559088,0.941176470588235,0.571428571428571,57,19.121,8.12241021295162,5.39583116852315,42.2389594458435,266.53125,12.6875,0.5,57,687,0,0,0,0
65535,343,1.48148148148148,0.592592592592593,1.44444444444444,57,0.518518518518518,0.296296296296296,13.1481481481481,5.25925925925926,0.222222222222222,1.11111111111111,0.481481481481481,0.111111111111111,114,1.51851851851852,0.296296296296296,1.7037037037037,0.222222222222222,0.333333333333333,1.59259259259259,0,0.962962962962963,0.333333333333333,5.33333333333333,0.962962962962963,1.14814814814815,3.22222222222222,0.62962962962963,67.7407407407407,0.518518518518518,0.481481481481481,19632,1545,0.720439069258677,0.964285714285714,0.771428571428571,57,16.383,7.248734632961,5.02712967585272,-83.6305676905519,286.962962962963,12.0740740740741,0,0,0,0,0,0,0
65535,401,229,1.80952380952381,2.42857142857143,1.19047619047619,1.28571428571429,0.904761904761905,16.8571428571429,10.5714285714286,0.571428571428571,3.0952380952381,0.333333333333333,0.619047619047619,6.57142857142857,2.61904761904762,1.28571428571429,2.95238095238095,0.619047619047619,0.428571428571429,7.90476190476191,0.0476190476190476,2.80952380952381,1.42857142857143,6.57142857142857,2.04761904761905,286,5.61904761904762,1.38095238095238,75.0952380952381,1.33333333333333,0.80952380952381,22952,1202,0.949264245256388,0.875,0.7,57,21.064,10.4404153360801,3.28329720484063,-87.9029086058046,323.142857142857,11.4285714285714,0,0,0,0,0,0,0
65535,458,1.61904761904762,0.428571428571429,1.28571428571429,1.66666666666667,0.0952380952380952,0.19047619047619,11.7142857142857,6.28571428571429,0.238095238095238,1.04761904761905,0.142857142857143,0.0476190476190476,2.33333333333333,1.04761904761905,0.0476190476190476,1.52380952380952,0.333333333333333,0.238095238095238,2.14285714285714,0.0952380952380952,1.80952380952381,0.80952380952381,1.23809523809524,1.19047619047619,2.04761904761905,3.33333333333333,0.666666666666667,51.5714285714286,0.761904761904762,0.80952380952381,26214,1202,0.827012246207894,57,0.75,57,14.415,7.02376916856849,3.9486499888815,18.434948822922,1326.85714285714,12.5714285714286,0,0,0,0,0,0,0
65535,515,3.5,0.924242424242424,1.34848484848485,0.560606060606061,0.651515151515151,0.333333333333333,11.9848484848485,8.63636363636364,0.560606060606061,2.48484848484848,0.378787878787879,0.227272727272727,4.93939393939394,2.07575757575758,0.363636363636364,2.06060606060606,0.439393939393939,0.272727272727273,2.1969696969697,0.0757575757575758,3.03030303030303,1.16666666666667,29.9393939393939,1.74242424242424,9.3030303030303,3.60606060606061,0.696969696969697,55.6212121212121,1.21212121212121,0.863636363636364,29476,3778,0.540870760453721,0.868421052631579,0.666666666666667,57,30.55,10.3900885000405,8.73916279623745,9.19324029813463,1209.48484848485,12.9545454545455,0,0,0,0,0,0,0
65535,572,1.27272727272727,0.272727272727273,1.04545454545455,0.454545454545455,0.272727272727273,0.181818181818182,10.0454545454545,343,0.181818181818182,1.09090909090909,0.272727272727273,0.136363636363636,1.72727272727273,0.954545454545455,0.0909090909090909,0.727272727272727,0.363636363636364,0,1.18181818181818,0,1.09090909090909,0.454545454545455,3.18181818181818,1.68181818181818,1.27272727272727,2.27272727272727,0.318181818181818,56.6818181818182,0.181818181818182,0.772727272727273,32739,1259,0.797821724736445,0.916666666666667,0.628571428571429,57,15.184,7.0768984922415,4.26661565036277,-2.37935375186621,1046.95454545455,16.8181818181818,0,0,0,0,0,0,0
65535,630,0.836734693877551,0.306122448979592,0.959183673469388,1.06122448979592,0.326530612244898,0.306122448979592,10.2244897959184,4.73469387755102,0.224489795918367,2.04081632653061,0.183673469387755,0.102040816326531,5.40816326530612,1.08163265306122,0.244897959183673,1.24489795918367,0.224489795918367,0.244897959183673,2.44897959183673,0.0612244897959184,2.20408163265306,0.775510204081633,1.04081632653061,1.81632653061224,3.46938775510204,5.14285714285714,0.693877551020408,53.1224489795918,0.795918367346939,0.428571428571429,36059,2805,0.857825669688907,0.98,0.604938271604938,57,23.992,11.2409415498707,5.77717821422346,-45.9240699156078,657.040816326531,16.3469387755102,0,0,0,0,0,0,0
65535,687,1.63291139240506,0.455696202531646,0.645569620253165,0.518987341772152,0.253164556962025,0.316455696202532,10.253164556962,8.13924050632911,0.20253164556962,2.46835443037975,0.151898734177215,0.151898734177215,5.31645569620253,1.41772151898734,0.10126582278481,1.73417721518987,0.253164556962025,0.20253164556962,2.36708860759494,0.0506329113924051,2.13924050632911,0.518987341772152,2.9493670886076,1.78481012658228,5.69620253164557,3.37974683544304,0.721518987341772,56.253164556962,0.987341772151899,0.379746835443038,39321,4522,0.816504236865122,0.94047619047619,0.658333333333333,57,31.187,13.4703328371455,7.776954442497,34.6855948057995,258.772151898734,18.1392405063291,0.3,57,286,0,0,0,0
65535,744,2.55,0.35,1.75,0.55,0.25,0.45,5.9,6.3,0.45,1.7,0.1,0,4.3,1.05,0.4,1.15,0.25,0.15,1.85,0,1.4,0.55,2.35,1.3,2.5,4.6,0.7,50.2,0.85,0.35,42583,1145,0.268543077764787,57,0.8,57,12.827,5.26624470883507,5.07280330126581,2576,351.25,24.25,0,0,0,0,0,0,0
65535,801,2.75,1.33333333333333,2.66666666666667,0.944444444444444,0.861111111111111,0.75,19.4722222222222,6.94444444444444,0.611111111111111,1.08333333333333,0.166666666666667,0.138888888888889,3.36111111111111,1.69444444444444,0.416666666666667,2.11111111111111,0.5,0.361111111111111,2.19444444444444,0.194444444444444,2.13888888888889,0.805555555555556,32.6111111111111,1.55555555555556,2.30555555555556,3.44444444444444,0.777777777777778,59.8333333333333,1.16666666666667,0.972222222222222,45846,2060,0.537306497934236,57,0.857142857142857,57,18.062,7.43521633018375,6.27076521606206,17.0294201232146,506.138888888889,23.6111111111111,0,0,0,0,0,0,0
65535,859,3.09090909090909,1.48484848484848,1.75757575757576,1.36363636363636,1.15151515151515,0.848484848484849,18.1212121212121,8.21212121212121,0.696969696969697,2.15151515151515,0.545454545454545,0.454545454545455,4.15151515151515,2.24242424242424,0.545454545454545,114,0.545454545454545,0.212121212121212,3.51515151515152,0.212121212121212,2.06060606060606,0.666666666666667,5.93939393939394,2.03030303030303,3.48484848484848,4.78787878787879,1.42424242424242,66.9090909090909,1.21212121212121,1.06060606060606,49166,1889,0.7759418413033,0.891891891891892,0.611111111111111,57,22.586,8.88878706196868,5.60708646743529,-18.7605594435182,590.575757575758,23.8484848484848,0,0,0,0,0,0,0
65535,916,3.13793103448276,0.241379310344828,1.10344827586207,0.96551724137931,0.551724137931034,0.379310344827586,7.93103448275862,6.89655172413793,0.310344827586207,2.17241379310345,0.241379310344828,0.0689655172413793,9.03448275862069,1.17241379310345,0.275862068965517,1.41379310344828,0.137931034482759,0.206896551724138,2.55172413793103,0.103448275862069,1.68965517241379,0.482758620689655,2.10344827586207,1.41379310344828,3.13793103448276,4.58620689655172,0.827586206896552,60.2068965517241,1.03448275862069,0.551724137931034,52428,1660,0.65331414711257,0.966666666666667,0.805555555555556,57,16.474,7.11169899959096,5.38417438901321,-51.6751962957213,169.551724137931,32.3103448275862,0,0,0,0,0,0,0
65535,973,4.63157894736842,1.42105263157895,5.13157894736842,1.13157894736842,1.63157894736842,1.36842105263158,8.13157894736842,6.47368421052632,0.684210526315789,3.23684210526316,0.684210526315789,0.5,3.57894736842105,1.47368421052632,0.657894736842105,1.57894736842105,0.710526315789474,0.315789473684211,2.42105263157895,0.263157894736842,1.68421052631579,1.15789473684211,31.0789473684211,1.89473684210526,0.868421052631579,4.47368421052632,1.18421052631579,62.3421052631579,1.36842105263158,1.10526315789474,55690,2175,0.789276668966326,0.883720930232558,0.59375,57,22.197,9.51547505166654,5.84286074679119,-50.4121559108042,612.210526315789,35.5263157894737,0,0,0,0,0,0,0
65535,1030,1.02777777777778,0.5,1.36111111111111,0.972222222222222,0.333333333333333,0.277777777777778,8.63888888888889,5.75,0.444444444444444,1.97222222222222,0.416666666666667,0.222222222222222,2.55555555555556,1.41666666666667,0.138888888888889,1.63888888888889,0.138888888888889,0.166666666666667,2.61111111111111,0.0555555555555556,1.97222222222222,0.805555555555556,3.08333333333333,1.61111111111111,2.88888888888889,5.5,0.638888888888889,61.0555555555556,0.722222222222222,0.472222222222222,58953,2060,0.74784365028717,0.947368421052632,0.75,57,19.013,8.43903621985154,5.60246427490964,-13.2150161313219,424.611111111111,43.6388888888889,0,0,0,0,0,0,0
65535,1087,1.10344827586207,0.413793103448276,1.48275862068966,1.79310344827586,0.310344827586207,0.310344827586207,7.41379310344828,5.58620689655172,0.413793103448276,0.96551724137931,0.482758620689655,0.0344827586206897,2.31034482758621,1.93103448275862,0.241379310344828,1.31034482758621,0.172413793103448,0.137931034482759,1.48275862068966,0,1.37931034482759,0.482758620689655,5.37931034482759,57,1.68965517241379,3.96551724137931,0.620689655172414,73.448275862069,0.793103448275862,57,62215,1660,0.747755864307433,0.935483870967742,0.591836734693878,57,19.286,8.06665751308507,5.35604900114777,-45.5992408250593,110.068965517241,47.5172413793103,0,0,0,0,0,0,0
65535,1145,2.15625,0.484375,1.0625,0.453125,0.359375,0.28125,10.296875,6.984375,0.234375,2.1875,0.140625,0.125,5.328125,1.265625,0.296875,1.6875,0.15625,0.265625,1.6875,0.078125,2.109375,0.5625,6.515625,1.734375,6.046875,3.59375,0.59375,51.8125,0.8125,0.609375,65535,3663,0.50336023496389,0.984615384615385,0.8,57,26.853,9.92445556683083,8.57549041563614,7.68812562441309,336.953125,50.921875,0.290322580645161,57,1259,0,0,0,0
65535,1202,1.69230769230769,0.653846153846154,1.46153846153846,1.07692307692308,0.346153846153846,0.230769230769231,5.30769230769231,5.61538461538462,0.230769230769231,0.730769230769231,0.0769230769230769,0.115384615384615,2.84615384615385,1.26923076923077,0.307692307692308,0.923076923076923,0.153846153846154,0.192307692307692,114,0.0769230769230769,1.30769230769231,0.230769230769231,1.5,1.42307692307692,2.34615384615385,3.38461538461538,0.692307692307692,49.1538461538462,0.769230769230769,0.692307692307692,1202,1488,0.856353644205686,0.928571428571429,0.65,57,17.417,8.35265713643661,4.31322703316618,22.4156590569527,825.730769230769,50.3846153846154,0,0,0,0,0,0,0
65535,1259,1.48529411764706,0.573529411764706,0.882352941176471,0.705882352941177,0.294117647058824,0.338235294117647,6.35294117647059,6.69117647058824,0.279411764705882,1.44117647058824,0.323529411764706,0.102941176470588,3.29411764705882,1.22058823529412,0.132352941176471,1.41176470588235,0.264705882352941,0.411764705882353,1.25,0.0294117647058824,2.01470588235294,0.602941176470588,2.70588235294118,1.57352941176471,2.64705882352941,3.58823529411765,0.470588235294118,53.9411764705882,0.823529411764706,0.617647058823529,1259,3892,0.802182374221063,0.931506849315068,0.708333333333333,57,29.599,12.2924825640032,7.33958429053391,-66.9268735355774,345.75,55.1176470588235,0.27027027027027,57,1145,0,0,0,0
65535,1316,2.05797101449275,0.565217391304348,1.15942028985507,0.608695652173913,0.36231884057971,0.289855072463768,7.97101449275362,6.85507246376812,0.304347826086957,2.39130434782609,0.260869565217391,0.246376811594203,3.88405797101449,1.53623188405797,0.289855072463768,1.47826086956522,0.289855072463768,0.231884057971015,2.11594202898551,0.159420289855072,2.95652173913043,0.91304347826087,13.536231884058,1.85507246376812,5.94202898550725,3.92753623188406,0.63768115942029,43.9855072463768,0.855072463768116,0.710144927536232,1316,3949,0.624688403402515,0.971830985915493,0.784090909090909,57,27.333,10.6871305415945,8.34530370741673,5.62192370292388,1083.4347826087,55.3913043478261,0.212121212121212,57,1660,0,0,0,0
65535,1374,3.79166666666667,0.125,0.666666666666667,0.25,0.25,0.25,6.95833333333333,5.58333333333333,0.208333333333333,2.25,0.208333333333333,0.125,2.375,1.29166666666667,0.25,1.91666666666667,0.208333333333333,0.375,1.875,0.125,2.04166666666667,0.458333333333333,1.54166666666667,57,3.5,3.75,0.75,50.1666666666667,0.958333333333333,0.416666666666667,1374,1374,0.836022365670033,57,0.75,57,15.912,7.57554037293634,4.15666389363853,10.7238681635527,1095.5,56.5,0,0,0,0,0,0,0
65535,1431,2.04347826086957,0,0.608695652173913,0.217391304347826,0.217391304347826,0.217391304347826,18.3913043478261,7.43478260869565,0.260869565217391,1.26086956521739,0.130434782608696,0.0869565217391304,27.5217391304348,1.26086956521739,0.304347826086957,1.30434782608696,0.130434782608696,0.217391304347826,1.08695652173913,0,2.34782608695652,0.173913043478261,1.91304347826087,1.56521739130435,3.52173913043478,2.47826086956522,0.478260869565217,44.2173913043478,0.521739130434783,0.260869565217391,1431,1316,0.468230473974236,57,0.766666666666667,57,14.233,5.84893957000595,5.16816028211488,-20.7016414611857,590.782608695652,58.9130434782609,0,0,0,0,0,0,0
65535,1488,1.93939393939394,0.787878787878788,2.12121212121212,1.57575757575758,0.787878787878788,0.787878787878788,11.3636363636364,515,0.272727272727273,2.27272727272727,0.454545454545455,0.363636363636364,4.57575757575758,1.81818181818182,0.181818181818182,1.90909090909091,0.333333333333333,0.212121212121212,3.81818181818182,0.181818181818182,2.24242424242424,0.757575757575758,5.39393939393939,1.57575757575758,3.39393939393939,4.84848484848485,0.96969696969697,84.3030303030303,0.939393939393939,0.484848484848485,1488,1889,0.849480481496929,0.916666666666667,0.733333333333333,57,20.303,9.29135190146016,4.90230350545312,9.39694869971571,466.393939393939,60.5151515151515,0,0,0,0,0,0,0
65535,1545,2.89655172413793,0.448275862068966,1.13793103448276,0.413793103448276,0.586206896551724,0.551724137931034,10.3793103448276,7.96551724137931,0.448275862068966,1.51724137931034,0.137931034482759,0.0689655172413793,3.13793103448276,1.13793103448276,0.275862068965517,1.6551724137931,0.413793103448276,0.137931034482759,1.55172413793103,0.0344827586206897,1.06896551724138,0.310344827586207,3.17241379310345,0.931034482758621,2.44827586206897,4.37931034482759,0.310344827586207,41.5172413793103,0.482758620689655,0.586206896551724,1545,1660,0.694765434928786,0.935483870967742,0.69047619047619,57,17.508,7.44466989393588,5.35447752890072,-36.3108343270255,610.586206896552,64.3448275862069,0,0,0,0,0,0,0
65535,1603,2.75510204081633,0.795918367346939,1.6734693877551,0.959183673469388,0.795918367346939,0.571428571428571,11.1632653061224,7.08163265306122,0.530612244897959,2.79591836734694,0.408163265306122,0.26530612244898,3.26530612244898,1.97959183673469,6.20408163265306,1.6530612244898,0.428571428571429,0.306122448979592,5.26530612244898,0.244897959183673,2.40816326530612,0.918367346938776,3.02040816326531,1.93877551020408,4.28571428571429,10.4081632653061,1.10204081632653,54.9387755102041,1.04081632653061,0.836734693877551,1603,2805,0.539887379358257,0.98,0.765625,57,21.916,8.70322374378028,7.32582772140819,37.7637726313252,159.224489795918,62.6122448979592,0,0,0,0,0,0,0
65535,1660,2.375,0.517857142857143,1.57142857142857,0.678571428571429,0.517857142857143,0.660714285714286,10.6607142857143,6.35714285714286,0.267857142857143,1.58928571428571,0.25,0.214285714285714,4.19642857142857,1.33928571428571,0.339285714285714,1.71428571428571,0.446428571428571,0.303571428571429,1.80357142857143,0.196428571428571,1.92857142857143,0.75,11.6071428571429,1.55357142857143,4.96428571428571,3.67857142857143,0.839285714285714,46.2857142857143,1.03571428571429,0.535714285714286,1660,3205,0.828999035098165,0.811594202898551,0.509090909090909,57,32.502,12.2429267080597,6.84685716983143,34.5598901899375,1082.53571428571,65.2142857142857,0.138888888888889,57,1316,0,0,0,0
65535,1717,2.12820512820513,0.692307692307692,2.20512820512821,0.666666666666667,0.692307692307692,0.41025641025641,8.30769230769231,6.33333333333333,0.487179487179487,1.51282051282051,0.205128205128205,0.282051282051282,2.43589743589744,1.35897435897436,0.384615384615385,1.61538461538462,0.358974358974359,0.256410256410256,1.51282051282051,0.0512820512820513,1.46153846153846,0.692307692307692,7.87179487179487,1.28205128205128,1.56410256410256,3.76923076923077,57,69.5897435897436,0.923076923076923,1.05128205128205,1717,2232,0.414508899516702,0.975,0.795918367346939,57,19.195,7.47376306083503,6.80146263544631,24.1884456765973,1400.02564102564,67.7435897435897,0,0,0,0,0,0,0
