cell_ids,centroidX,centroidY,perimeters,areas,major_axes,minor_axes,orientations,eccentricities,Signal_01,Signal_02,Signal_03,Signal_04,Signal_05,Signal_06,Signal_07,Signal_08,Signal_09,Signal_10,Signal_11,Signal_12,Signal_13,Signal_14,Signal_15,Signal_16,Signal_17,Signal_18,Signal_19,Signal_20,Signal_21,Signal_22,Signal_23,Signal_24,Signal_25,Signal_26,Signal_27,Signal_28,Signal_29,Signal_30,Signal_31,Signal_32,Signal_33,Signal_34,Signal_35,Signal_36,Signal_37,Signal_38,Signal_39,Signal_40,Signal_41,Signal_42,Signal_43,Signal_44,Signal_45,Signal_46,Signal_47,Signal_48,Signal_49
1,159.213255618971,1284.09743941605,37.1564721440866,92.6257325410843,12.5048182577616,9.28816061964514,-56.3155203980253,0.669550493698173,935.664312200509,0.124726574198862,0.275941384022162,11.8296119253519,3.16132903751123,5.44819210467206,2.50248357479784,0.0602480158730159,1.24760922057502,0.334208033842468,2.26172169811321,0.668613310497155,0.266519120619946,4.29615846810422,2.89836112982929,13.8420947514226,1.8197009302935,2.11512648809524,0.150548068283917,0.872787651617251,0.556213171982629,0.555349655585505,0.363939942722372,0.228809757786762,0.697501544249775,0.571944584830787,0.0245622285864031,2.77417817834681,1.09824133348308,0.840092888963762,3.0784291704103,0.628666329739443,0.942325359389039,0.555799640610961,2.35189554320156,6.46078401093142,0.410355879380054,5.43629899483378,7.31068148210542,2.84288624962564,0.441091503818509,0.146220893231506,1.110438754118,18.2534728773585,35.9255500804882,16.4003406708595,24.4288714341869,45.8911640367625,0.154061751272836
2,1124.92765301994,506.880803014591,35.0644285358917,80.079781761393,12.7132354510037,8.13504981898382,23.3434743692146,0.768467985137789,957.637363887556,0.116970074337286,0.20684873125218,14.4535815693669,3.64603132084932,5.43354786144053,3.08983592932508,0.190527473186257,6.16825225627834,0.83883204896233,8.27173864230904,0.90389635834496,0.559779059121032,1.87525181483258,4.10584719436693,32.9140397737182,4.02412220417684,3.92386774611964,0.161107592867108,0.897251373386815,0.831121789980816,0.394125092649111,0.488524889911057,0.341712073814091,1.15315192274154,0.692217147715382,0.103813709888385,3.58676036035054,1.26022917029996,1.32645846049878,6.14546567077956,0.656809055633066,1.47093638276073,0.590790351412626,0.388119250305197,13.5538020197506,0.463917013646669,1.85525742827869,4.25363819432333,4.80146284770666,0.494624580354029,0.265520388254273,1.8004243329264,18.9498835346181,37.3991096420474,13.9830712907656,18.5499942503052,23.9399617413673,0.190668408833275
3,167.51283431526,52.024795049171,30.1920314300759,64.7384783814778,11.1632948182929,7.49144406750406,-82.0771209037904,0.741386549951341,957.076239099911,0.111316693762932,0.193166106266627,12.5533053595182,3.16890407921963,5.28548306791309,2.86636094073308,0.325861522686964,14.5823193171741,0.728217235072421,5.70406540976944,0.738060938885605,0.247384209651197,3.87668946755838,2.13608349652675,11.3890047664795,2.54294815067987,4.10545276936151,0.128398703074195,0.7295545743423,0.566305054685191,0.537080577519953,0.384156120676914,0.364571755838014,0.933097056976057,0.645122395063553,0.0424268400827668,2.26973849024534,0.824810403118534,0.919885549068874,3.09772428318061,0.522227543969849,1.1097574730269,0.501998595920781,0.94509251219332,2.23415048588531,0.409595311114395,2.18388093962459,16.5555150753769,1.96301872413538,0.377974015297073,0.402041688220514,0.800795983594443,19.7556735885309,39.0560037318948,12.157395340674,14.535802126441,13.366852599394,0.191069224800473
4,1081.30320545453,387.462500700037,38.7024956758075,111.16681676358,12.7342867212888,11.0972048470517,1.40670632324953,0.490496811271864,947.504519936709,0.166928164556962,0.123958860759494,8.53977064873417,3.03792737341772,5.11768144778481,2.82651526898734,0.0953131329113924,1.25510071202532,4.71216712816456,12.7392602848101,0.660088607594937,0.237132871835443,2.96002567246835,10.4834901107595,1.20899208860759,0.933971162974684,0.950882080696203,1.33987796677215,0.710621716772152,0.601838212025316,0.509616890822785,0.285145846518987,0.339266851265823,0.45970996835443,0.821074169303798,0.0675740901898734,1.42641835443038,1.03506578322785,0.499231764240506,5.42016863132911,0.431282397151899,0.763124327531645,4.01723880537975,0.868235799050633,0.62539335443038,0.331488132911393,4.55333682753164,9.66289734968355,1.82999758702532,0.716112341772151,0.122637460443038,0.717031606012659,13.8141852056962,27.5433232990506,12.9291969936709,55.4213447389241,10.275996875,0.239004628164557
5,450.680419083978,373.022070117709,38.3690239347426,105.28627371788,12.7137704772308,10.3636049190888,-3.36291691139614,0.579252703253368,942.137738877624,0.088044678355598,0.115031011450382,13.0287241869434,3.44049546755725,5.24979716324745,2.7441075759383,0.419789887484097,0.874338790155852,0.244130427003817,5.59429279977736,0.801571505248092,0.379796855120865,3.94730621819338,12.5597514412373,10.0514777453085,2.00206650564567,2.04475413486005,0.215354494672392,1.0862378836673,0.628154937977099,1.65029398258588,0.28193498528944,0.379425671914758,0.751203870467557,0.651220270753817,0.0567379731234097,2.31443208293575,1.11984131480598,0.890999105438931,3.46956432888041,0.713103957935751,1.11353286020992,0.698629572201018,1.71536468272901,4.59843394163486,0.376478858540076,5.9221524033874,9.55954281965649,2.00854272026081,0.529891569258905,0.128524113390585,0.873066177639949,14.3173848202926,28.2234297073791,16.1306655633747,30.107569646549,58.5167955828562,0.321375188851781
6,792.563442857941,870.537774583423,37.3189330594879,79.8840153794736,14.7837506351018,6.95182193890476,4.09036961684956,0.88254178462463,951.275886824324,0.117489913200098,0.0695307412080755,14.4166254757204,3.3794201298437,5.65234088804543,2.87099345439189,0.334484263065777,1.04108774625529,1.11876869810322,4.30148255606887,0.645241841521491,0.253336784638554,11.2797890675879,3.98143825301205,3.5435964084378,1.36775206823917,2.34128204117144,0.252998374409801,0.956734433511071,0.980927107924943,0.59716513859492,0.261082696495441,0.346410027780039,0.886019479098828,0.69888409211169,0.0154488307961576,1.75725556363969,1.35092428412976,1.04914421198307,3.63270845205145,0.523029321678606,0.844829783661674,0.688974351799088,2.42662705297542,1.88541611547541,0.498339175960599,4.50252984064637,10.9306947808124,2.38419603244057,0.502016660391566,0.271655901477532,0.724747066814555,26.1456947299332,47.5432115709459,14.682139177487,16.7270777154225,24.3078886915907,0.206426741594757
7,166.230633354479,210.309679305198,37.5660564971401,98.9456419257913,13.4345109170256,8.88448733856325,88.977256847758,0.750105434871865,951.855236730013,0.0784090350589777,0.192586418741809,13.64109702654,3.21413867955439,5.24583408420708,2.75327510648755,0.373892119921363,1.83642959534731,6.36226941349935,7.38322575360419,1.03942128112713,0.331059755897772,4.09417390235911,9.74993651703801,8.64988409239843,1.5594186189384,1.54064752621232,0.169513433813893,1.38921567824377,0.825454005570118,5.68648038171691,0.228215719200524,0.389457323066841,0.631491440039318,0.500855381716907,0.0360519741153342,2.50512020806029,1.32672325524246,0.736739023591088,3.40632925131062,0.472723623853211,1.26838855668414,0.567447780144168,0.714249877129751,4.10368549311927,0.315388679554391,5.86464551933159,1.60033543577982,1.57655860910878,0.752707650720839,0.140042185452163,0.974035673328964,10.8623761058322,22.0313722558978,15.29343586173,34.350869921363,46.517591128768,0.181136345019659
8,483.210641693891,482.833312162739,39.3248164895263,104.098446235992,13.8850040702295,9.49774563366143,-40.7990421862519,0.729454802561477,950.961642492968,0.161630515998594,0.169810346343179,10.7071004746835,3.45543660996836,5.40036167150141,2.51109957366385,0.232111902250352,1.89395108122363,0.272834036568214,2.53839700905415,0.585763559247539,0.578080663238396,3.45362990066807,2.48063917457806,20.9464171281646,2.47730364363572,2.59638235100211,0.141267416051336,0.96528948004571,0.761755010548523,0.52872621088256,0.653590398646273,0.257271503604079,0.73327372318917,0.500152569004922,0.0900818609353024,2.09985556214838,1.02041111770394,0.642502252549227,3.84704416095288,0.647660260636428,0.804529601793249,0.643765108561885,1.67457586146273,10.0553965036041,0.44541485363924,3.19425440620605,7.19277590981012,3.46701608649789,0.582743550017581,0.165691148030942,0.989501911919831,19.4091232089487,36.1607599331927,11.6784632120253,15.2371994769691,27.994883801424,0.191893899437412
9,731.545838713551,1483.00514718193,39.1613275508386,111.446438387036,13.4720448055316,10.2096246288296,-17.1850299535684,0.652443014985092,947.51049202086,0.0873616883626098,0.166832261606023,10.8044471455458,3.5106325086261,5.55281606806775,2.81150699890213,0.0970601866373902,1.4882424325596,1.14272214162484,0.366029936480552,0.460632508626098,0.265265468161857,5.38885102336889,4.63459208359473,9.38070808500628,2.86389266389586,1.10212648996236,0.0843343593161857,1.23934316185696,0.580516860100377,0.722012958751569,0.148840221141782,0.314857590966123,0.715743138331242,0.721632626254705,0.0337650760664994,4.90154232669385,1.23207736041405,1.44711796188833,3.53806287249059,0.527807716436637,1.97999594181305,0.577791679736512,0.307460594416562,3.85097012233375,0.404788523368883,13.6464193851945,7.95298898212045,2.32178256351945,0.610357571361355,0.107387213770389,1.31834222082811,24.1884533210477,49.0336782269448,16.4421163739021,23.3856692479611,38.3242157504705,0.193684147584693
10,776.979388743455,338.543880587819,46.6429615836636,148.016158208251,16.5094688414347,11.3852380963652,-14.6238389823962,0.724172684743357,948.008826666809,0.107543873467302,0.208221144839918,14.0125101434775,3.44362155143052,5.50355380407016,2.9867871253406,0.226638166297684,2.3050779972752,18.7346980585831,5.57666562712875,1.0162002192609,0.20543448782357,2.79012685200954,16.1756194652589,10.8210610950272,1.9617363440906,2.12370017668597,0.204049259196185,1.26780119635559,0.870270340173706,2.63778068588215,0.368617304581063,0.575497285848093,0.728010122190055,0.797249073995231,0.0882302239441417,2.35063166297684,1.19738038572888,0.84222305006812,3.7115107182391,0.741333712959809,1.02341368996935,0.537359502724796,0.795479755619891,3.82863261026907,0.59155615633515,9.875409996594,10.48776171875,1.90538157782698,1.02050863206744,0.223534560200954,0.964270914935286,17.0476125042575,32.9090875659911,15.9286698526907,43.9019541574421,50.910557039765,0.16026397522139
