ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_6_ALS_M_FrontalCrtx_240424_2_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4
442501,501,0.653179191,0.132947977,0.473988439,0.10982659,0.034682081,0.028901734,1.121387283,1.843930636,0.046242775,0.653179191,0.040462428,0.011560694,5.202312139,0.277456647,0.098265896,0.335260116,0.028901734,0.080924855,0.138728324,0.005780347,0.294797688,0.167630058,3.641618497,0.167630058,0.624277457,0.404624277,0.092485549,8.907514451,0.057803468,0.132947977,41196,173,0.800459849,0.915343915,0.700404858,1,49.232,19.52288829,11.70175331,75.97905835,247.3121387,581.0867052,0.603448276,3,487,492,502,0
442501,502,0.315384615,0.1,0.423076923,0.053846154,0.015384615,0.030769231,0.446153846,0.876923077,0.038461538,0.446153846,0.030769231,0.038461538,1.107692308,0.169230769,0.253846154,0.130769231,0.053846154,0.030769231,0.2,0,0.223076923,0.176923077,7.030769231,0.115384615,0.307692308,0.253846154,0.084615385,5.453846154,0.046153846,0.069230769,41278,130,0.766861863,0.948905109,0.8125,1,39.498,16.16082699,10.3722157,82.81908358,257.3307692,578.6923077,0.520833333,2,487,501,0,0
442501,503,0.754966887,0.125827815,0.456953642,0.112582781,0.013245033,0.039735099,0.642384106,1.430463576,0.052980132,0.543046358,0.026490066,0.046357616,2.801324503,0.185430464,0.635761589,0.258278146,0.01986755,0.092715232,0.761589404,0,0.298013245,0.291390728,5.38410596,0.145695364,0.364238411,0.456953642,0.072847682,6.357615894,0.033112583,0.099337748,41360,151,0.362751952,0.961783439,0.671111111,1,42.261,14.54902638,13.55803013,45.38974316,638.7284768,583.3311258,0.148148148,2,491,518,0,0
442501,504,0.669291339,0.118110236,0.346456693,0.05511811,0,0.015748031,0.716535433,1.228346457,0.05511811,0.535433071,0.031496063,0.015748031,2.031496063,0.299212598,0.094488189,0.251968504,0.05511811,0.031496063,0.133858268,0,0.25984252,0.125984252,5.527559055,0.118110236,0.267716535,0.417322835,0.086614173,7.322834646,0.05511811,0.181102362,41442,127,0.489419745,0.962121212,0.75147929,1,37.472,13.69933859,11.94648552,41.82627385,582.2283465,584.976378,0,0,0,0,0,0
442501,505,0.260869565,0.097826087,0.5,0.010869565,0.086956522,0.086956522,0.358695652,1.413043478,0.010869565,0.52173913,0.02173913,0.043478261,1.184782609,0.206521739,0.054347826,0.336956522,0.054347826,0.043478261,0.130434783,0.043478261,0.25,0.206521739,6.163043478,0.22826087,0.141304348,0.467391304,0.065217391,8.032608696,0.086956522,0.173913043,41525,92,0.529687475,0.92,0.696969697,1,33.982,11.91865553,10.10931888,46.11038561,394.5978261,587.5,0.45,1,497,0,0,0
442501,506,0.481012658,0.088607595,0.335443038,0.056962025,0.012658228,0.037974684,0.898734177,0.911392405,0.037974684,0.569620253,0.050632911,0.025316456,3.196202532,0.227848101,0.094936709,0.215189873,0.025316456,0.044303797,0.208860759,0,0.284810127,0.183544304,8.462025316,0.158227848,0.227848101,0.253164557,0.082278481,5.96835443,0.088607595,0.101265823,41607,158,0.244477497,0.957575758,0.806122449,1,42.798,14.48781125,14.04817813,51.85625493,429.8607595,586.8101266,0,0,0,0,0,0
442501,507,0.626506024,0.144578313,0.415662651,0.036144578,0.012048193,0.042168675,0.578313253,1.048192771,0.042168675,0.457831325,0.06626506,0.042168675,2.445783133,0.15060241,0.15060241,0.174698795,0.048192771,0.042168675,0.192771084,0.012048193,0.289156627,0.168674699,7.21686747,0.120481928,0.228915663,0.343373494,0.078313253,5.819277108,0.048192771,0.090361446,41689,166,0.526869692,0.970760234,0.741071429,1,42.914,15.83731657,13.46086503,-24.94335224,45.40361446,589.2951807,0,0,0,0,0,0
442501,508,0.4,0.181818182,0.472727273,0.090909091,0.018181818,0.018181818,0.545454545,1,0.036363636,0.454545455,0,0.036363636,1.963636364,0.327272727,0.036363636,0.327272727,0.090909091,0.018181818,0.145454545,0,0.145454545,0.236363636,8.254545455,0.072727273,0.309090909,0.218181818,0.109090909,6.381818182,0.036363636,0.363636364,41771,55,0.617324307,0.763888889,0.509259259,1,31.741,10.49523264,8.256691636,-10.9650548,815.8545455,587.6181818,0.588235294,1,510,0,0,0
442501,509,0.590733591,0.166023166,0.312741313,0.084942085,0.034749035,0.05019305,0.671814672,1.146718147,0.034749035,0.50965251,0.042471042,0.069498069,2.108108108,0.235521236,0.065637066,0.235521236,0.038610039,0.011583012,0.223938224,0.003861004,0.277992278,0.193050193,8.664092664,0.115830116,0.277992278,0.482625483,0.061776062,6.644787645,0.069498069,0.127413127,41854,259,0.733877523,0.948717949,0.750724638,1,57.428,22.12500671,15.02911467,0.0065313,85.22007722,590.3243243,0,0,0,0,0,0
442501,510,0.626666667,0.2,0.613333333,0.106666667,0.04,0.04,0.96,1.76,0.053333333,0.946666667,0.013333333,0.013333333,2.186666667,0.24,0.066666667,0.2,0.066666667,0.066666667,0.146666667,0.04,0.493333333,0.16,6.733333333,0.293333333,0.546666667,0.48,0.066666667,11.46666667,0.066666667,0.186666667,41936,75,0.576649741,0.986842105,0.9375,1,29.64,11.00904293,8.994294263,-7.698848197,817.56,594.4266667,0.911764706,3,508,525,526,0
