ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_190Os_190Os,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_7_Control_M_Cerebellum_240424_1,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11
65535,10,0.368421053,0.105263158,0.333333333,0.105263158,0,0.052631579,2.614035088,1.473684211,0.070175439,0.578947368,0.01754386,0,7.263157895,0.350877193,0.070175439,0.473684211,0.140350877,0.140350877,0.49122807,0,0.631578947,0.298245614,5.912280702,0.228070175,0.98245614,0.824561404,0.105263158,15.14035088,0.070175439,0.263157895,0,16.31578947,28.8245614,96,549,0.658904238,0.95,0.647727273,10,25.489,10.03595446,7.549314213,-12.40514623,823.1403509,5.789473684,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,19,3.302631579,0.328947368,0.657894737,0.157894737,0.039473684,0.078947368,4.763157895,3.342105263,0.105263158,0.434210526,0.078947368,0.105263158,16.84210526,0.842105263,0.328947368,0.526315789,0.118421053,0.118421053,1.052631579,0.039473684,0.657894737,0.276315789,2.355263158,0.368421053,2.539473684,0.763157895,0.171052632,22.75,0.184210526,0.131578947,0.052631579,13.93421053,26.13157895,183,732,0.837041876,0.844444444,0.678571429,10,35.942,13.8529723,7.579499041,-11.1319609,57.35526316,6.407894737,0.790697674,29,289,655,693,0,0,0,0,0,0,0,0
65535,29,0.357142857,0.053571429,0.25,0.071428571,0.035714286,0.071428571,1.464285714,0.839285714,0.053571429,0.535714286,0.053571429,0.035714286,3.857142857,0.446428571,0.071428571,0.321428571,0.053571429,0,0.5,0.017857143,0.232142857,0.125,6.5,0.196428571,0.392857143,0.678571429,0.107142857,12.55357143,0.107142857,0.125,0.017857143,13.53571429,27.28571429,279,539,0.824543811,0.918032787,0.622222222,10,25.861,11.40528198,6.453087011,-58.8901237,669.9285714,6.232142857,0.696969697,29,87,385,443,0,0,0,0,0,0,0,0
65535,39,0.360655738,0.213114754,0.229508197,0.196721311,0.131147541,0.049180328,2.573770492,1.672131148,0.06557377,0.62295082,0.016393443,0.032786885,2.475409836,0.442622951,0.131147541,0.639344262,0.032786885,0.049180328,0.62295082,0.016393443,0.606557377,0.475409836,3.721311475,0.196721311,0.737704918,0.819672131,0.06557377,18.01639344,0.049180328,0.278688525,0,15.90163934,30.29508197,375,587,0.806976909,0.847222222,0.521367521,10,31.377,12.35016511,7.293797442,29.89374189,703.1639344,7.262295082,0.684210526,19,241,664,0,0,0,0,0,0,0,0,0
65535,58,0.514285714,0.357142857,0.414285714,0.185714286,0.057142857,0.057142857,3.3,1.2,0.028571429,0.614285714,0.071428571,0.085714286,4.4,0.328571429,0.228571429,0.3,0.057142857,0.028571429,0.542857143,0.014285714,0.485714286,0.128571429,3.4,0.185714286,0.685714286,0.5,0.114285714,16.41428571,0.157142857,0.185714286,0,13.21428571,25.57142857,558,674,0.869455073,0.945945946,0.769230769,10,30.492,13.69316985,6.764590488,11.61108052,179.5428571,6.085714286,0.542857143,19,193,414,0,0,0,0,0,0,0,0,0
65535,67,0.388235294,0.164705882,0.317647059,0.082352941,0,0.035294118,0.976470588,1.035294118,0.094117647,0.282352941,0.023529412,0.035294118,3.752941176,0.352941176,0.176470588,0.352941176,0.035294118,0.058823529,0.435294118,0,0.494117647,0.282352941,4.423529412,0.117647059,0.4,0.352941176,0.058823529,11.43529412,0.047058824,0.176470588,0.011764706,12.52941176,24.43529412,645,818,0.748958635,0.923913043,0.726495726,10,32.485,13.03390443,8.636483449,-16.29217128,265.9294118,7.552941176,0.564102564,29,77,481,866,0,0,0,0,0,0,0,0
65535,87,0.666666667,0.238095238,0.357142857,0.071428571,0.023809524,0.119047619,3.547619048,1.214285714,0.047619048,0.547619048,0,0,6.071428571,0.428571429,0.166666667,0.452380952,0.166666667,0.023809524,0.404761905,0,0.571428571,0.428571429,3.785714286,0.19047619,0.619047619,0.785714286,0.095238095,15.26190476,0.119047619,0.261904762,0.023809524,16.71428571,31.0952381,838,404,0.895765574,0.7,0.35,10,30.724,13.01453984,5.785311177,-56.61084338,665.547619,7.785714286,10,19,29,385,0,0,0,0,0,0,0,0,0
65535,106,0.666666667,0.058823529,0.274509804,0.098039216,0.039215686,0.019607843,3.411764706,0.901960784,0.078431373,1.098039216,0.039215686,0.078431373,6.588235294,0.490196078,0.274509804,0.392156863,0.039215686,0.058823529,0.509803922,0.019607843,0.529411765,0.156862745,6.31372549,0.215686275,0.960784314,0.529411765,0,13.68627451,0.058823529,0.137254902,0.039215686,20.2745098,36.39215686,1021,491,0.648414275,0.80952381,0.6375,10,28.904,9.871001368,7.514671707,12.67840791,1128.196078,6.196078431,0.612903226,19,318,530,0,0,0,0,0,0,0,0,0
65535,116,0.153846154,0.134615385,0.134615385,0.057692308,0.019230769,0.019230769,1.653846154,0.884615385,0.019230769,0.692307692,0.019230769,0.038461538,0.942307692,0.153846154,0.076923077,0.25,0.019230769,0.019230769,0.230769231,0,0.403846154,0.230769231,3.615384615,0.230769231,0.269230769,0.423076923,0.057692308,9.461538462,0,0.115384615,0.019230769,13.23076923,25.01923077,1117,501,0.743459433,0.896551724,0.65,10,25.009,10.32741078,6.906776456,8.690049056,1206.038462,6.307692308,0.65625,10,472,0,0,0,0,0,0,0,0,0,0
65535,125,2.209302326,0.209302326,0.279069767,0.186046512,0.046511628,0.069767442,5.441860465,2.372093023,0.093023256,0.348837209,0.046511628,0.046511628,14.97674419,0.930232558,0.325581395,0.720930233,0.093023256,0.186046512,1.255813953,0.093023256,0.651162791,0.488372093,2.581395349,0.186046512,2.023255814,0.837209302,0.162790698,27.74418605,0.093023256,0.162790698,0,12.72093023,22.23255814,1203,414,0.437708416,0.955555556,0.671875,10,22.379,8.119674909,7.300537576,59.28330144,301.1860465,8.488372093,0,0,0,0,0,0,0,0,0,0,0,0,0
