ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,Selection,Sel01
65535,10344,2.458823529,0.188235294,0.4,0.035294118,0.070588235,0.082352941,0.541176471,1.658823529,0.117647059,1.011764706,0.070588235,0.035294118,8.341176471,0.352941176,0.494117647,0.352941176,0.094117647,0.047058824,0.541176471,0,0.541176471,0.223529412,0.529411765,0.247058824,0.705882353,0.470588235,0.164705882,4.494117647,0.094117647,0.070588235,20.75294118,38.34117647,10344,2064,0.656656782,0.85,0.505952381,24,36.646,12.56660722,9.477603791,58.83587812,160.9882353,63.81176471,0.543478261,49,9445,9882,0,0,0,0,0,0,0,0
65535,10368,1.841269841,0.079365079,0.333333333,0.047619048,0.126984127,0.111111111,0.317460317,0.873015873,0.031746032,0.492063492,0.031746032,0.111111111,4.206349206,0.317460317,0.142857143,0.158730159,0.063492063,0.079365079,0.238095238,0.047619048,0.365079365,0.206349206,0.777777778,0.126984127,0.428571429,0.396825397,0.111111111,4.063492063,0.031746032,0.063492063,23.88888889,45.71428571,10368,1530,0.494735058,0.984375,0.7,24,25.944,9.710165367,8.438559544,-86.75032686,311.5714286,62.85714286,0,0,0,0,0,0,0,0,0,0,0,0
65535,10392,3.304347826,0.130434783,0.246376812,0.202898551,0.014492754,0.043478261,1.144927536,1.971014493,0.043478261,0.536231884,0.086956522,0.086956522,2.739130435,0.594202899,0.144927536,0.637681159,0.115942029,0.028985507,0.376811594,0.028985507,0.594202899,0.449275362,0.449275362,0.246376812,0.695652174,1.202898551,0.086956522,10.76811594,0.014492754,0.115942029,18.5942029,37.31884058,10392,1675,0.768200837,0.932432432,0.627272727,24,29.128,12.06004588,7.720949064,50.22907212,762.4202899,1578,0.540540541,97,9130,10004,10611,12116,0,0,0,0,0,0
65535,10417,2.872340426,0.074468085,0.265957447,0.106382979,0.031914894,0.074468085,1.127659574,1.893617021,0.095744681,0.404255319,0.031914894,0.031914894,3.340425532,0.712765957,0.117021277,0.606382979,0.127659574,0.031914894,0.606382979,0.031914894,0.553191489,0.617021277,0.638297872,0.223404255,0.712765957,1.691489362,0.170212766,9.521276596,0.053191489,0.117021277,17.82978723,36.15957447,10417,2282,0.775914544,0.959183673,0.746031746,24,33.726,13.92399287,8.783784236,6.863442828,777.4680851,62.71276596,0.272727273,24,11145,0,0,0,0,0,0,0,0,0
65535,10441,5.613636364,0.136363636,0.272727273,0.045454545,0.034090909,0.079545455,1.340909091,2.090909091,0.090909091,1.284090909,0.079545455,0.056818182,6.045454545,0.465909091,0.102272727,0.556818182,0.045454545,0.079545455,0.829545455,0,0.590909091,0.477272727,10.04545455,0.295454545,2.488636364,0.840909091,0.136363636,9.75,0.022727273,0.102272727,44.44318182,80.68181818,10441,2137,0.678668113,0.946236559,0.676923077,24,32.866,12.63184536,9.277396816,68.46831221,1130.25,63.04545455,0.634146341,49,9203,11995,0,0,0,0,0,0,0,0
65535,10465,4.033333333,0.2,0.333333333,0.1,0.016666667,0.133333333,1.05,1.733333333,0.15,1.633333333,0.05,0.116666667,6.616666667,0.416666667,1.666666667,0.416666667,0.05,0.1,0.683333333,0,0.5,0.216666667,0.666666667,0.133333333,1.1,0.833333333,0.216666667,9.766666667,0.116666667,0.133333333,19.13333333,34.25,10465,1457,0.757234734,0.923076923,0.666666667,24,26.688,11.22372536,7.330695753,-35.12305094,1203.933333,62.61666667,0.470588235,49,8280,10101,0,0,0,0,0,0,0,0
65535,10489,2.0625,0.140625,0.265625,0.03125,0.046875,0.15625,0.65625,1.3125,0.03125,0.75,0.109375,0.078125,146,0.4375,0.171875,0.390625,0,0.03125,0.40625,0.015625,0.5,0.109375,0.59375,0.125,0.546875,0.484375,0.125,6.328125,0.0625,0.078125,20.203125,37.5625,10489,1554,0.550987592,0.914285714,0.581818182,24,28.946,10.44614597,8.717449155,71.17657177,200.34375,62.703125,0.540540541,49,8474,10878,0,0,0,0,0,0,0,0
65535,10514,3.523809524,0.047619048,0.261904762,0.047619048,0,0.047619048,0.666666667,1.142857143,0.214285714,0.666666667,0.047619048,0.071428571,6.30952381,0.333333333,0.571428571,0.428571429,0.047619048,0.047619048,0.642857143,0,0.547619048,0.285714286,0.595238095,0.119047619,0.30952381,0.69047619,0.142857143,6.5,0.047619048,0,20.26190476,37.83333333,10514,1020,0.622249912,0.933333333,0.583333333,24,22.024,8.548854115,6.692202481,30.87138961,215.0714286,62.9047619,0.928571429,121,9300,10684,10902,10927,11121,0,0,0,0,0
65535,10538,NaN,0.196428571,0.464285714,0.071428571,0.053571429,0.089285714,0.571428571,1.642857143,0.017857143,0.660714286,0,0.089285714,2.660714286,0.303571429,0.125,0.25,0.017857143,0.017857143,0.303571429,0.053571429,0.464285714,0.178571429,0.660714286,0.142857143,0.5,0.678571429,0.160714286,5.821428571,0.071428571,0.035714286,21.76785714,37.39285714,10538,1360,0.462522931,0.949152542,0.622222222,24,25.117,9.191725183,8.149450822,37.13838288,408.5178571,64.94642857,0.909090909,121,9033,10150,10732,10757,11315,0,0,0,0,0
65535,10562,NaN,0.123287671,0.232876712,0.054794521,0.054794521,0.068493151,1.561643836,2.383561644,0.04109589,1.369863014,0.082191781,0.068493151,17.93150685,0.753424658,0.328767123,0.506849315,0.095890411,0.068493151,0.561643836,0.04109589,0.575342466,0.178082192,1.232876712,0.260273973,2.219178082,1.095890411,0.178082192,11.02739726,0.095890411,0.082191781,22.93150685,39.80821918,10562,1773,0.748288515,0.948051948,0.675925926,24,30.145,12.18425258,8.082709345,-15.32962002,1235.356164,63.78082192,0.432432432,49,9227,10635,0,0,0,0,0,0,0,0
65535,10587,6.604651163,0.069767442,0.372093023,0.093023256,0.093023256,0.069767442,0.511627907,1.255813953,0.162790698,0.860465116,0.069767442,0,6.558139535,0.348837209,0.11627907,0.302325581,0.023255814,0.023255814,0.511627907,0,0.255813953,0.139534884,0.604651163,0.023255814,0.697674419,0.395348837,0.069767442,8.093023256,0.046511628,0.046511628,18.04651163,34.53488372,10587,1044,0.760022277,0.914893617,0.5375,24,23.62,9.620771903,6.252511002,24.22558605,1286.023256,63.76744186,0.966666667,73,9397,9955,10999,0,0,0,0,0,0,0
