ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_4_ALS_M_FrontalCrtx_240424_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7
622708,34,0.480225989,0.107344633,1.050847458,0.197740113,0.033898305,0.062146893,1.762711864,1.745762712,0.079096045,0.248587571,0.073446328,0.028248588,2.288135593,0.288135593,0.050847458,0.265536723,0.050847458,0.079096045,0.604519774,0.011299435,0.350282486,0.11299435,2.429378531,0.237288136,1.327683616,0.564971751,0.146892655,13.60451977,0.107344633,0.13559322,1936,177,0.538149596,0.951612903,0.702380952,1,46.197,16.51130481,13.91654239,-2.297703897,513.4463277,37.36723164,0.338983051,3,24,44,49,0,0,0,0
622708,35,0.777027027,0.168918919,0.817567568,0.141891892,0.067567568,0.081081081,0.858108108,1.824324324,0.027027027,0.337837838,0.047297297,0.02027027,2.513513514,0.236486486,0.054054054,0.310810811,0.067567568,0.033783784,0.310810811,0.006756757,0.432432432,0.243243243,0.756756757,0.256756757,0.628378378,0.817567568,0.128378378,13.2027027,0.141891892,0.175675676,1993,148,0.792710289,0.891566265,0.599190283,1,47.322,18.30859913,11.16089557,-4.421738413,79.14864865,37.60135135,0.442622951,2,22,39,0,0,0,0,0
622708,36,0.504347826,0.12173913,0.417391304,0.12173913,0.043478261,0.034782609,1.113043478,1.234782609,0.07826087,0.243478261,0.017391304,0.060869565,1.782608696,0.295652174,0.043478261,0.182608696,0.017391304,0.017391304,0.252173913,0.017391304,0.304347826,0.252173913,9.817391304,0.234782609,0.765217391,0.547826087,0.086956522,7.452173913,0.060869565,0.104347826,2050,115,0.601617172,0.950413223,0.68452381,1,36.455,13.69434111,10.93882828,-22.69714024,426.7478261,40.67826087,0,0,0,0,0,0,0,0,0
622708,37,0.875,0.083333333,0.645833333,0.21875,0.020833333,0.010416667,1.75,1.927083333,0.041666667,0.260416667,0.041666667,0.020833333,2.583333333,0.302083333,0.020833333,0.322916667,0.041666667,0.083333333,0.260416667,0,0.291666667,0.166666667,0.604166667,0.197916667,0.979166667,0.625,0.145833333,10.40625,0.052083333,0.135416667,2107,96,0.349823782,0.95049505,0.727272727,1,32.146,11.50193617,10.77519233,-88.06312743,725.0520833,40.34375,0,0,0,0,0,0,0,0,0
622708,38,0.309734513,0.044247788,0.336283186,0.132743363,0.008849558,0.008849558,0.991150442,1.061946903,0.053097345,0.17699115,0.008849558,0,1.345132743,0.150442478,0.03539823,0.14159292,0.044247788,0.053097345,0.132743363,0,0.230088496,0.230088496,5.053097345,0.079646018,0.548672566,0.548672566,0.07079646,7.221238938,0.03539823,0.061946903,2164,113,0.241534488,0.949579832,0.668639053,1,35.81,12.27963099,11.91605857,17.67586356,329.8318584,41.15929204,0.127659574,1,50,0,0,0,0,0,0
622708,39,0.268041237,0.072164948,1.041237113,0.12371134,0.030927835,0.041237113,1.030927835,0.855670103,0.041237113,0.257731959,0.154639175,0.06185567,0.87628866,0.195876289,0.041237113,0.164948454,0.030927835,0.06185567,0.608247423,0,0.226804124,0.051546392,1.587628866,0.206185567,0.546391753,0.587628866,0.072164948,9.226804124,0.103092784,0.12371134,2221,97,0.651551803,0.950980392,0.678321678,1,33.734,12.95187566,9.825346552,20.76530012,88.62886598,43.32989691,0.465116279,1,35,0,0,0,0,0,0
622708,40,0.673076923,0.128205128,0.769230769,0.217948718,0.019230769,0.16025641,1.621794872,1.852564103,0.057692308,0.506410256,0.096153846,0.051282051,3.544871795,0.326923077,0.070512821,0.352564103,0.038461538,0.057692308,0.583333333,0.006410256,0.544871795,0.217948718,1.262820513,0.282051282,1.064102564,0.58974359,0.115384615,17.38461538,0.128205128,0.185897436,2277,156,0.578410704,0.968944099,0.742857143,1,41.508,15.65774253,12.77273624,-42.23738012,547,42.5,0,0,0,0,0,0,0,0,0
622708,41,0.494505495,0.032967033,0.703296703,0.120879121,0.076923077,0.021978022,1.032967033,1.32967033,0.043956044,0.197802198,0.054945055,0.054945055,1.67032967,0.120879121,0.054945055,0.131868132,0.043956044,0.065934066,0.43956044,0.010989011,0.373626374,0.098901099,0.945054945,0.164835165,0.450549451,0.527472527,0.065934066,10.67032967,0.098901099,0.10989011,2334,91,0.439574112,0.947916667,0.631944444,1,32.535,11.47760056,10.30925341,-51.04646729,660.6703297,42.65934066,0.195121951,1,45,0,0,0,0,0,0
622708,42,0.441176471,0.191176471,0.632352941,0.25,0.014705882,0.058823529,0.897058824,1.235294118,0.029411765,0.352941176,0.044117647,0,2.058823529,0.25,0.088235294,0.176470588,0.014705882,0.058823529,0.352941176,0.044117647,0.367647059,0.161764706,1.367647059,0.205882353,0.911764706,0.441176471,0.029411765,13.47058824,0.073529412,0.191176471,2391,68,0.550340988,0.906666667,0.755555556,1,27.895,10.39132459,8.676132508,-3.812143563,373.0735294,43.95588235,0.617647059,2,46,52,0,0,0,0,0
622708,43,0.803921569,0.107843137,0.754901961,0.176470588,0.039215686,0.039215686,1.088235294,1.676470588,0.039215686,0.303921569,0.039215686,0.088235294,2.588235294,0.205882353,0.049019608,0.225490196,0.039215686,0.078431373,0.382352941,0.009803922,0.225490196,0.156862745,3.450980392,0.294117647,0.568627451,0.931372549,0.12745098,13.57843137,0.137254902,0.098039216,2448,102,0.631156164,0.944444444,0.713286713,1,33.825,13.07776269,10.14384228,22.26314016,693.8137255,43.7745098,0.295454545,1,30,0,0,0,0,0,0
