ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_3_Control_F_FrontalCrtx_240511_1_cellmas,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6
635192,27,0.082352941,0.258823529,0.164705882,0.070588235,0.035294118,0.094117647,1.117647059,1.882352941,0.023529412,1.282352941,0.070588235,0.058823529,0.894117647,0.329411765,0.117647059,0.258823529,0.058823529,0.058823529,0.411764706,0,1.011764706,0.788235294,0.435294118,0.317647059,0.105882353,0.611764706,0.164705882,4.2,0.2,0.105882353,2568,85,0.847043674,0.867346939,0.544871795,1,36.827,15.11492882,8.033936782,-49.51838623,225.1176471,22.2,0.468085106,1,20,0,0,0,0,0
635192,28,0.08411215,0.205607477,0.093457944,0.074766355,0.046728972,0.037383178,0.990654206,1.943925234,0.037383178,1.074766355,0.056074766,0.065420561,0.691588785,0.299065421,0.074766355,0.224299065,0.018691589,0.065420561,0.448598131,0.018691589,0.76635514,0.514018692,0.38317757,0.364485981,0.009345794,0.61682243,0.074766355,4.065420561,0.289719626,0.046728972,2663,107,0.586461451,0.955357143,0.748251748,1,35.603,13.10288158,10.61303454,-75.62139606,509.5233645,22.80373832,0,0,0,0,0,0,0,0
635192,29,0.033333333,0.283333333,0.183333333,0.033333333,0.066666667,0,2.316666667,1.666666667,0.066666667,0.816666667,0.033333333,0.033333333,0.65,0.3,1.85,0.316666667,0.033333333,0.083333333,0.583333333,0,0.666666667,0.433333333,2.55,0.216666667,0.116666667,0.9,0.166666667,6.516666667,0.283333333,0.15,2758,60,0.783896459,0.895522388,0.6,1,27.829,11.31773642,7.027087128,41.80507385,775.3833333,26.33333333,0.852941176,3,32,33,40,0,0,0
635192,30,0.074468085,0.170212766,0.095744681,0.053191489,0.021276596,0.053191489,1.20212766,1.904255319,0.053191489,0.893617021,0.053191489,0,1.244680851,0.212765957,0.063829787,0.20212766,0.010638298,0.053191489,0.276595745,0.010638298,0.680851064,0.5,0.276595745,0.287234043,0.053191489,0.542553191,0.117021277,4.063829787,0.255319149,0.074468085,2853,94,0.558319109,0.959183673,0.657342657,1,33.263,12.23131536,10.14742072,28.47706093,350.2765957,26.53191489,0.697674419,3,16,36,43,0,0,0
635192,31,0.094736842,0.263157895,0.242105263,0.073684211,0.073684211,0.084210526,1.326315789,2.242105263,0.073684211,1.210526316,0.052631579,0.021052632,0.926315789,0.326315789,0.094736842,0.305263158,0.084210526,0.126315789,0.505263158,0.010526316,0.947368421,0.747368421,0.347368421,0.357894737,0.063157895,0.8,0.063157895,4.726315789,0.368421053,0.115789474,2949,95,0.728145145,0.95,0.730769231,1,34.627,13.52132254,9.267825045,17.84996864,467.5473684,25.09473684,0.45,1,39,0,0,0,0,0
635192,32,0.074468085,0.14893617,0.14893617,0.021276596,0.031914894,0.085106383,0.968085106,1.755319149,0.106382979,1.170212766,0.021276596,0.021276596,1.308510638,0.255319149,0.340425532,0.308510638,0.021276596,0.085106383,0.319148936,0.021276596,0.712765957,0.638297872,2.127659574,0.340425532,0.127659574,0.617021277,0.127659574,4.042553191,0.287234043,0.14893617,3044,94,0.646724855,0.94,0.652777778,1,33.362,12.69056162,9.679388115,-48.35923751,765.0851064,25.93617021,0.261904762,1,29,0,0,0,0,0
635192,33,0.125,0.1125,0.225,0.1125,0.0375,0.0125,1.8,2.1125,0.05,0.7375,0.0625,0.05,0.8125,0.3125,1.225,0.25,0.0875,0.025,0.575,0,0.7,0.7,2.6,0.2,0.125,0.6375,0.0875,7.175,0.2875,0.15,3139,80,0.665717315,0.879120879,0.666666667,1,31.84,12.04226669,8.985987956,34.75223698,783.5,27.1375,0.692307692,3,29,40,46,0,0,0
635192,34,0.095238095,0.341269841,0.150793651,0.071428571,0.063492063,0.071428571,1.587301587,3.285714286,0.031746032,1.46031746,0.023809524,0.023809524,0.920634921,0.365079365,0.111111111,0.317460317,0.03968254,0.03968254,0.396825397,0.023809524,0.976190476,0.896825397,1.134920635,0.555555556,0.087301587,0.833333333,0.158730159,6.166666667,0.325396825,0.150793651,3234,126,0.79182109,0.940298507,0.673796791,1,40.656,16.39547198,10.01358551,-12.9363173,319.968254,27.8968254,0.549019608,2,21,41,0,0,0,0
635192,35,0.034188034,0.205128205,0.170940171,0.076923077,0.017094017,0.025641026,1.324786325,2.145299145,0.042735043,1.162393162,0.068376068,0.068376068,0.811965812,0.230769231,0.085470085,0.196581197,0.042735043,0.05982906,0.333333333,0.017094017,0.820512821,0.743589744,0.495726496,0.247863248,0.094017094,0.666666667,0.136752137,4.777777778,0.282051282,0.068376068,3329,117,0.661340628,0.936,0.696428571,1,37.861,14.23156091,10.67489048,-62.18974547,160.2991453,31.07692308,0,0,0,0,0,0,0,0
635192,36,0.097560976,0.146341463,0.073170732,0.012195122,0.06097561,0.048780488,1.256097561,2.646341463,0.048780488,0.865853659,0.073170732,0.036585366,1.06097561,0.37804878,0.158536585,0.219512195,0.085365854,0.012195122,0.426829268,0,0.829268293,0.853658537,0.402439024,0.414634146,0.073170732,0.609756098,0.12195122,5.243902439,0.304878049,0.109756098,3424,82,0.802171869,0.953488372,0.788461538,1,32.113,13.37992507,7.989062314,-79.1678644,339.7560976,29.04878049,0.743589744,3,30,42,43,0,0,0
