ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,Selection,Sel01
65535,75,0.5,0.122950819672131,1.26229508196721,0.795081967213115,0.0163934426229508,0.0655737704918033,1.0655737704918,1.89344262295082,0.0983606557377049,0.491803278688525,0.114754098360656,0.0163934426229508,1.94262295081967,0.319672131147541,0.0983606557377049,0.491803278688525,0.0819672131147541,0.114754098360656,0.959016393442623,0.00819672131147541,0.573770491803279,0.39344262295082,4.72131147540984,0.344262295081967,0.786885245901639,1.12295081967213,0.19672131147541,20.9180327868852,0.139344262295082,0.163934426229508,5643,9179,0.66040916660559,0.968253968253968,0.726190476190476,75,37.464,14.5004281448266,10.8884576451864,62.9056681424188,844.385245901639,6.81967213114754,0,0,0,0,0,0,1
65535,150,0.436974789915966,0.176470588235294,0.663865546218487,1.87394957983193,0.0588235294117647,0.0420168067226891,1.0672268907563,1.78151260504202,0.0420168067226891,0.478991596638655,0.168067226890756,0.00840336134453781,1.01680672268908,0.529411764705882,0.0672268907563025,0.571428571428571,0.100840336134454,0.109243697478992,1.36974789915966,0.0336134453781513,0.638655462184874,0.73109243697479,4.42857142857143,0.327731092436975,0.554621848739496,2.25210084033613,0.226890756302521,26.5882352941176,0.142857142857143,0.327731092436975,11286,8954,0.493410713850703,0.944444444444444,0.708333333333333,75,36.827,13.300619500764,11.5688316476919,-83.9087393695119,443.697478991597,8.32773109243698,0,0,0,0,0,0,1
65535,226,0.214285714285714,0.102040816326531,0.306122448979592,1.3265306122449,0.0510204081632653,0.0612244897959184,0.285714285714286,1.61224489795918,0.0510204081632653,0.5,0.0510204081632653,0.0204081632653061,NaN,0.295918367346939,0.0612244897959184,0.397959183673469,0.142857142857143,0.0816326530612245,0.540816326530612,0.0102040816326531,0.642857142857143,0.224489795918367,0.459183673469388,0.336734693877551,0.591836734693878,1.04081632653061,0.102040816326531,12.1326530612245,0.153061224489796,0.0816326530612245,17004,7374,0.604860196800063,0.98,0.742424242424242,75,33.064,12.6584347953217,10.0803126288887,29.6133434827614,552.765306122449,8.33673469387755,0,0,0,0,0,0,0
65535,301,0.533783783783784,0.175675675675676,0.587837837837838,1.62837837837838,0.0472972972972973,0.0337837837837838,0.608108108108108,1.44594594594595,0.00675675675675676,0.297297297297297,0.108108108108108,0.0675675675675676,0.790540540540541,0.256756756756757,0.0743243243243243,0.405405405405405,0.027027027027027,0.0675675675675676,0.797297297297297,0.0135135135135135,0.452702702702703,0.317567567567568,3.76351351351351,0.263513513513513,0.398648648648649,0.993243243243243,0.155405405405405,16.5405405405405,0.121621621621622,0.162162162162162,22648,11136,0.773977534881493,0.919254658385093,0.621848739495798,75,44.965,17.8367274144712,11.294448692197,-64.1691076996024,609.432432432432,8.58783783783784,0,0,0,0,0,0,1
65535,376,0.331168831168831,0.149350649350649,0.487012987012987,1.1038961038961,0.0324675324675325,0.0324675324675325,0.311688311688312,1.00649350649351,0.0454545454545455,0.38961038961039,0.0584415584415584,0.012987012987013,0.467532467532468,0.279220779220779,0.337662337662338,0.350649350649351,0.0194805194805195,0.025974025974026,0.87012987012987,0.012987012987013,0.655844155844156,0.331168831168831,1.01948051948052,0.285714285714286,0.383116883116883,0.974025974025974,0.0779220779220779,8.68831168831169,0.0714285714285714,0.103896103896104,28291,11587,0.555778436214639,0.950617283950617,0.641666666666667,75,43.94,15.6320323503556,12.9953846080299,-53.5525505033663,653.227272727273,12.9090909090909,0.385964912280702,75,602,0,0,0,1
65535,451,0.436507936507937,0.0873015873015873,0.706349206349206,1.24603174603175,0.0476190476190476,0.0158730158730159,0.420634920634921,1.3968253968254,0.0317460317460317,0.277777777777778,0.0317460317460317,0.0317460317460317,0.563492063492063,0.261904761904762,0.317460317460317,0.325396825396825,0.0396825396825397,0.0555555555555556,0.928571428571429,0.00793650793650794,0.428571428571429,0.285714285714286,6.38888888888889,0.26984126984127,0.484126984126984,0.69047619047619,0.111111111111111,14.9920634920635,0.0317460317460317,0.134920634920635,33934,9480,0.761666324727689,0.947368421052632,0.642857142857143,75,38.994,15.9146575543422,10.3122119225962,-46.4544776280672,587.293650793651,16.7619047619048,0,0,0,0,0,0,1
65535,527,0.218390804597701,0.132183908045977,0.511494252873563,1.51149425287356,0.0459770114942529,0.0862068965517241,0.522988505747126,1.1551724137931,0.028735632183908,0.488505747126437,0.0919540229885057,0.0114942528735632,1.05172413793103,0.304597701149425,0.0862068965517241,0.229885057471264,0.0689655172413793,0.0459770114942529,0.637931034482759,0.00574712643678161,0.724137931034483,0.385057471264368,2.27011494252874,0.224137931034483,0.339080459770115,0.913793103448276,0.137931034482759,10.9770114942529,0.0862068965517241,0.137931034482759,39652,13092,0.7245643919978,0.925531914893617,0.644444444444444,75,47.967,18.3044428117692,12.6155521487096,63.530864376173,1492.27011494253,19.0689655172414,0,0,0,0,0,0,1
65535,602,0.211009174311927,0.146788990825688,0.605504587155963,1.81651376146789,0.0275229357798165,0.073394495412844,0.458715596330275,1.30275229357798,0.018348623853211,0.36697247706422,0.100917431192661,0.0642201834862385,0.660550458715596,0.339449541284404,0.220183486238532,0.339449541284404,0.055045871559633,0.055045871559633,0.871559633027523,0.018348623853211,0.467889908256881,0.311926605504587,1.20183486238532,0.229357798165138,0.431192660550459,1.15596330275229,0.192660550458716,13.6330275229358,0.192660550458716,0.192660550458716,45295,8201,0.821574812309205,0.872,0.567708333333333,75,39.73,16.1600427545216,9.21285196472005,23.4172785540764,659.247706422018,21.256880733945,0.470588235294118,75,376,0,0,0,1
65535,677,0.311258278145695,0.152317880794702,0.443708609271523,0.794701986754967,0.0264900662251656,0.0728476821192053,1.62251655629139,1.63576158940397,0.0397350993377483,0.490066225165563,0.0397350993377483,0.0198675496688742,1.24503311258278,1.21854304635762,0.0397350993377483,0.218543046357616,0.0794701986754967,0.0728476821192053,0.456953642384106,0.0198675496688742,0.781456953642384,0.211920529801325,2.34437086092715,0.28476821192053,0.543046357615894,1.16556291390728,0.112582781456954,9.98013245033113,0.105960264900662,0.0728476821192053,50938,11361,0.61730211245355,0.961783439490446,0.719047619047619,75,41.144,15.7108193394967,12.3601130799661,-46.3987775219396,804.549668874172,26.0927152317881,0,0,0,0,0,0,1
65535,752,0.513157894736842,0.105263157894737,0.690789473684211,1.38157894736842,0.0394736842105263,0.0592105263157895,0.598684210526316,1.57236842105263,0.0328947368421053,0.743421052631579,0.0986842105263158,0.0197368421052632,1.44078947368421,0.453947368421053,0.0789473684210526,0.447368421052632,0.0328947368421053,0.0460526315789474,1.07894736842105,0.00657894736842105,0.585526315789474,0.572368421052632,1.99342105263158,0.381578947368421,0.611842105263158,1.31578947368421,0.144736842105263,16.6842105263158,0.157894736842105,0.118421052631579,56581,11437,0.569718572241463,0.968152866242038,0.730769230769231,75,41.136,15.4199520766921,12.6727311898549,-81.4179425475973,876.565789473684,30.3815789473684,0,0,0,0,0,0,1
