ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,Selection,Sel01
65535,42354,0.318181818,0.090909091,0.090909091,0.045454545,0.136363636,0.136363636,1.318181818,2.818181818,0.045454545,0.954545455,0.272727273,0.136363636,8.409090909,0.409090909,0.136363636,0.090909091,0.090909091,0.272727273,0.454545455,0,0.818181818,0.727272727,0.272727273,0.590909091,0,0.863636364,0,4.863636364,0.045454545,0,42354,412,0.69123408,0.88,0.733333333,19,16.102,6.58663523,4.759706276,-82.03985315,573.2272727,703.8181818,0.5,19,42130,0,0,0,0,0,0,0,0,0,0,1
65535,42373,0.583333333,0.145833333,0.083333333,0.104166667,0.041666667,0.083333333,1.854166667,1.875,0.083333333,0.5,0.041666667,0,5.104166667,0.416666667,0.104166667,0.4375,0.0625,0.041666667,0.5625,0.041666667,0.895833333,0.270833333,0.916666667,0.291666667,0.291666667,0.645833333,0.0625,9.1875,0.0625,0.229166667,42373,899,0.739053763,0.96,0.685714286,19,23.322,9.651007668,6.501367027,8.721569031,615.5416667,704.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,42392,0.32,0.08,0.12,0,0.12,0.08,0.88,NaN,0.08,1.36,0.04,0.12,15.44,0.24,0.2,0.24,0.04,0,0.72,0.08,1.08,0.2,0.16,0.68,0.12,0.44,0.04,5.84,0.2,0.16,42392,468,0.795136406,0.925925926,0.714285714,19,17.235,7.634599535,4.629854923,69.2460328,1452.12,704.36,0.714285714,19,42261,0,0,0,0,0,0,0,0,0,0,0
65535,42411,0.307692308,0.137362637,0.241758242,0.049450549,0.148351648,0.065934066,3.10989011,2.082417582,0.093406593,0.956043956,0.054945055,0.093406593,6.912087912,0.56043956,0.142857143,0.43956044,0.082417582,0.076923077,0.78021978,0.010989011,1.054945055,0.791208791,0.813186813,0.604395604,0.208791209,1.857142857,0.21978022,9.873626374,0.307692308,0.241758242,42411,3408,0.897391627,0.91,0.606666667,19,53.078,23.42166299,10.33445594,27.88404879,1057.17033,706.2362637,0.378787879,19,42579,0,0,0,0,0,0,0,0,0,0,1
65535,42429,0.181818182,0.151515152,0.121212121,0.151515152,0.121212121,0.121212121,NaN,1.151515152,0.151515152,1.545454545,0.090909091,0,11.90909091,0.363636364,0.424242424,0.212121212,0.090909091,0.121212121,0.757575758,0,1.787878788,0.696969697,0.303030303,0.272727273,0.151515152,0.424242424,0.090909091,3.666666667,0.333333333,0.181818182,42429,618,0.959873585,0.804878049,0.375,19,25.489,13.55115631,3.800192228,33.88679143,1490.787879,705.2121212,0.242424242,19,42598,0,0,0,0,0,0,0,0,0,0,0
65535,42448,0.472222222,0.111111111,0.111111111,0.055555556,0.027777778,0.055555556,1.472222222,2.138888889,0.083333333,0.666666667,0.027777778,0.027777778,8.166666667,0.472222222,0.083333333,0.361111111,0,0.111111111,0.25,0.138888889,0.916666667,0.305555556,0.055555556,0.166666667,0.138888889,0.333333333,0.055555556,4.694444444,0.138888889,0.027777778,42448,674,0.884129599,0.782608696,0.545454545,19,25.563,10.63336936,4.968354092,-12.80289813,185.3055556,707.6388889,0.185185185,19,42467,0,0,0,0,0,0,0,0,0,0,1
65535,42467,0.309090909,0.072727273,0.072727273,0.036363636,0.072727273,0.127272727,1.090909091,2.745454545,0.072727273,1.145454545,0.054545455,0.090909091,8.381818182,0.527272727,0.272727273,0.290909091,0.036363636,0.072727273,0.2,0,0.945454545,0.327272727,0.363636364,0.4,0.109090909,0.327272727,0.090909091,2.963636364,0.127272727,0.109090909,42467,1030,0.795753329,0.948275862,0.625,19,25.58,11.00439943,6.664493961,-24.94540949,196.8,708.9818182,0.212121212,19,42448,0,0,0,0,0,0,0,0,0,0,1
65535,42485,0.391304348,0.065217391,0.065217391,0.043478261,0.152173913,0.043478261,1.804347826,2.043478261,0.152173913,0.913043478,0.086956522,0.065217391,7.673913043,0.391304348,0.130434783,0.347826087,0.065217391,0.043478261,0.47826087,0.02173913,1.043478261,0.304347826,0.413043478,0.391304348,0.108695652,1.717391304,0.108695652,5.413043478,0.195652174,0.043478261,42485,861,0.808621525,0.92,0.766666667,19,24.339,10.29124433,6.054639381,9.872361452,1006.934783,709.4565217,0.142857143,19,42916,0,0,0,0,0,0,0,0,0,0,1
65535,42504,0.047619048,0.238095238,0.047619048,0.095238095,0,0,1.761904762,1.666666667,0.142857143,1.333333333,0,0.047619048,4.761904762,0.285714286,0.095238095,0.19047619,0.047619048,0,0.142857143,0.047619048,0.761904762,0.19047619,0.571428571,0.333333333,0.047619048,0.571428571,0.047619048,4.238095238,0.19047619,0.142857143,42504,393,0.90297956,0.84,0.65625,19,16.747,8.406603621,3.612178902,-4.345653768,1396.857143,709.2380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,42523,0.326530612,0.06122449,0.142857143,0.020408163,0.102040816,0.081632653,1.326530612,2.530612245,0.020408163,1.551020408,0.102040816,0.020408163,5.06122449,0.530612245,0.12244898,0.265306122,0.020408163,0.06122449,0.367346939,0.040816327,1.673469388,0.367346939,0.469387755,0.510204082,0.06122449,0.816326531,0.06122449,6.673469388,0.183673469,0.040816327,42523,917,0.56591736,0.859649123,0.680555556,19,26.605,9.182590936,7.57069702,63.99205444,45.18367347,708.5102041,0,0,0,0,0,0,0,0,0,0,0,0,0,1
