ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_190Os_190Os,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_6_Control_M_Cerebellum_240424_1,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7
65535,55294,0.25,0.177083333,0.104166667,0.083333333,0.020833333,0.020833333,1.3125,2.614583333,0.03125,0.989583333,0.052083333,0.010416667,6.770833333,0.395833333,0.197916667,0.229166667,0.010416667,0.104166667,0.645833333,0.010416667,1.041666667,0.822916667,0.802083333,0.4375,0.489583333,0.520833333,0.145833333,11.14583333,0.072916667,0.145833333,0.677083333,18.54166667,31.875,55294,2410,0.851770409,0.888888889,0.571428571,25,37.588,15.84911495,8.303592747,-34.35719704,126.03125,1165.854167,0.46,25,55345,0,0,0,0,0,0
65535,55319,0.218181818,0.118181818,0.181818182,0.045454545,0,0.090909091,3.209090909,2.3,0.072727273,0.327272727,0.063636364,0.054545455,1.336363636,0.454545455,0.263636364,0.481818182,0.154545455,0.136363636,2.918181818,0.036363636,0.545454545,0.672727273,1.072727273,0.209090909,1.409090909,0.427272727,0.045454545,11.42727273,0.054545455,0.154545455,0.445454545,27.26363636,48.36363636,55319,2761,0.634617229,0.948275862,0.705128205,25,34.958,13.53798772,10.46251719,51.83440015,937.6454545,1169.909091,0,0,0,0,0,0,0,0,0
65535,55345,0.227272727,0.188311688,0.207792208,0.064935065,0.071428571,0.045454545,2.214285714,2.733766234,0.051948052,1.12987013,0.038961039,0.051948052,5.350649351,0.415584416,0.149350649,0.402597403,0.103896104,0.051948052,0.688311688,0.006493506,0.941558442,0.850649351,0.909090909,0.344155844,1.246753247,0.928571429,0.136363636,13.73376623,0.11038961,0.142857143,0.435064935,29.53896104,53.0974026,55345,3865,0.396718586,0.865168539,0.641666667,25,47.777,15.49824279,14.22646137,77.55693961,122.4480519,1174.805195,0.672131148,50,55294,55370,0,0,0,0,0
65535,55370,0.261538462,0.138461538,0.184615385,0.076923077,0.061538462,0.076923077,1.892307692,3.030769231,0.076923077,1.061538462,0.015384615,0.015384615,5.8,0.446153846,0.046153846,0.230769231,0.030769231,0.046153846,0.538461538,0.015384615,0.892307692,0.707692308,0.553846154,0.246153846,0.907692308,0.707692308,0.107692308,10.96923077,0.092307692,0.061538462,0.707692308,20.21538462,34.4,55370,1631,0.58068551,0.970149254,0.722222222,25,26.324,10.19171728,8.297362016,52.66124612,114.0769231,1173.323077,0.647058824,25,55345,0,0,0,0,0,0
65535,55395,0.172413793,0.333333333,0.137931034,0.034482759,0.045977011,0,1.252873563,2.793103448,0.034482759,1.459770115,0.045977011,0.022988506,4.528735632,0.494252874,0.057471264,0.252873563,0.034482759,0.126436782,1.425287356,0.022988506,1.32183908,1.954022989,0.75862069,0.390804598,0.310344828,0.517241379,0.137931034,13.87356322,0.103448276,0.114942529,0.563218391,17.12643678,778,55395,2184,0.413011662,0.896907216,0.604166667,25,34.007,11.53582967,10.50597697,40.63462635,904,1172.091954,0.404761905,25,55244,0,0,0,0,0,0
65535,55420,0.175,0.1125,0.0625,0.0875,0.025,0.0375,1.275,2.575,0.1125,1.1,0.025,0.0125,3.475,0.2875,0.225,0.25,0.075,0.0875,0.6625,0,0.8375,0.8375,1.3125,0.1875,0.4375,0.4375,0.05,11.1625,0.0375,0.1375,0.425,22.8875,40.0375,55420,2008,0.722034919,0.941176471,0.666666667,25,30.55,12.3293628,8.530151212,21.37757945,153.125,1174.05,0.487179487,25,55445,0,0,0,0,0,0
65535,55445,0.220588235,0.191176471,0.205882353,0.044117647,0.073529412,0.088235294,1.588235294,2.779411765,0.132352941,1.132352941,0.029411765,0.044117647,5.161764706,0.235294118,0.044117647,0.279411765,0.088235294,0.058823529,0.588235294,0.014705882,1.014705882,1.132352941,0.867647059,0.441176471,0.470588235,0.485294118,0.102941176,14.42647059,0.117647059,0.073529412,0.661764706,22.52941176,43.26470588,55445,1707,0.787325897,0.894736842,0.566666667,25,30.087,12.2885832,7.576366816,27.46998237,157.0882353,1179.470588,0.526315789,25,55420,0,0,0,0,0,0
65535,55470,0.130841121,0.196261682,0.299065421,0.046728972,0.046728972,0.037383178,2.336448598,1.831775701,0.065420561,0.336448598,0.037383178,0.028037383,2.186915888,0.504672897,0.112149533,0.299065421,0.037383178,0.065420561,0.429906542,0.009345794,0.542056075,0.53271028,11.17757009,0.224299065,0.626168224,0.691588785,0.074766355,16.07476636,0.074766355,0.252336449,0.476635514,19.35514019,35.20560748,55470,2686,0.805181368,0.922413793,0.66875,25,37.464,15.33965317,9.096853621,-3.932107193,243.6635514,1177.383178,0.5,50,55570,55596,0,0,0,0,0
65535,55495,0.173553719,0.148760331,0.090909091,0.033057851,0.041322314,0.074380165,1.41322314,2.32231405,0.049586777,0.958677686,0.049586777,0.033057851,7.355371901,0.330578512,0.148760331,0.190082645,0.049586777,0.05785124,0.595041322,0,0.702479339,0.73553719,0.785123967,0.396694215,0.595041322,0.446280992,0.148760331,9.504132231,0.066115702,0.066115702,0.768595041,18.29752066,32.16528926,55495,3037,0.232282553,0.9453125,0.715976331,25,38.051,12.72130758,12.37335885,56.36012898,80.36363636,1179.578512,0,0,0,0,0,0,0,0,0
65535,55545,0.090225564,0.15037594,0.37593985,0.052631579,0.060150376,0.082706767,0.789473684,1.661654135,0.030075188,0.135338346,0.045112782,0.015037594,0.894736842,0.360902256,0.052631579,0.503759398,0.060150376,0.090225564,1.22556391,0,0.466165414,0.473684211,5.736842105,0.30075188,0.353383459,0.819548872,0.172932331,29.21052632,0.07518797,0.263157895,0.54887218,17.78947368,30.19548872,55545,3338,0.353795418,0.936619718,0.730769231,25,39.068,13.57269446,12.69485104,-58.61924843,409.8947368,1180.729323,0,0,0,0,0,0,0,0,0
