ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_190Os_190Os,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,Selection,Sel01
65535,45966,1.1171875,0.140625,0.2109375,0.046875,0.046875,0.125,0.6015625,0.6484375,0.0625,0.1484375,0.046875,0.0625,1.59375,0.203125,0.0625,0.0625,0.046875,0.0390625,0.109375,0.0390625,0.234375,0.140625,1.765625,0.078125,0.25,0.2734375,0.0859375,5.78125,0.0234375,0.0703125,0.015625,40.296875,73.109375,45966,2350,0.849121366,0.977099237,0.790123457,18,40.706,17.66747183,9.331919575,5.610328088,1214.117188,953.078125,0,0,0,0,0,0,0,0,0,0,0,1
65535,45985,1.136986301,0.109589041,0.054794521,0,0.068493151,0.095890411,0.753424658,0.671232877,0.01369863,0.191780822,0.04109589,0.082191781,4.315068493,0.082191781,0.178082192,0.109589041,0.054794521,0.04109589,0.095890411,0.01369863,0.219178082,0.191780822,0.506849315,0.150684932,0.547945205,0.328767123,0.109589041,3.712328767,0.01369863,0.054794521,0,27.2739726,48.60273973,45985,1340,0.74185863,0.9125,0.737373737,18,30.426,12.13538921,8.137461888,-19.4369719,704.0410959,953.9863014,0.473684211,18,45471,0,0,0,0,0,0,0,0,1
65535,46003,1.503875969,0.085271318,0.23255814,0.046511628,0.015503876,0.023255814,1.317829457,0.713178295,0.03875969,0.108527132,0.046511628,0.023255814,5.341085271,0.201550388,0.046511628,0.124031008,0.023255814,0.031007752,0.147286822,0,0.162790698,0.03875969,0.80620155,0.069767442,0.248062016,0.209302326,0.131782946,5.015503876,0.015503876,0.093023256,0,26.72093023,49.03875969,46003,2368,0.380211935,0.955555556,0.763313609,18,38.018,13.4401111,12.43075059,17.79483427,889.0155039,956.1317829,0,0,0,0,0,0,0,0,0,0,0,1
65535,46021,0.828571429,0.114285714,0.314285714,0.042857143,0.057142857,0.1,0.657142857,0.671428571,0.042857143,0.085714286,0.028571429,0.071428571,1.428571429,0.314285714,0.057142857,0.114285714,0,0.071428571,0.2,0.014285714,0.171428571,0.2,1.157142857,0.128571429,0.228571429,0.371428571,0.1,5.828571429,0.071428571,0.071428571,0,21.68571429,39.64285714,46021,1285,0.390139187,18,0.777777778,18,26.688,9.906706432,9.121658328,11.17746487,345.8857143,956.0714286,0,0,0,0,0,0,0,0,0,0,0,1
65535,46040,0.925619835,0.140495868,0.173553719,0.033057851,0.066115702,0.066115702,0.801652893,0.834710744,0.041322314,0.181818182,0.041322314,0.099173554,1.760330579,0.20661157,0.041322314,0.132231405,0.049586777,0.041322314,0.247933884,0.008264463,0.198347107,0.132231405,1.148760331,0.090909091,0.305785124,0.347107438,0.123966942,5.867768595,0.041322314,0.033057851,0.016528926,36.17355372,65.54545455,46040,2221,0.602976044,0.991803279,0.785714286,18,36.968,13.98674665,11.15805713,20.21433,571.8760331,956.3057851,0,0,0,0,0,0,0,0,0,0,0,1
65535,46058,1.578947368,0.236842105,0.263157895,0.039473684,0.026315789,0.052631579,0.381578947,0.736842105,0.039473684,0.171052632,0.065789474,0.052631579,2.328947368,0.131578947,0.078947368,0.013157895,0.052631579,0.065789474,0.5,0.013157895,0.184210526,0.065789474,0.618421053,0,0.065789474,0.197368421,0.013157895,2.618421053,0.039473684,0.026315789,0.013157895,29.07894737,54.02631579,46058,1395,0.687888575,0.904761905,0.703703704,18,31.468,12.02816499,8.730238275,-12.01514117,645.5526316,957.9473684,0.775,37,45838,46535,0,0,0,0,0,0,0,1
65535,46076,2.013157895,0.197368421,0.105263158,0.026315789,0.039473684,0.131578947,0.697368421,0.592105263,0.092105263,0.144736842,0.131578947,0.065789474,1.842105263,0.118421053,0.026315789,0.105263158,0.092105263,0.052631579,0.105263158,0.026315789,0.210526316,0.078947368,3.394736842,0.105263158,0.289473684,0.25,0.065789474,2.684210526,0.026315789,0.026315789,0,50.73684211,91.75,46076,1395,0.806017534,0.894117647,0.64957265,18,31.369,13.21674908,7.822883528,-0.051746278,1070.644737,956.0921053,0.6,37,45673,45691,0,0,0,0,0,0,0,1
65535,46095,1.146666667,0.08,0.573333333,0.026666667,0.066666667,0.093333333,0.866666667,0.786666667,0.04,0.16,0.053333333,0.053333333,3.4,0.24,0.093333333,0.093333333,0.093333333,0.013333333,0.133333333,0.04,0.24,0.133333333,0.56,0.146666667,0.146666667,0.226666667,0.04,4.026666667,0.04,0.053333333,0.026666667,18.16,34.42666667,46095,1377,0.717414766,0.974025974,0.757575758,18,28.284,11.78432505,8.209506331,30.6199769,552.0533333,956.2133333,0,0,0,0,0,0,0,0,0,0,0,1
65535,46113,0.545454545,0.072727273,0.236363636,0.054545455,0.018181818,0.054545455,0.418181818,0.618181818,0.109090909,0.290909091,0.036363636,0.036363636,2.290909091,0.290909091,0.072727273,0.127272727,0.090909091,0.054545455,0.218181818,0.054545455,0.272727273,0.436363636,1.345454545,0.072727273,0.072727273,0.545454545,0.109090909,27.50909091,0.127272727,0.181818182,0.018181818,16.38181818,32.07272727,46113,1010,0.711241335,0.982142857,0.763888889,18,23.876,10.09576993,7.096800371,37.87353684,725.3818182,956.7090909,0,0,0,0,0,0,0,0,0,0,0,1
65535,46132,1.384615385,0.128205128,0.08974359,0.012820513,0.064102564,0.102564103,0.512820513,0.628205128,0.025641026,0.141025641,0.038461538,0.012820513,2.679487179,0.076923077,0.051282051,0.064102564,0.038461538,0.025641026,0.307692308,0.012820513,0.230769231,0.08974359,0.525641026,0.076923077,0.192307692,0.256410256,0.064102564,3.5,0.038461538,0.012820513,0.051282051,35.43589744,63.91025641,46132,1432,0.561665791,0.975,0.787878788,18,29.02,11.0425861,9.136240541,2.282118993,1193.653846,956.8717949,0.333333333,18,46444,0,0,0,0,0,0,0,0,1
65535,46150,1.337837838,0.054054054,0.283783784,0.054054054,0.040540541,0.040540541,0.851351351,0.472972973,0.013513514,0.121621622,0.027027027,0.040540541,1.716216216,0.054054054,0.067567568,0.121621622,0.040540541,0.013513514,0.135135135,0.027027027,0.135135135,0.121621622,0.837837838,0.108108108,0.189189189,0.216216216,0.108108108,3.756756757,0.054054054,0.054054054,0.013513514,29.56756757,56.67567568,46150,1358,0.364714326,0.925,0.672727273,18,29.88,10.39805266,9.681829248,-27.05863038,392.7432432,956.8918919,0.756756757,55,45746,46352,46388,0,0,0,0,0,0,1
65535,46168,0.573426573,0.083916084,0.13986014,0.048951049,0.020979021,0.132867133,0.447552448,0.58041958,0.034965035,0.153846154,0.055944056,0.041958042,1.370629371,0.118881119,0.062937063,0.097902098,0.034965035,0.06993007,0.174825175,0.027972028,0.167832168,0.076923077,0.839160839,0.125874126,0.223776224,0.363636364,0.13986014,7.524475524,0.020979021,0.055944056,0.034965035,47.43356643,88.31468531,46168,2625,0.557455722,0.979452055,0.794444444,18,39.788,14.86931477,12.34460433,1.078153116,32.85314685,958.7832168,0.2,18,46517,0,0,0,0,0,0,0,0,1
65535,46187,1.1796875,0.1875,0.1875,0.0546875,0.0546875,0.109375,0.5,0.796875,0.0234375,0.2421875,0.0390625,0.0390625,1.9140625,0.2109375,0.078125,0.0859375,0.015625,0.046875,0.2109375,0.0234375,0.21875,0.125,NaN,0.109375,0.140625,0.2734375,0.0703125,6.78125,0.0234375,0.0703125,0.015625,44.484375,81.2421875,46187,2350,0.838221983,0.962406015,0.684491979,18,40.276,17.44738285,9.514566873,19.95296098,82.4296875,959.9609375,0,0,0,0,0,0,0,0,0,0,0,0
65535,46205,0.880952381,0.136904762,0.136904762,0.041666667,0.029761905,0.047619048,1.458333333,0.773809524,0.047619048,0.172619048,0.041666667,0.017857143,3.803571429,0.214285714,0.053571429,0.119047619,0.017857143,0.011904762,0.119047619,0.011904762,0.202380952,0.095238095,0.672619048,0.083333333,0.404761905,0.261904762,0.053571429,4.107142857,0.023809524,0.023809524,0.017857143,32.76190476,59.57738095,46205,3084,0.701009736,0.98245614,0.7,18,44.494,17.48260334,12.46774833,33.30319436,152.0357143,961.6190476,0,0,0,0,0,0,0,0,0,0,0,1
65535,46223,1.653333333,0.106666667,0.12,0.04,0.066666667,0.133333333,1.453333333,1.386666667,0.146666667,0.346666667,0.066666667,0.04,8.24,0.413333333,0.106666667,0.106666667,0.026666667,0.066666667,0.173333333,0.04,0.506666667,0.12,1.106666667,0.146666667,0.506666667,0.36,0.146666667,NaN,0.066666667,0.16,0,23.01333333,42.73333333,46223,1377,0.870632579,0.949367089,0.765306122,18,30.98,14.15989375,6.965731043,6.354079786,1115.04,960.12,0,0,0,0,0,0,0,0,0,0,0,0
65535,46242,1.613333333,0.133333333,0.16,0.04,0.066666667,0.04,0.32,0.52,0.026666667,0.133333333,0.053333333,0.026666667,2.28,0.106666667,0.08,0.093333333,0.08,0.066666667,0.16,0.026666667,0.16,0.146666667,1.746666667,0.066666667,0.146666667,0.16,0.04,3.653333333,0.053333333,0.053333333,0.013333333,58.64,100.88,46242,1377,0.674805487,0.925925926,0.694444444,18,31.443,11.90619459,8.786719611,1.778560355,1164.693333,959.0266667,0.432432432,37,46260,46425,0,0,0,0,0,0,0,1
65535,46260,NaN,0.133333333,0.033333333,0.1,0.033333333,0.133333333,0.7,1.466666667,0.066666667,0.166666667,0.033333333,0.166666667,3.066666667,0.366666667,0.166666667,0.166666667,0,0.133333333,0.466666667,0.066666667,0.2,0.233333333,1.4,0.066666667,0.333333333,0.466666667,0.066666667,5.833333333,0.066666667,0.166666667,0.066666667,35.2,70.1,46260,551,0.807105508,0.909090909,0.612244898,18,18.641,8.338952475,4.923377845,-54.94640674,1158.033333,960.0666667,18,37,46242,46425,0,0,0,0,0,0,0,0
65535,46278,1.086614173,0.165354331,0.322834646,0.05511811,0.031496063,0.086614173,0.952755906,0.779527559,0.078740157,0.157480315,0.047244094,0.031496063,4.023622047,0.204724409,0.078740157,0.047244094,0.039370079,0.039370079,0.102362205,0.015748031,0.165354331,0.133858268,1.929133858,0.086614173,0.464566929,0.149606299,0.102362205,5.047244094,0.031496063,0.062992126,0,50.47244094,92.88188976,46278,2331,0.685708958,0.940740741,0.661458333,18,39.714,15.09384596,10.98644567,-0.387339504,1282.488189,961.1653543,0,0,0,0,0,0,0,0,0,0,0,1
65535,46297,1.584070796,0.079646018,0.14159292,0.017699115,0.03539823,0.053097345,0.398230088,0.610619469,0.053097345,0.17699115,0.044247788,0.07079646,2.85840708,0.115044248,0.03539823,0.044247788,0.061946903,0.008849558,0.150442478,0.008849558,0.079646018,0.088495575,2.150442478,0.123893805,0.097345133,0.194690265,0.053097345,3.10619469,0.044247788,0.026548673,0.03539823,35.39823009,64.79646018,46297,2074,0.728538759,0.957627119,0.753333333,18,36.058,14.56268053,9.975502879,5.700747984,1330.725664,961.3362832,0,0,0,0,0,0,0,0,0,0,0,1
