ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,neighbour_4_CellId12,neighbour_4_CellId13
65535,13512,0.558823529,0.058823529,0.882352941,0.088235294,0.205882353,0.058823529,2.235294118,1.911764706,0.029411765,0.470588235,0.147058824,0,1.735294118,0.441176471,0.029411765,0.441176471,0.029411765,0.147058824,1.088235294,0,0.676470588,0.588235294,2.705882353,0.147058824,0.323529412,1.352941176,0.147058824,11.08823529,0.235294118,0.294117647,13512,499,0.913608596,0.871794872,0.68,15,21.709,10.66567774,4.336609135,2.64296151,1053.529412,193.7941176,0.04,15,12778,0,0,0,0,0,0,0,0,0,0,0,0
65535,13527,3.4,0.066666667,0.3,0.2,0.133333333,0,9.733333333,1.666666667,0,0.533333333,0.1,0.033333333,3.266666667,0.666666667,0.166666667,0.533333333,0.133333333,0.133333333,0.933333333,0,0.366666667,0.6,1.166666667,0.4,2.133333333,0.9,0.3,8.666666667,0.2,0.066666667,13527,440,0.792242988,0.857142857,0.625,15,20.783,8.317192551,5.075198657,18.85724585,1208.9,193.7,0.045454545,15,13879,0,0,0,0,0,0,0,0,0,0,0,0
65535,13541,4.216666667,0.166666667,0.433333333,0.05,0.066666667,0.05,2.133333333,3.966666667,0.033333333,0.566666667,0.016666667,0.1,16.58333333,0.483333333,0.383333333,0.6,0.133333333,0.15,0.65,0.016666667,0.766666667,0.333333333,0.6,0.366666667,1.25,0.633333333,0.166666667,6.116666667,0.183333333,0.083333333,13541,880,0.729734431,0.882352941,0.606060606,15,28.582,11.09630779,7.586886207,66.29816761,108.4166667,193.5,0.189189189,15,13937,0,0,0,0,0,0,0,0,0,0,0,0
65535,13556,2.55,0.2,0.25,0.15,0.1,0.05,1.25,2.75,0,1.85,0.1,0,4.8,0.3,0.15,0.5,0,0.15,6.85,0.05,0.8,0.45,0.7,0.35,0.7,0.25,0.15,5.65,0.25,0.1,13556,293,0.837114752,15,0.571428571,15,15.267,7.206097279,3.941932098,35.1053025,430.7,195.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,13571,1.260869565,0.260869565,0.565217391,0,0.086956522,0.043478261,0.956521739,2.695652174,0,1.739130435,0.086956522,0.043478261,1.695652174,0.347826087,0,0.391304348,0.043478261,0.086956522,1.47826087,0,0.956521739,0.739130435,2.391304348,0.565217391,0.652173913,1.217391304,0.304347826,8.652173913,0.347826087,0.260869565,13571,337,0.863309192,0.884615385,0.547619048,15,17.508,8.016897506,4.045930798,35.53083335,635.6521739,195.3043478,0.421052632,15,14172,0,0,0,0,0,0,0,0,0,0,0,0
65535,13585,1.024096386,0.240963855,0.445783133,0.084337349,0.072289157,0.036144578,1.313253012,2.819277108,0.036144578,2.313253012,0.072289157,0.036144578,2.481927711,0.361445783,0.072289157,0.469879518,0.108433735,0.096385542,1.481927711,0,1.78313253,0.614457831,0.626506024,0.409638554,1.289156627,0.578313253,0.13253012,9.819277108,0.228915663,0.240963855,13585,1218,0.819776634,0.734513274,0.614814815,15,47.504,15.15978161,8.6817552,-88.50356897,663.2771084,195.4819277,0.518518519,44,13732,14451,14524,0,0,0,0,0,0,0,0,0,0
65535,13600,0.884615385,0.038461538,0.384615385,0.115384615,0.115384615,0.038461538,1.153846154,1.692307692,0,0.423076923,0.038461538,0,1.076923077,0.423076923,0.076923077,0.692307692,0.192307692,0.076923077,0.807692308,0,0.5,0.230769231,3.307692308,0.307692308,0.269230769,0.961538462,0.076923077,7.538461538,0,0.346153846,13600,381,0.790832191,0.928571429,0.722222222,15,16.565,7.625090911,4.666807595,-45.59674471,1346.384615,193.8461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,13644,1.2,0.1,0.233333333,0.166666667,0.133333333,0.1,1.066666667,2.333333333,0.1,0.933333333,0.133333333,0.033333333,11.03333333,0.5,0.233333333,0.466666667,0.066666667,0.1,1.4,0.033333333,0.766666667,0.233333333,1.033333333,0.233333333,1.466666667,0.833333333,0.033333333,6.8,0.2,0.1,13644,440,0.540842651,0.857142857,0.535714286,15,20.138,7.354489401,6.186035985,39.91955624,467.1,195.8666667,0.956521739,59,12925,13263,13629,13805,0,0,0,0,0,0,0,0,0
65535,13673,1.653061224,0.244897959,0.816326531,0.06122449,0.040816327,0.06122449,1.285714286,2.612244898,0.020408163,1.959183673,0.06122449,0.040816327,3.693877551,0.346938776,0.081632653,0.591836735,0.142857143,0.081632653,0.87755102,0,1.469387755,0.571428571,0.755102041,0.244897959,1.183673469,0.93877551,0.142857143,8.06122449,0.244897959,0.142857143,13673,719,0.75889333,0.924528302,0.7,15,23.785,10.01871249,6.524335376,9.213297116,697.6734694,195.9387755,0.166666667,15,13101,0,0,0,0,0,0,0,0,0,0,0,0
65535,13688,0.821428571,0.130952381,0.869047619,0.178571429,0.285714286,0.05952381,1.55952381,2.238095238,0.083333333,0.773809524,0.107142857,0.023809524,1.678571429,0.523809524,0.321428571,0.55952381,0.095238095,0.119047619,0.976190476,0,0.785714286,0.476190476,1.738095238,0.404761905,0.380952381,1.333333333,0.214285714,12.89285714,0.226190476,0.142857143,13688,1232,0.945192337,0.8,0.424242424,15,42.997,19.43827387,6.346870134,-31.28112136,1010.535714,197.8571429,0.509090909,29,13380,14216,0,0,0,0,0,0,0,0,0,0,0
