ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_1_Control_F_Cerebellum_240424_1_cellmask,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,neighbour_4_CellId12,neighbour_4_CellId13,neighbour_4_CellId14
65535,3868,1.382022472,0.123595506,0.191011236,0.213483146,0.06741573,0.033707865,1.146067416,0.91011236,0.056179775,0.471910112,0.011235955,0,1.483146067,0.191011236,0.123595506,0.146067416,0.056179775,0.033707865,0.415730337,0,0.269662921,0.202247191,4.033707865,0.146067416,0.382022472,0.146067416,0.04494382,8.112359551,0.04494382,0.08988764,45616,1050,0.59502873,0.946808511,0.741666667,12,31.931,12.04739467,9.682544468,69.38691015,1329.224719,84.35955056,0.9,35,3609,3786,4647,0,0,0,0,0,0,0,0,0,0,0
65535,3880,1.553571429,0.107142857,0.241071429,0.223214286,0.017857143,0.080357143,0.357142857,0.866071429,0.080357143,0.455357143,0.0625,0.017857143,1.910714286,0.258928571,0.053571429,0.348214286,0.089285714,0.053571429,0.348214286,0.017857143,0.205357143,0.1875,3.473214286,0.107142857,0.375,0.446428571,0.125,13.35714286,0.035714286,0.125,45758,1321,0.58988973,0.903225806,0.717948718,12,38.357,13.62866835,11.00492907,-32.75383226,439.2767857,86.71428571,12,83,3503,3514,3821,3892,4257,4458,4505,0,0,0,0,0,0,0
65535,3892,0.96875,0.0859375,0.1875,0.1796875,0.0390625,0.0703125,0.4140625,0.6171875,0.03125,0.2578125,0.0859375,0.03125,1.25,0.1015625,0.0390625,0.1796875,0.03125,0.0234375,0.109375,0.0078125,0.1796875,0.09375,2.65625,0.1328125,0.25,0.2734375,0.03125,7.171875,0.0390625,0.140625,45899,1510,0.786982843,0.870748299,0.615384615,12,45.511,16.81667483,10.37546597,20.16000267,451.7890625,85.765625,12,94,3243,3514,3526,3880,3939,4163,4458,4505,0,0,0,0,0,0
65535,3904,2.802469136,0.259259259,0.345679012,0.148148148,0.111111111,0.12345679,0.50617284,0.888888889,0.024691358,0.24691358,0.074074074,0.024691358,1.555555556,0.222222222,0.037037037,0.209876543,0.037037037,0.049382716,0.148148148,0,0.308641975,0.222222222,3.851851852,0.135802469,0.666666667,0.407407407,0.12345679,10.37037037,0.037037037,0.061728395,46041,955,0.712303862,0.920454545,0.623076923,12,33.238,12.79834995,8.982793485,19.84272717,488.7777778,85.48148148,12,35,3632,3691,4222,0,0,0,0,0,0,0,0,0,0,0
65535,3915,1.736842105,0.210526316,0.233918129,0.064327485,0.029239766,0.040935673,0.795321637,0.959064327,0.064327485,0.134502924,0.035087719,0.222222222,5.473684211,0.192982456,0.105263158,0.157894737,0.040935673,0.029239766,0.198830409,0,0.257309942,0.140350877,4.695906433,0.128654971,0.578947368,0.245614035,0.076023392,8.50877193,0.070175439,0.169590643,46171,2017,0.48375205,0.971590909,0.763392857,12,43.468,15.82341565,13.84873396,27.24839043,1045.210526,87.49707602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,3927,0.9543379,0.141552511,0.155251142,0.086757991,0.082191781,0.054794521,0.803652968,0.598173516,0.02283105,0.511415525,0.01369863,0.00913242,1.342465753,0.155251142,0.082191781,0.127853881,0.059360731,0.02283105,0.114155251,0,0.228310502,0.200913242,7.639269406,0.095890411,0.351598174,0.296803653,0.0456621,6.442922374,0.04109589,0.091324201,46312,2583,0.344780878,0.879518072,0.678018576,12,57.916,18.25831108,17.13876983,62.43689674,1205.127854,85.80365297,12,94,3302,3385,3396,3703,3715,3998,4151,4375,0,0,0,0,0,0
65535,3939,0.563380282,0.084507042,0.14084507,0.056338028,0.042253521,0.098591549,0.732394366,0.464788732,0.028169014,0.521126761,0.014084507,0.028169014,0.690140845,0.042253521,0.028169014,0.070422535,0.056338028,0,0.084507042,0.014084507,0.126760563,0.056338028,4.788732394,0.098591549,0.154929577,0.197183099,0.014084507,3.61971831,0.014084507,0.098591549,46454,837,0.477592688,0.87654321,0.58677686,12,31.377,10.542555,9.262492415,-49.52360551,463.6478873,86.66197183,12,71,3526,3621,3833,3892,4163,4458,0,0,0,0,0,0,0,0
65535,3951,2.462365591,0.064516129,0.161290323,0.129032258,0.021505376,0.053763441,0.591397849,0.709677419,0.010752688,0.258064516,0.043010753,0.053763441,1.569892473,0.225806452,0.043010753,0.204301075,0.043010753,0.032258065,0.215053763,0,0.204301075,0.204301075,2.817204301,0.107526882,0.462365591,0.23655914,0.11827957,7.258064516,0.043010753,0.11827957,46595,1097,0.658308159,0.958762887,0.775,12,32.576,12.79195725,9.629127179,80.01815178,508.6989247,87.34408602,0.975,59,2913,3455,3691,4033,4481,0,0,0,0,0,0,0,0,0
65535,3963,1.414285714,0.09047619,0.233333333,0.042857143,0.014285714,0.038095238,1.695238095,1.014285714,0.042857143,0.395238095,0.033333333,0.076190476,9.419047619,0.166666667,0.214285714,0.161904762,0.080952381,0.028571429,0.2,0,0.271428571,0.09047619,2.538095238,0.10952381,0.919047619,0.304761905,0.038095238,6.680952381,0.052380952,0.09047619,46737,2477,0.560249852,0.950226244,0.68627451,12,50.969,18.20106785,15.07637533,-56.30411954,669.0285714,86.50952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,3974,1.333333333,0.282828283,0.191919192,0.04040404,0.02020202,0.070707071,1.757575758,1.090909091,0.080808081,0.151515152,0.121212121,0.181818182,13.29292929,0.232323232,0.101010101,0.202020202,0.121212121,0.03030303,0.181818182,0.01010101,0.313131313,0.070707071,1.626262626,0.232323232,0.696969697,0.373737374,0.080808081,7.949494949,0.151515152,0.181818182,46866,1168,0.734301308,0.933962264,0.707142857,12,34.47,13.82951175,9.38780006,8.85578437,972.1414141,87.57575758,0.590909091,24,3644,3656,0,0,0,0,0,0,0,0,0,0,0,0
