ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_6_ALS_M_Cerebellum_240424_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9
65535,34460,1.746478873,0.098591549,0.450704225,0.23943662,0.154929577,0.070422535,2.070422535,0.873239437,0.056338028,0.084507042,0.042253521,0.042253521,5.788732394,0.267605634,0.126760563,0.478873239,0.056338028,0.028169014,0.253521127,0,0.267605634,0.197183099,6.535211268,0.225352113,0.521126761,0.394366197,0.042253521,11.11267606,0.042253521,0.098591549,34460,1646,0.751238281,0.959459459,0.739583333,23,28.747,11.95871228,7.893121951,9.237425185,870.4366197,473.056338,0.555555556,46,34182,34275,0,0,0,0,0,0,0
65535,34484,1.178082192,0.054794521,0.301369863,0.493150685,0.219178082,0.068493151,2.452054795,0.890410959,0.01369863,0.397260274,0.054794521,0.02739726,1.082191781,0.136986301,0.04109589,0.219178082,0.054794521,0,0.273972603,0,0.315068493,0.205479452,10.84931507,0.246575342,0.273972603,0.315068493,0.123287671,11.69863014,0.109589041,0.095890411,34484,1693,0.770298082,0.901234568,0.675925926,23,31.997,12.68956796,8.091934257,84.26876386,837.369863,474.4931507,23,139,34205,34252,34344,34507,34576,34646,0,0,0
65535,34507,1.470588235,0.235294118,0.482352941,0.211764706,0.247058824,0.082352941,1.658823529,0.635294118,0.047058824,0.423529412,0.082352941,0.023529412,1.117647059,0.188235294,0.047058824,0.294117647,0.058823529,0.023529412,0.270588235,0,0.317647059,0.223529412,8.776470588,0.117647059,0.247058824,0.282352941,0.035294118,10.4,0.082352941,0.105882353,34507,1971,0.722151292,0.934065934,0.590277778,23,32.709,12.7330668,8.807909812,-49.94061722,848.6588235,473.3882353,0.69047619,70,34205,34484,34576,0,0,0,0,0,0
65535,34530,1.552631579,0.236842105,0.565789474,0.855263158,0.065789474,0.052631579,1.210526316,1.223684211,0.026315789,0.236842105,0.065789474,0.039473684,2.342105263,0.302631579,0.118421053,0.815789474,0,0.039473684,0.328947368,0.065789474,0.289473684,0.223684211,7.105263158,0.302631579,0.407894737,0.263157895,0.092105263,16.76315789,0.118421053,0.092105263,34530,1762,0.371130383,0.915662651,0.690909091,23,29.88,10.43143437,9.686429317,-37.05712086,783.8684211,474.2236842,0.621621622,46,34623,34692,0,0,0,0,0,0,0
65535,34553,0.989247312,0.172043011,0.634408602,0.462365591,0.182795699,0.064516129,2.311827957,1.268817204,0.043010753,0.247311828,0.150537634,0.021505376,2.322580645,0.23655914,0.053763441,0.462365591,0.11827957,0.043010753,0.172043011,0.032258065,0.548387097,0.204301075,7.849462366,0.451612903,0.440860215,0.47311828,0.161290323,18.02150538,0.11827957,0.107526882,34553,2157,0.580312558,0.920792079,0.65034965,23,34.462,12.46095118,10.14812194,-1.240902412,807.4193548,477.0107527,0.930232558,162,34228,34368,34391,34414,34600,34739,34762,0,0
65535,34576,0.741176471,0.117647059,0.376470588,0.105882353,0.211764706,0.058823529,0.894117647,0.611764706,0.047058824,0.188235294,0.058823529,0.011764706,1.082352941,0.082352941,0.094117647,0.2,0.058823529,0.023529412,0.164705882,0.011764706,0.270588235,0.164705882,8.905882353,0.235294118,0.082352941,0.211764706,0.094117647,7.541176471,0.058823529,0.070588235,34576,1971,0.682527329,0.894736842,0.594405594,23,34.189,12.82000913,9.369632795,-71.54814723,843.6941176,479.2352941,0.76744186,70,34205,34484,34507,0,0,0,0,0,0
65535,34600,2.181818182,0.145454545,0.545454545,0.327272727,0.090909091,0.018181818,3.418181818,1.036363636,0.036363636,0.272727273,0.054545455,0.109090909,2.618181818,0.418181818,0.218181818,0.672727273,0.254545455,0.072727273,0.563636364,0.018181818,0.472727273,0.363636364,9.745454545,0.472727273,0.727272727,0.436363636,0.054545455,14.81818182,0.072727273,0.109090909,34600,1275,0.722905792,0.93220339,0.625,23,26.506,10.45402007,7.223169712,4.051543686,821.6727273,477.5090909,23,116,34414,34437,34553,34646,34762,0,0,0,0
65535,34623,1.075757576,0.196969697,0.5,0.272727273,0.212121212,0.075757576,1.454545455,0.848484848,0.03030303,0.5,0.03030303,0.015151515,1.409090909,0.257575758,0.136363636,0.454545455,0.045454545,0.015151515,0.242424242,0,0.287878788,0.257575758,10.48484848,0.212121212,0.5,0.318181818,0.121212121,11.15151515,0.03030303,0.075757576,34623,1531,0.802197879,0.904109589,0.545454545,23,30.079,12.26984773,7.325813899,-45.03475629,776.9090909,476.969697,23,116,34321,34530,34669,34692,34785,0,0,0,0
65535,34646,1.442477876,0.150442478,0.398230088,0.238938053,0.17699115,0.079646018,0.814159292,0.690265487,0.03539823,0.283185841,0.017699115,0.026548673,1.442477876,0.230088496,0.07079646,0.398230088,0.017699115,0.03539823,0.159292035,0.008849558,0.159292035,0.14159292,6.548672566,0.203539823,0.309734513,0.194690265,0.044247788,9.008849558,0.07079646,0.115044248,34646,2620,0.871902549,0.84962406,0.538095238,23,42.062,18.03001272,8.828926382,44.86113674,828.2300885,480.2566372,0.698113208,139,34252,34344,34437,34484,34600,34762,0,0,0
65535,34669,1.453333333,0.093333333,0.28,0.133333333,0.186666667,0.053333333,1.733333333,0.56,0.053333333,0.266666667,0.026666667,0.013333333,1.333333333,0.186666667,0.04,0.253333333,0.04,0.026666667,0.146666667,0,0.266666667,0.306666667,8.573333333,0.133333333,0.613333333,0.146666667,0.026666667,5.52,0.106666667,0.093333333,34669,1739,0.557362984,0.925925926,0.568181818,23,30.567,11.07157798,9.192387251,-14.25501957,771.92,481.9333333,0.725,70,34623,34692,34785,0,0,0,0,0,0
65535,34692,1.240963855,0.204819277,0.518072289,0.325301205,0.192771084,0.096385542,0.614457831,0.819277108,0.060240964,0.21686747,0.072289157,0.036144578,1.34939759,0.204819277,0.048192771,0.313253012,0.060240964,0.060240964,0.144578313,0,0.325301205,0.21686747,11.61445783,0.253012048,0.361445783,0.301204819,0.072289157,11.8313253,0.096385542,0.084337349,34692,1925,0.728066344,0.954022989,0.685950413,23,30.732,12.55176673,8.604319849,42.38792646,785.3012048,483.1084337,0.7,93,34530,34623,34669,34785,0,0,0,0,0
65535,34715,1.868131868,0.126373626,0.538461538,0.197802198,0.208791209,0.043956044,1.318681319,0.983516484,0.06043956,0.098901099,0.093406593,0.038461538,2.565934066,0.269230769,1.038461538,0.296703297,0.021978022,0.049450549,0.412087912,0.016483516,0.307692308,0.153846154,6.840659341,0.258241758,0.395604396,0.428571429,0.142857143,11.12637363,0.054945055,0.10989011,34715,4221,0.458489293,0.943005181,0.7109375,23,47.231,16.27725484,14.46559526,-40.57657768,886.8846154,482.2857143,0.180327869,23,34855,0,0,0,0,0,0,0,0
65535,34739,1.420289855,0.086956522,0.463768116,0.289855072,0.246376812,0.043478261,0.753623188,0.695652174,0.014492754,0.362318841,0.115942029,0.028985507,1.869565217,0.376811594,0.710144928,0.376811594,0.057971014,0.043478261,0.347826087,0.043478261,0.333333333,0.275362319,9.275362319,0.173913043,0.420289855,0.333333333,0.086956522,11.84057971,0.057971014,0.173913043,34739,1600,0.623823947,0.932432432,0.69,23,29.111,10.91039743,8.527183611,-61.07715304,805.8550725,485.9565217,0.647058824,46,34553,34762,0,0,0,0,0,0,0
