ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,Selection,Sel01
65535,39,0.0709219858156028,0.0425531914893617,0.0921985815602837,0.156028368794326,0.00709219858156028,0.0141843971631206,0.297872340425532,0.560283687943262,0.0283687943262411,0.191489361702128,0.0709219858156028,0.0425531914893617,0.304964539007092,0.170212765957447,0.0212765957446809,0.170212765957447,0.0354609929078014,0.0141843971631206,0.212765957446809,0.00709219858156028,0.354609929078014,0.177304964539007,2.01418439716312,0.0921985815602837,0.212765957446809,0.312056737588652,0.0638297872340425,4.64539007092199,0.0567375886524823,0.0709219858156028,35.5106382978723,67.4255319148936,1530,5530,0.716104065055994,0.986013986013986,0.783333333333333,39,40.623,16.1563161585743,11.2770041483426,24.723004342646,646.276595744681,6.23404255319149,0,0,0,0,0,0,0,0,0,1
65535,78,0.137614678899083,0.073394495412844,0.100917431192661,0.293577981651376,0.0458715596330275,0.036697247706422,0.311926605504587,0.348623853211009,0.055045871559633,0.651376146788991,0.0458715596330275,0.0642201834862385,0.348623853211009,0.220183486238532,0.073394495412844,0.128440366972477,0.0458715596330275,0.073394495412844,0.26605504587156,0,0.614678899082569,0.137614678899083,0.660550458715596,0.165137614678899,0.229357798165138,0.412844036697248,0.0825688073394495,3.6697247706422,0.100917431192661,0.036697247706422,26.5504587155963,48.0550458715596,3059,4275,0.235406316890334,0.964601769911504,0.698717948717949,39,34.958,12.0610116545942,11.7220615861181,-14.2158534736736,1172.29357798165,6.24770642201835,0,0,0,0,0,0,0,0,0,1
65535,118,0.0273972602739726,0.150684931506849,0.191780821917808,0.424657534246575,0.0205479452054795,0.0410958904109589,0.232876712328767,0.383561643835616,0.0342465753424658,0.410958904109589,0.0205479452054795,0.0410958904109589,0.280821917808219,0.136986301369863,0.0273972602739726,0.0958904109589041,0.0684931506849315,0.0410958904109589,0.171232876712329,0.0136986301369863,0.397260273972603,0.102739726027397,0.801369863013699,0.102739726027397,0.102739726027397,0.438356164383562,0.0342465753424658,3.64383561643836,0.0342465753424658,0.10958904109589,25.5068493150685,46.2739726027397,4628,5726,0.458292896800074,0.960526315789474,0.748717948717949,39,40.284,14.5282820910569,12.9127549456759,-12.86059361898,725.431506849315,7.17808219178082,0,0,0,0,0,0,0,0,0,1
65535,157,0.0917874396135266,0.173913043478261,0.396135265700483,0.652173913043478,0.0386473429951691,0.0338164251207729,0.468599033816425,0.526570048309179,0.0434782608695652,0.391304347826087,0.072463768115942,0.0483091787439614,0.289855072463768,0.29951690821256,0.0434782608695652,0.198067632850242,0.0289855072463768,0.0386473429951691,0.347826086956522,0.00483091787439614,0.338164251207729,0.314009661835749,2.95169082125604,0.14975845410628,0.140096618357488,0.642512077294686,0.0676328502415459,11.4444444444444,0.0289855072463768,0.111111111111111,25.7584541062802,47.1835748792271,6157,8118,0.324752368951859,0.971830985915493,0.761029411764706,39,48.43,16.7478088567396,15.840062201029,-47.4315519185262,375.666666666667,9.11111111111111,0,0,0,0,0,0,0,0,0,1
65535,196,0.124378109452736,0.0845771144278607,0.328358208955224,0.407960199004975,0.0398009950248756,0.0746268656716418,0.437810945273632,0.90547263681592,0.0199004975124378,0.781094527363184,0.0845771144278607,0.0248756218905473,0.422885572139304,0.26865671641791,0.0497512437810945,0.348258706467662,0.0447761194029851,0.0696517412935323,0.283582089552239,0.00995024875621891,0.771144278606965,0.343283582089552,2.20398009950249,0.243781094527363,0.223880597014925,0.766169154228856,0.0796019900497512,9.69154228855721,0.104477611940299,0.109452736318408,36.7064676616915,67.636815920398,7687,7883,0.611443475895727,0.966346153846154,0.797619047619048,39,48.223,18.0527978136285,14.28496429361,80.2955914621916,1028.49751243781,9.35323383084577,0,0,0,0,0,0,0,0,0,1
65535,235,0.152866242038217,0.152866242038217,0.24203821656051,0.56687898089172,0.0318471337579618,0.0764331210191083,0.32484076433121,0.630573248407643,0.0573248407643312,0.592356687898089,0.121019108280255,0.0764331210191083,0.496815286624204,0.191082802547771,0.0636942675159236,0.152866242038217,0.0700636942675159,0.0636942675159236,0.254777070063694,0.00636942675159236,0.522292993630573,0.280254777070064,1.08917197452229,0.140127388535032,0.089171974522293,0.630573248407643,0.0828025477707006,6.38216560509554,0.0382165605095541,0.0828025477707006,26.828025477707,49.3375796178344,9216,6157,0.627206115586161,0.940119760479042,0.61328125,39,44.345,16.2808819974337,12.6804189387057,50.5254905846794,41.0700636942675,9.82802547770701,0,0,0,0,0,0,0,0,0,1
65535,275,0.245762711864407,0.0593220338983051,0.211864406779661,0.271186440677966,0.00847457627118644,0.0508474576271186,0.932203389830508,0.813559322033898,0.0593220338983051,0.474576271186441,0.0338983050847458,0.00847457627118644,1.16949152542373,0.279661016949153,0.211864406779661,0.0932203389830508,0.0423728813559322,0.0593220338983051,0.508474576271186,0.00847457627118644,0.406779661016949,0.220338983050847,6.73728813559322,0.169491525423729,0.491525423728814,0.559322033898305,0.110169491525424,9.26271186440678,0.0254237288135593,0.110169491525424,31.8389830508475,59.6101694915254,10785,4628,0.422199412910096,0.951612903225806,0.756410256410256,39,35.694,12.9373581949996,11.7277537784272,23.5894247809186,684.728813559322,10.3220338983051,0.347826086956522,39,510,0,0,0,0,0,0,1
65535,314,0.0810810810810811,0.118918918918919,0.210810810810811,0.4,0.027027027027027,0.0756756756756757,0.243243243243243,0.535135135135135,0.0702702702702703,0.518918918918919,0.0216216216216216,0.0108108108108108,0.286486486486487,0.140540540540541,0.113513513513514,0.124324324324324,0.0432432432432432,0.0216216216216216,0.367567567567568,0.0108108108108108,0.502702702702703,0.216216216216216,3.12972972972973,0.172972972972973,0.264864864864865,0.335135135135135,0.0540540540540541,8.04864864864865,0.0756756756756757,0.0648648648648649,39.1081081081081,74.054054054054,12315,7256,0.394954717093735,0.963541666666667,0.725490196078431,39,45.635,16.0869263399149,14.7790686968193,-82.5539525079387,602.978378378378,9.9945945945946,0,0,0,0,0,0,0,0,0,1
65535,353,0.0787037037037037,0.0972222222222222,0.157407407407407,0.180555555555556,0.00925925925925926,0.0324074074074074,0.217592592592593,0.490740740740741,0.00462962962962963,0.240740740740741,0.0509259259259259,0.0462962962962963,0.393518518518519,0.152777777777778,0.037037037037037,0.106481481481481,0.00925925925925926,0.0324074074074074,0.236111111111111,0.0138888888888889,0.328703703703704,0.171296296296296,2.79166666666667,0.143518518518519,0.189814814814815,0.333333333333333,0.101851851851852,5.28703703703704,0.0416666666666667,0.0601851851851852,37.2407407407407,68.1388888888889,13844,8471,0.730336572754834,0.951541850220264,0.675,39,51.912,20.1821756928809,13.7861913157982,63.4774729917425,753.828703703704,11.5972222222222,0,0,0,0,0,0,0,0,0,1
65535,392,0.125,0.111842105263158,0.144736842105263,0.197368421052632,0.0131578947368421,0.00657894736842105,0.447368421052632,1.42763157894737,0.0197368421052632,1.46052631578947,0.0394736842105263,0.0197368421052632,0.539473684210526,0.217105263157895,0.0197368421052632,0.236842105263158,0.0855263157894737,0.0723684210526316,0.236842105263158,0.0131578947368421,2.02631578947368,0.453947368421053,1.13815789473684,0.427631578947368,0.625,1.40131578947368,0.164473684210526,6.36184210526316,0.125,0.125,32.0986842105263,59.2236842105263,15374,5961,0.712489755634028,0.955974842767296,0.730769230769231,39,42.616,16.7232048766786,11.7343804121585,21.2562450738772,567.414473684211,13.4078947368421,0,0,0,0,0,0,0,0,0,1
