ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_7_Control_M_FrontalCrtx_240424_1_cellmas,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5
930216,210,0.56626506,0.240963855,0.590361446,0.144578313,0.036144578,0.108433735,2.578313253,1.927710843,0.108433735,0.445783133,0.036144578,0.096385542,2.602409639,0.457831325,0.156626506,0.325301205,0.096385542,0.048192771,0.397590361,0.024096386,0.674698795,0.289156627,7.361445783,0.265060241,0.698795181,0.746987952,0.204819277,20.20481928,0.072289157,0.21686747,13208,83,0.606130581,0.965116279,0.768518519,1,31.261,11.83581012,9.413790868,2.10396781,187.626506,173.3614458,0.447368421,1,196,0,0,0,0
930216,211,0.428571429,0.341269841,0.666666667,0.103174603,0.087301587,0.055555556,3.515873016,2.007936508,0.03968254,0.523809524,0.095238095,0.111111111,2.857142857,0.333333333,0.19047619,0.373015873,0.095238095,0.047619048,0.642857143,0,0.642857143,0.293650794,11.49206349,0.174603175,0.96031746,0.650793651,0.095238095,23.42063492,0.063492063,0.253968254,13271,126,0.619999861,0.954545455,0.692307692,1,37.77,14.39400946,11.29356746,52.13980692,274.8253968,174.0952381,0.040816327,1,219,0,0,0,0
930216,212,0.530120482,0.301204819,0.457831325,0.060240964,0.096385542,0.072289157,3.518072289,1.879518072,0.084337349,0.56626506,0.036144578,0.060240964,10.09638554,0.421686747,0.156626506,0.34939759,0.048192771,0.036144578,0.602409639,0,0.421686747,0.337349398,2.939759036,0.144578313,1.048192771,0.686746988,0.096385542,24.57831325,0.156626506,0.156626506,13333,83,0.703031091,0.93258427,0.638461538,1,31.865,12.49657096,8.887050331,-16.28888501,711.746988,172.1807229,0.56097561,1,217,0,0,0,0
930216,213,0.359550562,0.280898876,0.674157303,0.078651685,0.033707865,0.04494382,4.842696629,2.04494382,0.078651685,0.483146067,0.02247191,0.112359551,4.471910112,0.550561798,0.213483146,0.370786517,0.112359551,0.101123596,0.853932584,0.011235955,0.550561798,0.235955056,2.651685393,0.258426966,1.258426966,0.831460674,0.123595506,24.59550562,0.146067416,0.280898876,13396,89,0.352475644,0.956989247,0.73553719,1,31.286,11.0863626,10.3748508,64.93480953,558.752809,174.3820225,0.564102564,2,208,229,0,0,0
930216,214,0.384615385,0.278846154,0.769230769,0.086538462,0.038461538,0.057692308,4.173076923,1.884615385,0.125,0.471153846,0.076923077,0.115384615,2.759615385,0.538461538,0.153846154,0.461538462,0.057692308,0.105769231,0.528846154,0,0.586538462,0.240384615,5.480769231,0.230769231,1.644230769,0.673076923,0.173076923,21.72115385,0.144230769,0.221153846,13459,104,0.508709416,0.962962963,0.666666667,1,34.404,12.54690567,10.80211145,-14.92095436,762.5961538,174.2115385,0,0,0,0,0,0,0
930216,215,0.567567568,0.243243243,0.486486486,0.081081081,0.081081081,0.040540541,4.243243243,1.810810811,0.148648649,0.540540541,0.054054054,0.081081081,12.2027027,0.297297297,0.405405405,0.351351351,0.027027027,0.067567568,0.459459459,0,0.72972973,0.22972973,3.283783784,0.243243243,0.891891892,0.648648649,0.216216216,18.63513514,0.175675676,0.148648649,13522,74,0.626874492,0.936708861,0.747474747,1,28.565,11.18383441,8.71355192,3.716071086,163.1486486,175.972973,0.444444444,1,223,0,0,0,0
930216,216,0.37804878,0.341463415,0.536585366,0.085365854,0.048780488,0.073170732,3.37804878,1.695121951,0.06097561,0.573170732,0.085365854,0.085365854,2.548780488,0.390243902,0.109756098,0.365853659,0.024390244,0.036585366,0.609756098,0.012195122,0.585365854,0.292682927,15.53658537,0.365853659,1.073170732,0.62195122,0.195121951,22.01219512,0.170731707,0.292682927,13585,82,0.458203486,0.921348315,0.67768595,1,31.195,11.08715966,9.854792193,8.535828754,681.1463415,175.9512195,0.384615385,1,226,0,0,0,0
930216,217,0.775700935,0.289719626,0.588785047,0.140186916,0.028037383,0.056074766,3.299065421,1.953271028,0.065420561,0.504672897,0.056074766,0.065420561,9.476635514,0.570093458,0.177570093,0.392523364,0.08411215,0.065420561,0.607476636,0,0.514018692,0.261682243,9.887850467,0.242990654,0.841121495,0.822429907,0.196261682,27.88785047,0.130841121,0.271028037,13648,107,0.78213375,0.906779661,0.66875,1,39.242,15.35848174,9.570032499,-8.554995437,708.682243,179.0280374,0.75,2,212,234,0,0,0
930216,218,0.352,0.352,0.512,0.072,0.04,0.08,2.584,1.568,0.048,0.472,0.04,0.112,1.792,0.328,0.152,0.36,0.056,0.072,0.52,0.032,0.512,0.48,13.416,0.256,0.736,0.808,0.192,17.816,0.12,0.216,13711,125,0.72543701,0.932835821,0.710227273,1,39.242,15.33850237,10.55731574,88.32392107,218.784,180.36,0.3125,2,202,206,0,0,0
930216,219,0.37962963,0.25,0.564814815,0.064814815,0.037037037,0.111111111,3.037037037,1.768518519,0.055555556,0.62037037,0.083333333,0.055555556,2.75,0.388888889,0.222222222,0.342592593,0.037037037,0.092592593,0.694444444,0.027777778,0.898148148,0.259259259,1.37037037,0.342592593,0.638888889,0.759259259,0.111111111,24.38888889,0.138888889,0.175925926,13774,108,0.561361859,0.972972973,0.692307692,1,34.95,13.03255594,10.78535829,39.60177202,287.4444444,179.5092593,0.444444444,2,211,221,0,0,0
