ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_2_ALS_F_FrontalCrtx_240511_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5
322271,26,1.05,0.116666667,0.366666667,0,0.033333333,0.116666667,1.683333333,3.433333333,0.05,1.716666667,0.066666667,0.033333333,3.2,0.4,0.166666667,0.45,0.033333333,0.116666667,0.35,0.016666667,0.966666667,0.483333333,0.583333333,0.566666667,0.266666667,1.166666667,0.2,10.3,0.116666667,0.05,2083,60,0.558235924,0.923076923,0.75,1,26.299,9.82829158,8.154359172,-80.54042144,6.9,30.21666667,0,0,0,0,0,0,0
322271,27,0.458333333,0.125,0.5,0.052083333,0.0625,0.104166667,1.052083333,2.385416667,0.041666667,1.447916667,0.083333333,0.041666667,1.385416667,0.322916667,0.0625,0.333333333,0.052083333,0.0625,0.541666667,0.010416667,0.635416667,0.479166667,1.260416667,0.375,0.135416667,0.96875,0.114583333,8.90625,0.229166667,0.229166667,2163,96,0.58804931,0.95049505,0.671328671,1,32.998,12.4137333,10.04053883,21.67492601,494.9895833,29.26041667,0.279069767,1,38,0,0,0,0
322271,28,0.905660377,0.198113208,0.330188679,0.047169811,0.094339623,0.047169811,1.641509434,1.754716981,0.066037736,1.122641509,0.08490566,0.037735849,7.58490566,0.386792453,0.056603774,0.367924528,0.037735849,0.028301887,0.386792453,0.028301887,0.594339623,0.273584906,0.830188679,0.311320755,0.367924528,0.650943396,0.150943396,7.433962264,0.254716981,0.103773585,2243,106,0.658708698,0.963636364,0.757142857,1,34.47,13.49959235,10.15706719,2.14E-15,680.5,29.11320755,0,0,0,0,0,0,0
322271,29,0.882352941,0.137254902,0.441176471,0.068627451,0.058823529,0.058823529,1.078431373,1.81372549,0.078431373,1.088235294,0.049019608,0.019607843,2.088235294,0.352941176,0.176470588,0.37254902,0.029411765,0.058823529,0.745098039,0.068627451,0.735294118,0.31372549,0.509803922,0.460784314,0.303921569,1.088235294,0.156862745,8.441176471,0.18627451,0.068627451,2323,102,0.625754548,0.935779817,0.662337662,1,34.859,13.04584547,10.17602076,-1.574183368,359.8333333,30.68627451,0.522727273,1,45,0,0,0,0
322271,30,1.008403361,0.117647059,0.403361345,0.075630252,0.075630252,0.050420168,1.327731092,3.176470588,0.033613445,2.201680672,0.084033613,0.075630252,4.151260504,0.478991597,0.100840336,0.445378151,0.058823529,0.075630252,0.596638655,0.025210084,0.848739496,0.630252101,0.529411765,0.43697479,0.260504202,0.697478992,0.117647059,9.277310924,0.260504202,0.142857143,2403,119,0.876278719,0.92248062,0.734567901,1,41.574,17.89917028,8.623901355,2.056944718,27.19327731,31.46218487,0.28,1,42,0,0,0,0
322271,31,0.862745098,0.098039216,0.477124183,0.091503268,0.104575163,0.058823529,1.359477124,2.68627451,0.032679739,1.699346405,0.045751634,0.032679739,2.673202614,0.444444444,0.071895425,0.431372549,0.078431373,0.071895425,0.588235294,0.039215686,0.836601307,0.516339869,0.705882353,0.503267974,0.267973856,0.960784314,0.111111111,10.32679739,0.300653595,0.137254902,2484,153,0.715517214,0.950310559,0.75,1,42.707,16.78394419,11.72518121,-89.51528052,545.3333333,31.28104575,0.592592593,3,19,23,35,0,0
322271,32,0.759615385,0.125,0.413461538,0.076923077,0.086538462,0.057692308,1.076923077,2.759615385,0.038461538,1.403846154,0.038461538,0.038461538,1.951923077,0.336538462,0.951923077,0.490384615,0.115384615,0.096153846,1.259615385,0.009615385,0.903846154,0.538461538,0.644230769,0.451923077,0.230769231,0.817307692,0.173076923,9.884615385,0.240384615,0.115384615,2564,104,0.676565169,0.945454545,0.666666667,1,34.594,13.58508897,10.00382534,-38.87750242,724.1153846,33.30769231,0,0,0,0,0,0,0
322271,33,0.794392523,0.093457944,0.457943925,0.046728972,0.037383178,0.08411215,1.074766355,2.560747664,0.028037383,1.364485981,0.065420561,0.028037383,3.317757009,0.336448598,0.093457944,0.317757009,0.028037383,0.102803738,0.355140187,0,0.728971963,0.420560748,0.635514019,0.551401869,0.355140187,0.523364486,0.065420561,8.38317757,0.168224299,0.14953271,2644,107,0.65211851,0.930434783,0.694805195,1,36.182,13.59224707,10.30451414,18.26373006,54.99065421,32.63551402,0,0,0,0,0,0,0
322271,34,0.612903226,0.11827957,0.35483871,0.043010753,0.053763441,0.129032258,1.150537634,1.870967742,0.021505376,1.677419355,0.043010753,0.075268817,2.419354839,0.397849462,0.107526882,0.430107527,0.043010753,0.150537634,0.505376344,0.021505376,0.774193548,0.430107527,0.47311828,0.387096774,0.204301075,0.978494624,0.204301075,7.698924731,0.290322581,0.021505376,2724,93,0.637761407,0.948979592,0.715384615,1,32.419,12.48336774,9.615114051,11.78615483,377.6666667,33.65591398,0.341463415,2,20,56,0,0,0
322271,35,0.492537313,0.111940299,0.626865672,0.052238806,0.059701493,0.037313433,1.082089552,2.014925373,0.074626866,1.626865672,0.089552239,0.052238806,1.753731343,0.276119403,0.149253731,0.425373134,0.052238806,0.067164179,1.059701493,0,0.865671642,0.417910448,0.731343284,0.417910448,0.253731343,1.044776119,0.149253731,7.902985075,0.194029851,0.104477612,2804,134,0.600446759,0.937062937,0.744444444,1,41.384,14.90138797,11.91611447,6.843884898,530.0074627,32.32835821,0.92,5,19,31,39,44,54
322271,36,1.127906977,0.104651163,0.465116279,0.046511628,0.081395349,0.127906977,1.418604651,2.755813953,0.081395349,1.279069767,0.034883721,0.058139535,4.011627907,0.372093023,0.569767442,0.418604651,0.058139535,0.127906977,0.651162791,0.069767442,0.511627907,0.523255814,1.593023256,0.430232558,0.325581395,0.755813953,0.11627907,9.244186047,0.23255814,0.151162791,2884,86,0.763174236,0.895833333,0.601398601,1,34.098,13.42443401,8.674772093,39.26941956,479.4767442,33.76744186,0.714285714,2,38,41,0,0,0
322271,37,0.971428571,0.085714286,0.495238095,0.133333333,0.171428571,0.047619048,1.314285714,3.4,0.028571429,1.6,0.095238095,0.028571429,2.19047619,0.542857143,0.104761905,0.447619048,0.038095238,0.047619048,0.523809524,0,0.866666667,0.447619048,0.685714286,0.457142857,0.219047619,0.79047619,0.219047619,11.0952381,0.295238095,0.20952381,2964,105,0.743885698,0.92920354,0.681818182,1,35.876,14.27477579,9.539930681,-32.99943819,234.3238095,34,0.4,1,40,0,0,0,0
322271,38,0.438202247,0.134831461,0.606741573,0.033707865,0.056179775,0.033707865,1.101123596,2.078651685,0.033707865,1.752808989,0.033707865,0.04494382,1.528089888,0.471910112,0.078651685,0.348314607,0.056179775,0.033707865,0.707865169,0,0.685393258,0.426966292,0.730337079,0.337078652,0.224719101,0.898876404,0.101123596,8.325842697,0.280898876,0.112359551,3044,89,0.704447902,0.89,0.577922078,1,34.313,12.94095904,9.184919445,17.33172293,487.1460674,37.11235955,0.659090909,2,27,36,0,0,0
322271,39,1.211538462,0.163461538,0.423076923,0.134615385,0.076923077,0.067307692,1.375,2.336538462,0.076923077,1.653846154,0.076923077,0.019230769,4.067307692,0.490384615,1.009615385,0.586538462,0.096153846,0.096153846,1.134615385,0.028846154,0.730769231,0.586538462,0.788461538,0.413461538,0.25,0.942307692,0.192307692,8.269230769,0.25,0.163461538,3125,104,0.466022192,0.945454545,0.727272727,1,34.288,12.35817027,10.93417577,-80.45645824,518.625,37.36538462,0.511627907,3,35,44,54,0,0
322271,40,0.758241758,0.142857143,0.626373626,0.076923077,0.054945055,0.065934066,1.197802198,2.747252747,0.043956044,1.351648352,0.043956044,0.054945055,3.120879121,0.296703297,0.461538462,0.351648352,0.032967033,0.043956044,0.593406593,0.032967033,0.868131868,0.483516484,0.648351648,0.527472527,0.230769231,1,0.197802198,7.879120879,0.252747253,0.131868132,3205,91,0.674806641,0.947916667,0.636363636,1,32.717,12.72526675,9.391177857,-32.22843809,227.5824176,39.37362637,0.441860465,1,37,0,0,0,0
322271,42,1.083333333,0.130952381,0.535714286,0.107142857,0.107142857,0.095238095,1.05952381,2.404761905,0.035714286,0.94047619,0.071428571,0,3.726190476,0.380952381,0.261904762,0.392857143,0.083333333,0.047619048,0.535714286,0.035714286,0.619047619,0.333333333,0.583333333,0.488095238,0.226190476,0.69047619,0.083333333,8.702380952,0.238095238,0.107142857,3365,84,0.772685228,0.933333333,0.717948718,1,31.195,13.14668775,8.345377576,16.95363528,22.67857143,39.77380952,0.975,3,30,46,52,0,0
322271,43,0.958333333,0.125,0.591666667,0.075,0.116666667,0.075,1.083333333,3.116666667,0.083333333,1.708333333,0.066666667,0.05,3.766666667,0.35,0.408333333,0.416666667,0.041666667,0.066666667,0.95,0,0.858333333,0.416666667,0.516666667,0.483333333,0.325,0.791666667,0.166666667,9.183333333,0.191666667,0.083333333,3445,120,0.441644278,0.952380952,0.714285714,1,36.827,13.14281525,11.79160561,6.768812697,147.4916667,39.925,0,0,0,0,0,0,0
