ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10
7389,27,1.89285714285714,0.178571428571429,0.178571428571429,0.0714285714285714,0.0357142857142857,0.0714285714285714,1.64285714285714,3.82142857142857,0.0714285714285714,0.714285714285714,0.107142857142857,0,3.03571428571429,0.464285714285714,0.178571428571429,0.214285714285714,0.178571428571429,0.0357142857142857,0.678571428571429,0.0357142857142857,0.571428571428571,0.25,0.571428571428571,0.607142857142857,0.25,0.428571428571429,0.107142857142857,4.60714285714286,0.178571428571429,0.107142857142857,19.6428571428571,38.3928571428571,724,751,0.454282786721147,0.96551724137931,0.666666666666667,27,16.218,6.46965458022598,5.76354053898589,15.3425865447975,766.071428571429,5.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0
7389,54,2.33870967741936,0.161290322580645,0.290322580645161,0.0645161290322581,0.0645161290322581,0.0483870967741935,0.951612903225806,2.83870967741936,0.0161290322580645,1.2258064516129,0.032258064516129,0.0645161290322581,5.80645161290323,0.5,0.0645161290322581,0.419354838709677,0.112903225806452,0.0806451612903226,0.548387096774194,0,0.483870967741936,0.193548387096774,0.387096774193548,0.274193548387097,0.209677419354839,0.451612903225806,0.0967741935483871,4.87096774193548,0.112903225806452,0.161290322580645,20.9032258064516,38.6935483870968,1449,1663,0.696782256514976,0.746987951807229,0.442857142857143,27,35.521,11.6332436830105,8.34432456267057,11.6185973531578,448.403225806452,7.12903225806452,0.575,27,590,0,0,0,0,0,0,0,0,0
7389,80,2.05,0.15,0.233333333333333,0.05,0.133333333333333,0.0333333333333333,0.816666666666667,3.21666666666667,0.0666666666666667,0.916666666666667,0.0166666666666667,0.0166666666666667,2.68333333333333,0.466666666666667,0.0833333333333333,0.416666666666667,0.0333333333333333,0.133333333333333,0.35,0.0166666666666667,0.4,0.166666666666667,0.416666666666667,0.333333333333333,0.216666666666667,0.416666666666667,0.0833333333333333,3.8,0.0666666666666667,0.116666666666667,22.1166666666667,37.7,2146,1610,0.590222199714236,0.967741935483871,0.75,27,25.373,9.90430337554461,7.99515806116135,2.64916285820645,303.583333333333,7.68333333333333,0.46875,54,1019,1100,0,0,0,0,0,0,0,0
7389,107,2.32352941176471,0.0735294117647059,0.176470588235294,0.0294117647058824,0.0147058823529412,0.0735294117647059,1.01470588235294,2.16176470588235,0.0441176470588235,0.823529411764706,0.0882352941176471,0.0294117647058824,6.60294117647059,0.264705882352941,0.102941176470588,0.470588235294118,0.0588235294117647,0.0441176470588235,0.764705882352941,0.0147058823529412,0.558823529411765,0.264705882352941,0.529411764705882,0.147058823529412,0.220588235294118,0.602941176470588,0.147058823529412,4.45588235294118,0.132352941176471,0.117647058823529,20.0588235294118,37.3823529411765,2870,1824,0.746089545600385,0.883116883116883,0.581196581196581,27,31.278,11.9132015787919,7.93235309385457,21.912606242985,348.25,7.30882352941176,0.578947368421053,27,778,0,0,0,0,0,0,0,0,0
7389,134,2.03896103896104,0.12987012987013,0.311688311688312,0.0909090909090909,0.051948051948052,0.12987012987013,0.87012987012987,2.67532467532468,0.038961038961039,0.701298701298701,0.0909090909090909,0.051948051948052,3.5974025974026,0.519480519480519,1.54545454545455,0.454545454545455,0.12987012987013,0.0779220779220779,0.935064935064935,0.051948051948052,0.467532467532468,0.285714285714286,0.402597402597403,0.467532467532468,0.272727272727273,0.597402597402597,0.103896103896104,7.4025974025974,0.142857142857143,0.0909090909090909,19.0909090909091,34.8441558441558,3595,2066,0.318210549771134,0.939024390243902,0.641666666666667,27,31.179,10.5675953287427,10.0182924236674,-68.2348960211507,517.376623376623,8.07792207792208,0,0,0,0,0,0,0,0,0,0,0,0
7389,161,2.19565217391304,0.173913043478261,0.173913043478261,0.173913043478261,0.0652173913043478,0.108695652173913,0.847826086956522,2.71739130434783,0.0434782608695652,0.956521739130435,0.0217391304347826,0.0869565217391304,4.84782608695652,0.434782608695652,0.0869565217391304,0.195652173913043,0.0434782608695652,0.0652173913043478,0.695652173913043,0,0.58695652173913,0.130434782608696,0.58695652173913,0.369565217391304,0.173913043478261,0.347826086956522,0.108695652173913,6.1304347826087,0.0652173913043478,0.130434782608696,18.7391304347826,34.9565217391304,4319,1234,0.697032615529388,0.901960784313726,0.638888888888889,27,23.231,9.36725773456734,6.71669307293521,46.8712098288228,545.413043478261,6.58695652173913,0.482758620689655,54,644,885,0,0,0,0,0,0,0,0
7389,188,0.111111111111111,0.0833333333333333,0.277777777777778,0.138888888888889,0.0555555555555556,0.0277777777777778,1.05555555555556,1.30555555555556,0.0555555555555556,1.38888888888889,0.111111111111111,0,1.44444444444444,0.472222222222222,0.0833333333333333,0.583333333333333,0.0277777777777778,0.0555555555555556,0.805555555555556,0,0.472222222222222,0.305555555555556,0.611111111111111,0.333333333333333,0.0555555555555556,1.13888888888889,0.166666666666667,5.11111111111111,0.166666666666667,0.166666666666667,19.5277777777778,35.2222222222222,5043,966,0.871399377350338,0.972972972972973,0.6,27,21.817,9.96242890873756,4.88731139866143,28.0768713198082,889.916666666667,6.86111111111111,0.730769230769231,54,537,671,0,0,0,0,0,0,0,0
7389,215,2.73529411764706,0.205882352941176,0.117647058823529,0.0294117647058824,0.147058823529412,0.0588235294117647,0.676470588235294,3.5,0.117647058823529,0.911764705882353,0.0294117647058824,0,7.32352941176471,0.352941176470588,0.264705882352941,0.558823529411765,0.0882352941176471,0.176470588235294,0.617647058823529,0.0294117647058824,0.705882352941177,0.382352941176471,0.5,0.382352941176471,0.147058823529412,0.676470588235294,0.264705882352941,6.17647058823529,0.205882352941176,0.147058823529412,18.5,33.4117647058824,5768,912,0.631068199014241,0.918918918918919,0.693877551020408,27,18.55,7.66864525274144,5.94877789289353,-44.6783173591025,4.88235294117647,6.97058823529412,0,0,0,0,0,0,0,0,0,0,0,0
7389,241,2.28571428571429,0.178571428571429,0.285714285714286,0.107142857142857,0.0535714285714286,0.107142857142857,1.10714285714286,3.875,0.0892857142857143,1.53571428571429,0.125,0.0535714285714286,8.42857142857143,0.428571428571429,0.142857142857143,0.375,0.0357142857142857,0.0714285714285714,0.339285714285714,0,0.75,0.464285714285714,0.660714285714286,0.375,0.0892857142857143,0.642857142857143,0.196428571428571,5.32142857142857,0.267857142857143,0.178571428571429,42.9642857142857,79.6964285714286,6465,1502,0.450591994233504,0.861538461538462,0.56,27,29.128,9.374561584059,8.36895237255944,-31.8273762626795,30.8392857142857,7.55357142857143,0.666666666666667,54,268,724,0,0,0,0,0,0,0,0
7389,268,2.43589743589744,0.0769230769230769,0.102564102564103,0.128205128205128,0.102564102564103,0.102564102564103,0.923076923076923,2.61538461538462,0.0256410256410256,0.743589743589744,0.0256410256410256,0.102564102564103,7.64102564102564,0.307692307692308,0.282051282051282,0.512820512820513,0.0512820512820513,0.128205128205128,0.974358974358974,0.0256410256410256,0.538461538461538,0.205128205128205,0.307692307692308,0.461538461538462,0.205128205128205,0.435897435897436,0.102564102564103,3.56410256410256,0.128205128205128,0.102564102564103,19.0769230769231,32.5641025641026,7189,1046,0.712940634017234,0.975,0.8125,27,20.022,8.58338416966636,6.01887837279774,72.7531988939546,37.1538461538462,8.30769230769231,0.583333333333333,54,241,724,0,0,0,0,0,0,0,0
