ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,Selection,Sel01
65535,25115,0.182926829,0.085365854,0.12195122,0.024390244,0.097560976,0.073170732,1.707317073,1.536585366,0.073170732,0.524390244,0.048780488,0.097560976,1.573170732,0.37804878,0.024390244,0.243902439,0.06097561,0.06097561,0.5,0.012195122,0.512195122,0.341463415,0.268292683,0.329268293,0.085365854,0.426829268,0.12195122,4.865853659,0.256097561,0.073170732,11.98780488,20.69512195,25115,1734,0.582953311,0.911111111,0.621212121,21,32.792,11.57187031,9.402210051,-46.44017937,1294.292683,286.9390244,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,25136,0.243243243,0.108108108,0.067567568,0.040540541,0.148648649,0.067567568,1.175675676,1.945945946,0.081081081,0.797297297,0,0.040540541,2.081081081,0.283783784,0.148648649,0.364864865,0.067567568,0.108108108,0.175675676,0,0.878378378,0.648648649,0.351351351,0.378378378,0.121621622,0.567567568,0.040540541,4.891891892,0.283783784,0.054054054,12.2972973,23.08108108,25136,1564,0.464231364,0.961038961,0.74,21,28.276,10.42672006,9.235091642,15.85992293,1419.337838,285.4594595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,25157,0.093390805,0.125,0.112068966,0.060344828,0.081896552,0.041666667,1.058908046,1.048850575,0.050287356,0.474137931,0.040229885,0.028735632,0.70545977,0.20545977,0.136494253,0.209770115,0.060344828,0.050287356,0.49137931,0.015804598,0.495689655,0.393678161,0.373563218,0.20545977,0.060344828,0.732758621,0.112068966,3.140804598,0.204022989,0.162356322,21.39224138,40.44252874,25157,14714,0.442563744,0.95735901,0.703030303,21,97.424,31.92484094,28.62818762,61.09971123,143.1278736,285.9439655,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,25178,0.140350877,0.01754386,0.070175439,0.01754386,0.01754386,0.052631579,1.280701754,1.245614035,0.070175439,0.385964912,0,0.070175439,1.438596491,0.245614035,0.122807018,0.087719298,0.01754386,0.035087719,0.561403509,0.052631579,0.578947368,0.421052632,0.666666667,0.157894737,0.192982456,0.421052632,0.052631579,3.438596491,0.175438596,0.210526316,11.92982456,20.68421053,25178,1205,0.590678213,21,0.633333333,21,24.654,9.647485144,7.784625343,32.05165873,407.5087719,287.0701754,0.088235294,21,25622,0,0,0,0,0,0,0,0,0,0,1
65535,25199,0.253731343,0.089552239,0.134328358,0.014925373,0.074626866,0.119402985,1.029850746,2.044776119,0.074626866,0.746268657,0.014925373,0.059701493,0.835820896,0.328358209,0.029850746,0.358208955,0.029850746,0.119402985,0.656716418,0.014925373,0.805970149,0.641791045,1.119402985,0.358208955,0.119402985,0.447761194,0.179104478,6.074626866,0.298507463,0.089552239,11.97014925,23.65671642,25199,1416,0.635093875,0.985294118,0.67,21,27.35,10.67504258,8.245776104,38.81173846,12853,286.4925373,0.714285714,42,24607,25411,0,0,0,0,0,0,0,0,0,0
65535,25220,0.136363636,0.136363636,0.166666667,0.015151515,0.121212121,0.090909091,0.893939394,1.212121212,0.015151515,0.409090909,0.060606061,0.060606061,1.075757576,0.257575758,0.106060606,0.060606061,0.03030303,0.045454545,0.46969697,0,0.575757576,0.439393939,0.227272727,0.303030303,0.060606061,0.53030303,0.106060606,3.924242424,0.136363636,0.03030303,15.25757576,26.33333333,25220,1395,0.789031944,0.956521739,0.666666667,21,27.358,11.84683446,7.278128485,26.54385568,715.9090909,286.9848485,0.555555556,42,25347,25516,0,0,0,0,0,0,0,0,0,1
65535,25242,0.150684932,0.068493151,0.01369863,0,0.054794521,0.068493151,0.97260274,1.493150685,0.054794521,0.506849315,0.04109589,0,1.191780822,0.219178082,0.068493151,0.219178082,0.04109589,0.02739726,0.479452055,0,0.602739726,0.369863014,0.232876712,0.109589041,0.01369863,0.397260274,0.136986301,4.260273973,0.191780822,0.095890411,11.63013699,20.46575342,25242,1543,0.781953,0.935897436,0.623931624,21,30.534,12.48049309,7.779558024,7.245922702,898.5890411,287.2876712,0.263157895,21,24227,0,0,0,0,0,0,0,0,0,0,1
65535,25263,0.130434783,0.130434783,0.101449275,0.072463768,0.057971014,0.014492754,0.956521739,1.637681159,0.115942029,0.492753623,0.072463768,0.014492754,1.217391304,0.246376812,0.130434783,0.231884058,0.043478261,0.072463768,0.347826087,0.043478261,0.608695652,0.347826087,0.347826087,0.31884058,0.043478261,0.84057971,0.115942029,4.347826087,0.130434783,0.072463768,12.15942029,22.44927536,25263,1459,0.419318664,0.932432432,0.69,21,28.392,10.05960314,9.132501208,89.11248097,1065.971014,288.4057971,0.083333333,21,24544,0,0,0,0,0,0,0,0,0,0,1
65535,25284,0.180555556,0.152777778,0.152777778,0.055555556,0.069444444,0.041666667,1.194444444,1.805555556,0.027777778,0.527777778,0.027777778,0.069444444,1.083333333,0.263888889,0.152777778,0.097222222,0.027777778,0.027777778,0.569444444,0,0.555555556,0.375,0.361111111,0.25,0.069444444,0.652777778,0.097222222,3.930555556,0.291666667,0.125,11.06944444,21.15277778,25284,1522,0.820667368,0.87804878,0.503496503,21,33.644,13.4271753,7.672371508,57.53668928,75.65277778,287.5416667,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,25305,0.144578313,0.096385542,0.072289157,0.036144578,0.036144578,0.024096386,1.060240964,2.120481928,0.036144578,0.409638554,0.084337349,0.048192771,1.771084337,0.144578313,0.120481928,0.240963855,0.012048193,0.024096386,0.493975904,0.012048193,0.445783133,0.56626506,0.337349398,0.277108434,0.096385542,0.397590361,0.096385542,4.855421687,0.289156627,0.096385542,11.56626506,20.92771084,25305,1755,0.767904831,0.943181818,0.709401709,21,32.982,13.09428585,8.387727434,-6.054548646,433.060241,289.3975904,0.325581395,21,25728,0,0,0,0,0,0,0,0,0,0,1
65535,25326,0.196969697,0.121212121,0.090909091,0.045454545,0.121212121,0.060606061,1.242424242,1.075757576,0.075757576,0.333333333,0.03030303,0.015151515,1.03030303,0.257575758,0.090909091,0.181818182,0.015151515,0.015151515,0.545454545,0.03030303,0.590909091,0.287878788,0.227272727,0.181818182,0.075757576,0.378787879,0.136363636,2.984848485,0.287878788,0.090909091,10.6969697,20.84848485,25326,1395,0.694493837,0.985074627,0.666666667,21,28.02,10.94742869,7.876660184,62.4211458,641.2878788,286.9393939,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,25347,0.158730159,0.111111111,0.174603175,0.031746032,0.111111111,0.111111111,0.619047619,1.650793651,0.031746032,0.650793651,0.015873016,0.015873016,1.222222222,0.26984127,0.063492063,0.126984127,0.047619048,0.015873016,0.492063492,0.015873016,0.571428571,0.476190476,0.238095238,0.238095238,0.047619048,0.349206349,0.031746032,4.666666667,0.19047619,0.095238095,11.42857143,20.84126984,25347,1332,0.605334691,0.969230769,0.572727273,21,27.648,10.35911878,8.245558653,-52.31587354,703.7936508,287.7619048,0.111111111,21,25220,0,0,0,0,0,0,0,0,0,0,1
65535,25368,0.171875,0.140625,0.109375,0.0390625,0.09375,0.09375,1.1953125,1.421875,0.0625,0.671875,0.0390625,0.0859375,3.046875,0.34375,0.09375,0.203125,0.046875,0.015625,1.640625,0.015625,0.671875,0.4296875,0.265625,0.234375,0.1875,0.609375,0.203125,4.65625,0.296875,0.0859375,14.5,28.5546875,25368,2706,0.765370696,0.927536232,0.571428571,21,42.642,16.27613239,10.4751511,-34.12433612,47.5234375,289.3203125,0.035714286,21,25030,0,0,0,0,0,0,0,0,0,0,1
65535,25390,0.135135135,0.162162162,0.135135135,0.027027027,0.040540541,0.040540541,1.189189189,2.243243243,0.027027027,0.702702703,0.013513514,0,42,0.378378378,0.135135135,0.189189189,0.094594595,0.013513514,0.391891892,0.013513514,0.77027027,0.432432432,0.297297297,0.283783784,0.108108108,0.594594595,0.202702703,3.675675676,0.094594595,0.027027027,13.86486486,24.56756757,25390,1564,0.838944035,0.936708861,0.616666667,21,30.352,13.32502509,7.251714525,28.85204386,291.472973,287.6081081,0.179487179,21,25685,0,0,0,0,0,0,0,0,0,0,1
65535,25411,0.03960396,0.148514851,0.089108911,0.00990099,0.079207921,0.02970297,0.95049505,2.247524752,0.069306931,0.712871287,0.01980198,0.03960396,1.633663366,0.445544554,0.059405941,0.306930693,0.059405941,0.01980198,0.297029703,0,0.633663366,0.465346535,0.623762376,0.247524752,0.079207921,0.524752475,0.108910891,5.623762376,0.217821782,0.108910891,15.4950495,29.61386139,25411,2135,0.802031905,0.961904762,0.748148148,21,36.05,14.96446705,8.937994723,3.191453297,596.4059406,288.5742574,0.222222222,21,25199,0,0,0,0,0,0,0,0,0,0,1
65535,25432,0.08,0.14,0.1,0.08,0.08,0.04,1.12,2.1,0.02,0.68,0.04,0.06,21,0.26,0.06,0.26,0.06,0.04,0.6,0,0.76,0.58,0.48,0.38,0.2,0.42,0.18,5.1,0.32,0.04,10.6,20.86,25432,1057,0.870518058,0.847457627,0.595238095,21,27.937,12.21219696,6.010067567,1.580916194,1252.74,289.02,0.702702703,42,24755,25009,0,0,0,0,0,0,0,0,0,1
65535,25453,0.086956522,0.072463768,0.072463768,0.014492754,0.028985507,0.043478261,1.072463768,1.985507246,0.043478261,0.52173913,0.014492754,0,1.231884058,0.405797101,0.057971014,0.188405797,0.043478261,0.086956522,0.391304348,0.014492754,0.507246377,0.405797101,0.173913043,0.304347826,0.043478261,0.449275362,0.115942029,4.985507246,0.289855072,0.028985507,10.60869565,21.04347826,25453,1459,0.750814485,0.958333333,0.575,21,29.426,11.86848709,7.839291684,-28.88138499,1111.130435,289.4637681,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,25474,0.177777778,0.088888889,0.1,0.011111111,0.111111111,0.077777778,2.411111111,2.111111111,0.055555556,0.255555556,0.044444444,0.077777778,0.922222222,0.177777778,0.088888889,0.322222222,0.077777778,0.066666667,0.411111111,0.011111111,0.577777778,0.355555556,0.644444444,0.222222222,0.3,0.644444444,0.1,6.6,0.244444444,0.177777778,13.37777778,23.92222222,25474,1903,0.767070443,0.947368421,0.642857143,21,34.57,13.69408596,8.7856173,13.62564713,1198.3,291.7444444,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,25495,0.130952381,0.166666667,0.142857143,0.047619048,0.05952381,0.035714286,1.119047619,2.380952381,0.047619048,0.630952381,0.011904762,0.071428571,1.202380952,0.392857143,0.095238095,0.321428571,0.071428571,0.166666667,0.547619048,0.011904762,0.583333333,0.583333333,0.333333333,0.261904762,0.083333333,0.928571429,0.107142857,4.547619048,0.202380952,0.095238095,12.04761905,21.0952381,25495,1776,0.73096689,0.884210526,0.6,21,34.851,12.89597431,8.800379601,-1.044178364,337.3095238,292.75,0.860465116,85,24628,25051,25580,25707,0,0,0,0,0,0,0,1
65535,25516,0.2625,0.1625,0.125,0.0375,0.0625,0.15,1.3625,2.1625,0.1375,0.6,0.025,0.025,1.1125,0.475,0.1375,0.3,0.0625,0.0875,0.3,0.0375,0.675,0.425,0.3875,0.3375,0.0625,0.4875,0.1,4.7,0.225,0.0125,16.825,32.4875,25516,1691,0.723917522,0.91954023,0.615384615,21,32.039,12.47098166,8.603562232,-12.04976632,722.4,292.4,0.658536585,42,25220,25833,0,0,0,0,0,0,0,0,0,1
65535,25538,0.34,0.1,0.16,0.04,0.04,0.02,3.8,2.98,0.06,0.54,0.04,0.1,1.24,0.34,0.08,0.5,0.12,0.1,1.92,0,0.42,0.68,0.7,0.36,NaN,1.08,0.1,7.26,0.28,0.12,10.4,20.42,25538,1057,0.590390512,0.961538462,0.694444444,21,23.049,9.073043807,7.323014595,31.57459335,1170.7,291.8,0.533333333,21,25749,0,0,0,0,0,0,0,0,0,0,0
