ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,Selection,Sel01
65535,21832,0.259259259,0.055555556,0.222222222,0.12962963,0.037037037,0.055555556,1.074074074,1.277777778,0.111111111,0.166666667,0.037037037,0.037037037,0.462962963,0.518518519,0.111111111,0.259259259,0.055555556,0.074074074,0.166666667,0,0.203703704,0.388888889,1.222222222,0.296296296,0.12962963,0.944444444,0.148148148,36.51851852,0.111111111,0.333333333,16.05555556,28.27777778,21832,1037,0.877470563,0.915254237,0.593406593,19,27.912,12.28556594,5.892532055,13.72291121,53.94444444,482.2037037,19,77,21736,22101,22139,22274,0,0,0,0,0,3,0
65535,21851,0.904761905,0.166666667,0.095238095,0,0,0.095238095,0.761904762,1.19047619,0.047619048,0.047619048,0.047619048,0,2.166666667,0.333333333,0.071428571,0.047619048,0.047619048,0.023809524,0.071428571,0,0.261904762,0.095238095,0.214285714,0.166666667,0.19047619,0.142857143,0.047619048,8.357142857,0.047619048,0.095238095,14.47619048,28.45238095,21851,806,0.629118566,0.976744186,0.75,19,20.138,8.383650164,6.516689681,29.70234485,1027.785714,480.952381,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,21871,0.877192982,0.061403509,0.070175439,0,0.01754386,0.035087719,0.780701754,1.131578947,0.00877193,0.078947368,0.01754386,0.035087719,6.385964912,0.368421053,0.061403509,0.096491228,0.043859649,0.043859649,0.070175439,0.00877193,0.175438596,0.122807018,0.824561404,0.096491228,0.368421053,0.192982456,0.087719298,4.631578947,0.061403509,0.035087719,19.60526316,35.98245614,21871,2189,0.345274017,19,0.791666667,19,35.008,12.50619946,11.7370922,-55.95023205,1310.947368,480.6052632,0.113636364,19,21679,0,0,0,0,0,0,0,0,0,1
65535,21890,1.222222222,0.077777778,0.088888889,0.022222222,0.033333333,0.055555556,0.688888889,1.3,0.033333333,0.144444444,0,0.033333333,4.744444444,0.411111111,0.055555556,0.1,0.055555556,0.044444444,0.144444444,0.011111111,0.311111111,0.133333333,3.722222222,0.088888889,0.255555556,0.188888889,0.044444444,5.233333333,0.077777778,0.066666667,29.38888889,53.67777778,21890,1728,0.681984749,0.927835052,0.681818182,19,32.957,12.7380936,9.316213588,-62.26847321,1355.644444,481.0888889,0.365853659,19,21794,0,0,0,0,0,0,0,0,0,1
65535,21909,1.063829787,0.063829787,0.042553191,0,0,0.021276596,0.574468085,0.957446809,0.021276596,0.085106383,0,0.021276596,4.276595745,0.510638298,0.106382979,0.170212766,0,0.021276596,0.191489362,0,0.042553191,0.127659574,0.29787234,0.191489362,0.29787234,0.063829787,0.063829787,7.787234043,0.042553191,0.021276596,17.42553191,30.76595745,21909,902,0.475613692,19,0.734375,19,21.362,8.331772904,7.329079524,45,386.7446809,481.7446809,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,21928,0.442622951,0.049180328,0.081967213,0.016393443,0.016393443,0.049180328,0.721311475,1.262295082,0.06557377,0.06557377,0.016393443,0,9.049180328,0.37704918,0,0.081967213,0.032786885,0.016393443,0.147540984,0,0.147540984,0.147540984,0.737704918,0.098360656,0.393442623,0.344262295,0.016393443,7.114754098,0,0.06557377,16.83606557,30.50819672,21928,1171,0.357698183,0.983870968,0.75308642,19,24.91,9.177068118,8.569888055,0,13921,481.5737705,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,21947,0.348837209,0.139534884,0.069767442,0.046511628,0,0.023255814,0.674418605,0.953488372,0,0.162790698,0.046511628,0.069767442,3.325581395,0.209302326,0.139534884,0.162790698,0.046511628,0.023255814,0.046511628,0,0.11627907,0.069767442,0.418604651,0.162790698,0.348837209,0.162790698,0.069767442,4.441860465,0.046511628,0.046511628,16.46511628,28.6744186,21947,826,0.498328604,0.977272727,0.767857143,19,20.138,8.018142034,6.951634822,6.197036807,742.4651163,481.9302326,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,21967,0.946666667,0.04,0.066666667,0,0.026666667,0,0.306666667,1.106666667,0.026666667,0.106666667,0.013333333,0,3.733333333,0.16,0.12,0.08,0.053333333,0.026666667,0.12,0,0.36,0.2,8.24,0.04,0.2,0.186666667,0.066666667,5.946666667,0.106666667,0.133333333,19.2,33.46666667,21967,1440,0.812360646,0.961538462,0.641025641,19,29.988,13.02059638,7.593030643,19.88320229,1095.946667,482.0666667,0.55,58,22235,22255,22351,0,0,0,0,0,0,0,1
65535,21986,1.189189189,0.135135135,0.027027027,0,0.027027027,0.054054054,0.675675676,0.864864865,0.027027027,0.135135135,0.027027027,0,5.945945946,0.27027027,1.540540541,0.189189189,0.054054054,0.054054054,0.27027027,0,0.216216216,0.297297297,0.378378378,0.27027027,0.432432432,0.351351351,0.054054054,10.7027027,0.054054054,0.108108108,13.35135135,24.86486486,21986,710,0.601666787,19,0.770833333,19,18.914,7.756598233,6.195561063,14.68557607,217.7567568,483.4054054,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,22005,0.653333333,0.093333333,0.093333333,0.013333333,0.013333333,0.04,0.613333333,1.32,0.013333333,0.12,0,0.04,6.533333333,0.32,0.066666667,0.12,0.066666667,0.04,0.08,0.013333333,0.213333333,0.16,1.186666667,0.066666667,0.32,0.173333333,0.08,6.68,0.04,0.04,17.61333333,30.05333333,22005,1440,0.461851749,0.949367089,0.681818182,19,29.318,10.62282958,9.421994508,4.795720874,631.88,483.7333333,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,22024,0.928571429,0.1,0.014285714,0,0.014285714,0.071428571,0.542857143,1.171428571,0.1,0.157142857,0.028571429,0.042857143,4.4,0.4,0.128571429,0.085714286,0.028571429,0.042857143,0.114285714,0,0.2,0.185714286,6.528571429,0.057142857,0.571428571,0.328571429,0.028571429,4.814285714,0.057142857,0.028571429,23.71428571,41.15714286,22024,1344,0.571138977,0.972222222,0.777777778,19,26.688,10.4736185,8.597305133,31.64966611,648.4142857,482.9285714,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,22043,0.691176471,0.117647059,0.044117647,0.029411765,0,0.044117647,1.117647059,1.323529412,0.029411765,0.117647059,0.029411765,0.102941176,8.647058824,0.632352941,0.117647059,0.102941176,0.044117647,0.014705882,0.073529412,0.029411765,0.338235294,0.235294118,1.176470588,0.220588235,0.397058824,0.264705882,0.058823529,5.985294118,0.058823529,0.044117647,21.19117647,35.39705882,22043,1306,0.746816168,0.931506849,0.708333333,19,28.193,11.6117904,7.722195169,-5.649278952,911.3970588,484.5441176,0.571428571,19,21775,0,0,0,0,0,0,0,0,0,1
65535,22063,0.520547945,0.068493151,0.082191781,0.02739726,0.01369863,0.054794521,0.589041096,1.054794521,0,0.150684932,0.01369863,0.04109589,2.273972603,0.219178082,0.04109589,0.054794521,0.02739726,0.04109589,0.054794521,0.01369863,0.260273973,0.150684932,6.589041096,0.123287671,0.438356164,0.260273973,0.02739726,6.835616438,0.068493151,0.082191781,20.80821918,38.04109589,22063,1402,0.536569366,0.986486486,0.737373737,19,27.722,10.60997676,8.953294857,2.423255172,961.6164384,483.2054795,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,22082,1.638888889,0.055555556,0.027777778,0,0,0.055555556,0.666666667,0.944444444,0.083333333,0.138888889,0.055555556,0.055555556,5.75,0.333333333,0.111111111,0.277777778,0,0.027777778,0.166666667,0,0.222222222,0.111111111,0.222222222,0.055555556,0.111111111,0.138888889,0.027777778,8.166666667,0,0.027777778,14.72222222,480,22082,691,0.700841804,19,0.666666667,19,19.576,8.14106409,5.807157264,19.45206923,28534,482.5,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,22101,0.223880597,0.029850746,0.044776119,0.014925373,0.029850746,0.089552239,1.776119403,1.880597015,0.104477612,0.223880597,0.029850746,0.074626866,0.507462687,0.582089552,0.089552239,0.298507463,0.029850746,0.044776119,0.074626866,0,0.373134328,0.507462687,1.656716418,0.28358209,0.268656716,0.76119403,0.149253731,40.95522388,0.104477612,0.343283582,15.01492537,26.79104478,22101,1287,0.420634117,0.893333333,0.609090909,19,29.781,10.24698165,9.296372929,27.25544005,44.13432836,486.0746269,0.810810811,115,21736,21832,22274,22370,22466,22811,0,0,0,3,0
65535,22120,0.754098361,0.12295082,0.131147541,0.032786885,0.024590164,0.040983607,0.87704918,1.049180328,0.040983607,0.057377049,0.032786885,0.073770492,7.172131148,0.56557377,0.131147541,0.081967213,0.032786885,0.008196721,0.057377049,0.032786885,0.180327869,0.18852459,1.426229508,0.098360656,0.393442623,0.196721311,0.090163934,7.606557377,0.049180328,0.057377049,20.02459016,37.33606557,22120,2343,0.523025239,0.991869919,0.782051282,19,36.232,13.54401212,11.54379441,27.31384505,19298,484.5,0,0,0,0,0,0,0,0,0,0,0,0,0
