ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11
65535,49039,0.660377358,0.20754717,0.886792453,0.20754717,0.188679245,0.113207547,1.905660377,1.79245283,0.075471698,0.188679245,0.037735849,0.075471698,5.226415094,0.547169811,0.056603774,0.490566038,0.037735849,0.018867925,0.943396226,0,0.358490566,0.188679245,5.943396226,0.528301887,0.396226415,0.641509434,0.339622642,19.75471698,0.301886792,0.150943396,49039,821,0.712726274,0.757142857,0.53,15,36.836,10.61911648,7.448697172,-37.21903642,86.9245283,1204.849057,0.564102564,62,48807,49147,49256,49287,0,0,0,0,0,0,0
65535,49054,1.039215686,0.068627451,0.382352941,0.117647059,0.235294118,0.098039216,1.823529412,2.009803922,0.058823529,0.294117647,0.107843137,0.029411765,8.333333333,0.5,0.147058824,0.480392157,0.068627451,0.049019608,0.578431373,0.009803922,0.392156863,0.215686275,4.696078431,0.333333333,0.705882353,0.62745098,0.12745098,16.09803922,0.176470588,0.098039216,49054,1580,0.711179971,0.713286713,0.520408163,15,56.767,14.71644242,10.34580608,52.6600483,1143.95098,1204.45098,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,49070,0.177777778,0.088888889,0.577777778,0.244444444,0.155555556,0.044444444,1.822222222,1.4,0.111111111,0.355555556,0.044444444,0.066666667,1.622222222,0.4,4.777777778,0.377777778,0.022222222,0.044444444,0.311111111,0.022222222,0.422222222,0.133333333,12.26666667,0.311111111,0.466666667,0.577777778,0.088888889,17.02222222,0.177777778,0.288888889,49070,697,0.901189403,0.608108108,0.375,15,46.206,14.36979645,6.228236137,-29.99730908,1216.555556,1206.711111,0.642857143,46,48605,48946,49225,0,0,0,0,0,0,0,0
65535,49085,1.273972603,0.095890411,0.150684932,0.136986301,0.068493151,0.02739726,23.57142857,1.98630137,0.219178082,0.301369863,0.109589041,0.068493151,16.98630137,0.260273973,1.04109589,0.328767123,0.04109589,0.095890411,0.438356164,0.054794521,0.452054795,0.123287671,0.684931507,0.342465753,2.397260274,0.534246575,0.164383562,9.671232877,0.205479452,0.068493151,49085,1131,0.467599497,0.820224719,0.608333333,15,36.447,10.95553061,9.684036603,-12.43518472,1386.561644,1207.849315,0.558139535,31,48853,50046,0,0,0,0,0,0,0,0,0
65535,49101,0.653333333,0.253333333,1.013333333,0.426666667,0.4,0.093333333,2.813333333,2.04,0.053333333,0.186666667,0.093333333,0.053333333,3.173333333,0.493333333,0.186666667,0.506666667,0.053333333,0.08,1.213333333,0.066666667,0.48,0.306666667,4.386666667,0.44,0.573333333,0.826666667,0.213333333,25.97333333,0.32,0.12,49101,1162,0.57757583,0.75,0.568181818,15,42.807,11.6494892,9.509909521,25.07186398,27.61333333,1207.053333,0.431818182,31,48869,49442,0,0,0,0,0,0,0,0,0
65535,49116,0.558139535,0.209302326,1.023255814,0.38372093,0.337209302,0.058139535,3.023255814,1.558139535,0.034883721,0.244186047,0.081395349,0.058139535,3.174418605,0.441860465,0.127906977,0.418604651,0.034883721,0.081395349,0.720930233,0.034883721,0.465116279,0.430232558,8.930232558,0.395348837,0.337209302,0.755813953,0.174418605,23.18604651,0.279069767,0.197674419,49116,1332,0.807791456,0.843137255,0.682539683,15,39.722,14.01617547,8.262092153,12.56896312,1159.697674,1209.255814,0.288888889,15,49132,0,0,0,0,0,0,0,0,0,0
65535,49132,0.424242424,0.242424242,0.848484848,0.545454545,0.121212121,0.060606061,3.090909091,1.636363636,0.090909091,0.181818182,0.151515152,0.060606061,3.636363636,0.393939394,0.454545455,0.515151515,0.121212121,0.060606061,0.818181818,0,0.515151515,0.636363636,12.03030303,0.363636364,0.363636364,0.878787879,0.272727273,23.84848485,0.212121212,0.242424242,49132,511,0.817097254,0.785714286,0.458333333,15,24.265,9.200043647,5.303823787,-33.37723249,1169.272727,1208.272727,0.615384615,31,49116,49813,0,0,0,0,0,0,0,0,0
65535,49147,1.568181818,0.068181818,0.068181818,0.136363636,0.090909091,0.068181818,1.340909091,2.25,0.022727273,0.318181818,0.022727273,0.045454545,7.636363636,0.477272727,0.204545455,0.409090909,0.090909091,0.022727273,0.840909091,0,0.340909091,0.272727273,7.522727273,0.454545455,1.613636364,0.431818182,0.045454545,13.5,0.181818182,0.068181818,49147,682,0.545250499,0.709677419,0.444444444,15,29.781,9.39900008,7.878929513,34.68188388,75.34090909,1208.386364,15,62,48807,49039,49240,49287,0,0,0,0,0,0,0
65535,49163,0.414893617,0.287234043,0.840425532,0.35106383,0.425531915,0.159574468,3.340425532,1.989361702,0.063829787,0.478723404,0.095744681,0.042553191,2.382978723,0.478723404,0.20212766,0.531914894,0.095744681,0.074468085,1.031914894,0.042553191,0.563829787,0.5,12.46808511,0.574468085,0.457446809,0.882978723,0.234042553,21.18085106,0.29787234,0.255319149,49163,1456,0.850283528,0.783333333,0.56969697,15,50.134,16.58806342,8.730711161,-71.68750361,108.2446809,1212.755319,0.883333333,77,48915,49256,49411,49535,49860,0,0,0,0,0,0
65535,49178,0.324324324,0.135135135,0.702702703,0.243243243,0.432432432,0.054054054,2.243243243,1.27027027,0.108108108,0.162162162,0.081081081,0,1.891891892,0.459459459,0.108108108,0.27027027,0.081081081,0.054054054,0.459459459,0,0.27027027,0.567567568,8.891891892,0.189189189,0.540540541,0.756756757,0.108108108,17.56756757,0.243243243,0.216216216,49178,573,0.728459025,0.627118644,0.4625,15,38.705,10.01035987,6.857991161,27.03353201,203.5135135,1210.567568,0.580645161,31,49473,49767,0,0,0,0,0,0,0,0,0
65535,49194,0.8,0.028571429,0.628571429,0.257142857,0.171428571,0.085714286,2.114285714,1.542857143,0.028571429,0.2,0.114285714,0.028571429,5.714285714,0.514285714,0.085714286,0.485714286,0.057142857,0.028571429,0.6,0,0.342857143,0.371428571,2.942857143,0.171428571,0.314285714,0.714285714,0.114285714,22.71428571,0.2,0.171428571,49194,542,0.601959124,0.625,0.353535354,15,31.832,9.335034931,7.454276523,-68.18714934,269.6285714,1209.371429,0.866666667,46,48884,49318,49597,0,0,0,0,0,0,0,0
