ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,Selection,Sel01
65535,18000,0.042553191,0.180851064,0.170212766,0.085106383,0.010638298,0.042553191,0.14893617,0.787234043,0.074468085,0.436170213,0.021276596,0.031914894,0.255319149,0.159574468,0.521276596,0.159574468,0.074468085,0.127659574,0.595744681,0,0.531914894,0.287234043,1.244680851,0.159574468,0.223404255,0.563829787,0.031914894,6.127659574,0.063829787,0.085106383,15.09574468,27.93617021,18000,2787,0.629107243,0.886792453,0.712121212,30,34.445,12.74739805,9.908788546,-84.70761388,865.3829787,492.0638298,0.487804878,59,18148,18801,0,0,0,0,0,0,1
65535,18030,0.161572052,0.082969432,0.170305677,0.043668122,0.017467249,0.074235808,0.344978166,1.331877729,0.03930131,0.340611354,0.021834061,0.052401747,6.113537118,0.283842795,0.069868996,0.375545852,0.061135371,0.021834061,0.301310044,0.004366812,0.64628821,0.331877729,0.864628821,0.327510917,0.414847162,0.493449782,0.096069869,11.73362445,0.131004367,0.131004367,22.72489083,42.06113537,18030,6791,0.765909481,0.962184874,0.743506494,30,53.756,21.47879498,13.80975723,86.94696891,10.65938865,492.3973799,0,0,0,0,0,0,0,0,0,0,1
65535,18059,0.057142857,0.080952381,0.142857143,0.042857143,0.00952381,0.042857143,0.2,0.623809524,0.023809524,0.257142857,0.042857143,0.023809524,0.414285714,0.123809524,0.028571429,0.133333333,0.023809524,0.028571429,0.152380952,0.00952381,0.347619048,0.195238095,0.366666667,0.119047619,0.180952381,0.366666667,0.076190476,7.79047619,0.066666667,0.104761905,16.74285714,30.95238095,18059,6227,0.537275007,0.901287554,0.648148148,30,53.988,18.08039156,15.24913094,-35.09744036,768.0809524,490.6095238,0.323529412,59,18860,18949,0,0,0,0,0,0,1
65535,18089,0.08045977,0.114942529,0.310344828,0.08045977,0,0.045977011,0.172413793,0.528735632,0.08045977,0.356321839,0.057471264,0,0.195402299,0.137931034,0.011494253,0.16091954,0.034482759,0.011494253,0.413793103,0.011494253,0.402298851,0.379310345,1.24137931,0.24137931,0.229885057,0.436781609,0.057471264,6.183908046,0.057471264,0.103448276,16.64367816,28.36781609,18089,2580,0.728284563,0.966666667,0.743589744,30,31.377,12.85146209,8.806783525,9.582123053,976.4597701,491.8045977,0.625,89,17644,18593,18919,0,0,0,0,0,1
65535,18118,0.061452514,0.061452514,0.094972067,0.044692737,0.022346369,0.022346369,0.106145251,0.446927374,0.044692737,0.240223464,0.027932961,0.039106145,0.731843575,0.150837989,0.016759777,0.094972067,0.027932961,0.033519553,0.184357542,0.005586592,0.340782123,0.167597765,0.184357542,0.117318436,0.139664804,0.368715084,0.067039106,5.603351955,0.055865922,0.039106145,18.06145251,33.34636872,18118,5308,0.771504431,0.942105263,0.662962963,30,48.058,19.21160749,12.22288478,35.49830768,1027.860335,490.3240223,0.016393443,30,18682,0,0,0,0,0,0,0,1
65535,18148,0.038961039,0.181818182,0.155844156,0.090909091,0,0.051948052,0.324675325,0.402597403,0.051948052,0.285714286,0,0.012987013,0.428571429,0.194805195,0.051948052,0.285714286,0,0.038961039,0.38961039,0.012987013,0.415584416,0.272727273,0.558441558,0.207792208,0.103896104,0.415584416,0.064935065,7.623376623,0.012987013,0.038961039,13.85714286,24.22077922,18148,2283,0.657689761,30,0.875,30,29.367,11.55500645,8.704258193,-3.249033398,856.5064935,492.5454545,0.647058824,59,18000,18801,0,0,0,0,0,0,1
65535,18178,0.202380952,0.125,0.19047619,0.053571429,0.023809524,0.05952381,0.285714286,0.595238095,0.035714286,0.291666667,0.053571429,0.047619048,0.726190476,0.238095238,0.06547619,0.107142857,0.06547619,0.035714286,0.291666667,0.005952381,0.589285714,0.232142857,0.482142857,0.142857143,0.273809524,0.333333333,0.083333333,6.470238095,0.107142857,0.107142857,14.0952381,26.69047619,18178,4982,0.790431303,0.908108108,0.680161943,30,48.356,18.96575972,11.61748932,-85.27681052,1378.071429,490.3630952,0,0,0,0,0,0,0,0,0,0,1
65535,18207,0.031914894,0.14893617,0.659574468,0.117021277,0.063829787,0.063829787,0.319148936,1.053191489,0.053191489,0.340425532,0.074468085,0.053191489,0.968085106,0.35106383,0.042553191,0.340425532,0.042553191,0.042553191,0.765957447,0,0.404255319,0.670212766,2.361702128,0.180851064,0.14893617,0.840425532,0.180851064,16.21276596,0.074468085,0.170212766,12.5106383,24.26595745,18207,2787,0.619265888,0.878504673,0.55952381,30,36.265,13.01018128,10.21535176,21.96708537,304.4468085,493.8404255,0.847826087,89,17941,18563,19067,0,0,0,0,0,1
65535,18237,0.058823529,0.164705882,0.305882353,0.094117647,0.011764706,0.070588235,0.258823529,0.752941176,0.047058824,0.235294118,0.070588235,0.035294118,0.317647059,0.317647059,0.058823529,0.282352941,0.035294118,0.070588235,0.411764706,0.011764706,0.329411765,0.458823529,0.717647059,0.117647059,0.094117647,0.635294118,0.047058824,13.21176471,0.058823529,0.105882353,12.35294118,23.90588235,18237,2521,0.818827678,0.904255319,0.566666667,30,35.686,14.47597564,8.309780377,14.5987894,888.7764706,491.4705882,0.688888889,59,18474,18504,0,0,0,0,0,0,1
65535,18267,0.088669951,0.098522167,0.113300493,0.019704433,0.024630542,0.049261084,0.128078818,0.571428571,0.019704433,0.270935961,0.034482759,0.019704433,0.280788177,0.103448276,0.02955665,0.15270936,0.024630542,0.019704433,0.246305419,0.004926108,0.532019704,0.177339901,0.743842365,0.137931034,0.320197044,0.502463054,0.049261084,5.384236453,0.039408867,0.073891626,24.65517241,45.60591133,18267,6020,0.404380106,0.948598131,0.746323529,30,49.836,16.99642761,15.54478003,31.72863653,1156.394089,493.7635468,0,0,0,0,0,0,0,0,0,0,1
65535,18296,0.058252427,0.058252427,0.058252427,0.038834951,0.029126214,0.077669903,0.077669903,0.466019417,0.038834951,0.203883495,0.019417476,0.009708738,0.174757282,0.106796117,0.048543689,0.223300971,0.029126214,0.038834951,0.067961165,0,0.203883495,0.038834951,0.174757282,0.165048544,0.048543689,0.349514563,0.029126214,2.59223301,0.087378641,0.019417476,17.26213592,30.24271845,18296,3054,0.641562881,0.944954128,0.792307692,30,33.8,13.14440518,10.08268474,74.22554282,1194.524272,494.1067961,0.476190476,89,17763,17911,18385,0,0,0,0,0,1
