ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,Selection,Sel01
65535,31,0.25,0.25,0.3,0.15,0.15,0.05,0.5,0.9,0.05,0.3,0.05,0.15,0.5,0.1,0.2,0.2,0.15,0.1,0.75,0.1,0.8,0.1,0.5,0.5,0.15,0.5,0.2,2.95,0.55,0.3,947,611,0.358141960674512,0.952380952380952,0.666666666666667,31,13.861,5.42403259206143,5.06424101982933,42.5677427811197,328.95,5.65,0.6875,61,122,550,0,0,0,0,0,1
65535,61,0.0833333333333333,0.0277777777777778,0.0555555555555556,0.0277777777777778,0.111111111111111,0,0.555555555555556,1.13888888888889,0,0.305555555555556,0.0277777777777778,0,0.444444444444444,0.0555555555555556,0.0833333333333333,0.25,0.166666666666667,0.0277777777777778,0.361111111111111,0.0833333333333333,0.277777777777778,0.138888888888889,0.25,0.194444444444444,0.138888888888889,0.472222222222222,0.166666666666667,3.02777777777778,0.277777777777778,0.0555555555555556,1863,1099,0.618627561654509,0.923076923076923,0.857142857142857,31,19.724,7.91458161087269,6.21836312064072,-4.29456322753473,458.694444444444,5.63888888888889,0.5,31,275,0,0,0,0,0,0,1
65535,92,0.133333333333333,0.0888888888888889,0.133333333333333,0.0444444444444444,0.111111111111111,0.111111111111111,0.488888888888889,0.6,0.0888888888888889,0.222222222222222,0.0444444444444444,0.0666666666666667,0.177777777777778,0.0888888888888889,0.0888888888888889,0.155555555555556,0.0222222222222222,0.0222222222222222,0.333333333333333,0,0.288888888888889,0.111111111111111,0.177777777777778,0.111111111111111,0.0666666666666667,0.311111111111111,0.111111111111111,1.46666666666667,0.177777777777778,0.111111111111111,2810,1374,0.807011284361497,0.833333333333333,0.584415584415584,31,26.944,10.7038789610802,6.32102604394829,-24.5308879440538,1305.24444444444,7.06666666666667,0,0,0,0,0,0,0,0,0,1
65535,122,0.6,0.48,0.44,0.12,0.08,0.16,0.4,1.04,0.12,0.36,0.08,0.04,0.84,0.32,0.12,0.24,0.04,0.04,0.2,0.08,0.44,0.24,NaN,0.12,0.2,0.8,0.16,2.8,0.6,0.16,3726,763,0.71567394366829,0.806451612903226,0.595238095238095,31,18.343,7.32480033016054,5.11589354755812,47.2976016998706,332.76,7.6,0.95,61,31,550,0,0,0,0,0,0
65535,153,0.0645161290322581,0.193548387096774,0.0967741935483871,0.0645161290322581,0.032258064516129,0.032258064516129,0.774193548387097,1.25806451612903,0.0645161290322581,0.32258064516129,0,0,0.645161290322581,0.0967741935483871,0.032258064516129,0.193548387096774,0.032258064516129,0.0645161290322581,0.161290322580645,0,0.419354838709677,0.161290322580645,1.35483870967742,0.161290322580645,0.225806451612903,0.451612903225806,0.032258064516129,4.32258064516129,0.225806451612903,0.0967741935483871,4672,947,0.703084950101936,0.96875,0.885714285714286,31,17.21,7.56257039764902,5.37778817329798,-1.41772284002102,906.838709677419,6.87096774193548,0,0,0,0,0,0,0,0,0,1
65535,183,0.0588235294117647,0.147058823529412,0.0588235294117647,0.0294117647058824,0.0588235294117647,0,0.411764705882353,0.588235294117647,0.0294117647058824,0.205882352941176,0.0294117647058824,0.0294117647058824,0.294117647058824,0.264705882352941,0.117647058823529,0.264705882352941,0.117647058823529,0.0588235294117647,0.264705882352941,0,0.147058823529412,0.205882352941176,1.52941176470588,0.323529411764706,0.117647058823529,0.294117647058824,0.0588235294117647,4.11764705882353,0.294117647058824,0.235294117647059,5588,1038,0.868885432648635,0.918918918918919,0.607142857142857,31,20.51,9.80140890156666,4.85182714877033,-59.216657182425,992.794117647059,9.82352941176471,0,0,0,0,0,0,0,0,0,1
65535,214,0.0943396226415094,0.0377358490566038,0.0377358490566038,0.0566037735849057,0.113207547169811,0,0.452830188679245,0.641509433962264,0.0754716981132075,0.283018867924528,0.0377358490566038,0.0188679245283019,0.188679245283019,0.0377358490566038,0.113207547169811,0.0943396226415094,0.0188679245283019,0.0754716981132075,0.245283018867925,0,0.415094339622642,0.132075471698113,0.169811320754717,0.0188679245283019,0.0943396226415094,0.188679245283019,0.0377358490566038,2.58490566037736,0.207547169811321,0.113207547169811,6535,1619,0.879002428039587,0.868852459016393,0.481818181818182,31,28.301,12.4329571165842,5.92824896409371,51.1683757811905,755.679245283019,7.86792452830189,0,0,0,0,0,0,0,0,0,1
65535,244,0.0434782608695652,0.173913043478261,0.0434782608695652,0.0869565217391304,0.0434782608695652,0,0.304347826086957,0.739130434782609,0.0434782608695652,0.239130434782609,0.0217391304347826,0.0217391304347826,0.260869565217391,0.0869565217391304,0.108695652173913,0.195652173913043,0.0869565217391304,0.0652173913043478,0.217391304347826,0.0217391304347826,0.217391304347826,0.0652173913043478,0.152173913043478,0.152173913043478,0.0652173913043478,0.347826086956522,0.108695652173913,1.71739130434783,0.195652173913043,0.173913043478261,7451,1405,0.523973789719206,0.958333333333333,0.71875,31,21.825,8.4269581373943,7.17753003178372,40.3126764895543,1189.26086956522,8.30434782608696,0,0,0,0,0,0,0,0,0,1
65535,275,0.103448275862069,0.172413793103448,0.103448275862069,0.0344827586206897,0,0.0344827586206897,0.724137931034483,0.862068965517241,0,0.137931034482759,0,0,0.275862068965517,0.103448275862069,0.0344827586206897,0.137931034482759,0.0344827586206897,0.103448275862069,0.206896551724138,0,0.206896551724138,0.0344827586206897,0.206896551724138,0.0689655172413793,0,0.344827586206897,0.0344827586206897,2.58620689655172,0.172413793103448,0.0344827586206897,8398,886,0.749804687439895,0.90625,0.69047619047619,31,17.971,7.7696131357593,5.14083620986403,-13.9002128301706,457.862068965517,10.5862068965517,31,61,61,458,0,0,0,0,0,1
65535,305,0.0827067669172932,0.112781954887218,0.210526315789474,0.0977443609022556,0.075187969924812,0.0526315789473684,0.533834586466165,1.51127819548872,0.0601503759398496,0.578947368421053,0.0827067669172932,0.037593984962406,0.443609022556391,0.323308270676692,0.150375939849624,0.225563909774436,0.0451127819548872,0.0601503759398496,0.428571428571429,0.0225563909774436,0.458646616541353,0.353383458646617,1.31578947368421,0.240601503759398,0.157894736842105,0.842105263157895,0.12781954887218,7.3609022556391,0.240601503759398,0.345864661654135,9314,4062,0.76885646090379,0.764367816091954,0.475,31,54.608,18.3196598892815,11.713982799529,18.1818711907488,866.210526315789,11.2105263157895,0.283582089552239,61,611,733,0,0,0,0,0,1
