"ImageId","CellId","Cell_141Pr_AQP4","Cell_143Nd_SQSTM1","Cell_145Nd_UBQLN2","Cell_147Sm_Glutaminase","Cell_149Sm_C9orf72","Cell_150Nd_PDL1","Cell_151Eu_MAP2","Cell_152Sm_ATXN2","Cell_153Eu_ORF1","Cell_154Sm_pTDP43","Cell_155Gd_FoxP3","Cell_156Gd_CH24H","Cell_158Gd_GFAP","Cell_159Tb_IL6ST","Cell_160Gd_IBA1","Cell_161Dy_CX3CR1","Cell_162Dy_pTBK1","Cell_163Dy_CD4","Cell_164Dy_TMEM119","Cell_165Ho_PD1","Cell_166Er_GAD67","Cell_167Er_CD8","Cell_168Er_FUS","Cell_169Tm_ChAT","Cell_170Er_APOE","Cell_171Yb_TREM2","Cell_172Yb_PDL2","Cell_174Yb_MHCclassII","Cell_175Lu_TDP43","Cell_176Yb_TBK1","Cell_3_ALS_F_Cerebellum_240424_1_cellmasked","Area","Eccentricity","Solidity","Extent","EulerNumber","Perimeter","MajorAxisLength","MinorAxisLength","Orientation","X_position","Y_position","Percent_Touching","Number_Neighbors","neighbour_4_CellId1","neighbour_4_CellId2","neighbour_4_CellId3","neighbour_4_CellId4","neighbour_4_CellId5","neighbour_4_CellId6","neighbour_4_CellId7","neighbour_4_CellId8","neighbour_4_CellId9","neighbour_4_CellId10","neighbour_4_CellId11","neighbour_4_CellId12","neighbour_4_CellId13","umap_1","umap_2","New_Cluster"
65535,51087,0.561983471,1.049586777,0.181818182,0.066115702,0.041322314,0.041322314,1.628099174,1.619834711,0.082644628,0.214876033,0.05785124,0.024793388,4.165289256,0.165289256,0.090909091,0.140495868,0.033057851,0.033057851,0.330578512,0,0.280991736,0.157024793,0.396694215,0.190082645,1.132231405,0.231404959,0.05785124,6.595041322,0.049586777,0.074380165,51087,3062,0.805641004,0.896296296,0.6875,25,40.648,16.41791132,9.726037358,2.349335372,652.4710744,793.231405,0.34,25,50733,0,0,0,0,0,0,0,0,0,0,0,0,15.0103412340201,-13.0953519447522,"4"
65535,51112,0.1796875,0.1015625,0.1796875,0.0546875,0.015625,0.0234375,1.140625,1.2578125,0.0625,0.2578125,0.0234375,0.0234375,0.9609375,0.2734375,0.0546875,0.21875,0.0390625,0.0390625,0.625,0.03125,0.578125,0.2734375,0.859375,0.3203125,1.0625,0.5546875,0.125,9.125,0.1328125,0.1171875,51112,3239,0.440909048,0.948148148,0.656410256,25,38.44,13.60596218,12.21205567,79.09121128,1300.796875,793.75,0.32,51,51441,51542,0,0,0,0,0,0,0,0,0,0,0,13.1919112871207,5.87908910673094,"1"
65535,51138,0.368421053,0.01754386,0.210526316,0,0,0.026315789,1.868421053,1.201754386,0.026315789,0.324561404,0.026315789,0.026315789,3.903508772,0.175438596,0.245614035,0.175438596,0.052631579,0.070175439,0.640350877,0.00877193,0.271929825,0.157894737,1.00877193,0.245614035,1.254385965,0.385964912,0.078947368,8.061403509,0.078947368,0.105263158,51138,2885,0.447641321,0.966101695,0.730769231,25,35.049,12.80458662,11.45003038,-22.05742968,593.0526316,794.5877193,0.02173913,25,50606,0,0,0,0,0,0,0,0,0,0,0,0,3.44222814541228,-14.3984086616712,"4"
65535,51163,0.52,0.062857143,0.16,0.04,0.017142857,0.028571429,1.428571429,1.245714286,0.062857143,0.222857143,0.045714286,0.04,4.474285714,0.257142857,0.405714286,0.125714286,0.034285714,0.057142857,0.537142857,0.005714286,0.331428571,0.188571429,0.742857143,0.211428571,1.24,0.514285714,0.074285714,7.297142857,0.074285714,0.068571429,51163,4428,0.753449845,0.930851064,0.643382353,25,47.603,18.69566932,12.29250324,52.49643623,712.0914286,798.0114286,0.163934426,25,51770,0,0,0,0,0,0,0,0,0,0,0,0,9.68819386463531,-11.7297504051404,"4"
65535,51188,0.530864198,0.098765432,0.197530864,0.024691358,0.024691358,0.037037037,1.358024691,1.160493827,0.037037037,0.24691358,0.086419753,0.037037037,4.074074074,0.209876543,0.074074074,0.296296296,0.061728395,0.012345679,0.333333333,0,0.283950617,0.098765432,0.456790123,0.209876543,0.777777778,0.296296296,0.074074074,6.728395062,0.049382716,0.086419753,51188,2050,0.81643733,0.880434783,0.566433566,25,33.825,14.24467425,8.225359999,37.65966198,767.037037,795.3950617,0.5,25,51289,0,0,0,0,0,0,0,0,0,0,0,0,-4.95713322658173,-6.0741779907422,"6"
65535,51213,0.443181818,0.079545455,0.227272727,0.022727273,0.011363636,0.011363636,1.011363636,0.647727273,0.011363636,0.284090909,0.034090909,0.034090909,1.284090909,0.272727273,0.079545455,0.125,0.022727273,0,0.420454545,0,0.170454545,0.136363636,2.522727273,0.147727273,0.352272727,0.488636364,0.102272727,4.465909091,0.079545455,0.056818182,51213,2227,0.764381609,0.956521739,0.752136752,25,32.113,13.32017907,8.588373383,17.73830735,828.4318182,797.0909091,0.384615385,25,50986,0,0,0,0,0,0,0,0,0,0,0,0,-16.021728925892,-1.33528710443544,"10"
65535,51239,0.5,0.081632653,0.265306122,0.030612245,0.040816327,0.081632653,0.5,1.12244898,0.06122449,0.224489796,0,0.020408163,1.632653061,0.204081633,0.051020408,0.244897959,0.030612245,0.020408163,0.510204082,0,0.234693878,0.37755102,1.632653061,0.173469388,0.336734694,0.571428571,0.06122449,6.948979592,0.102040816,0.051020408,51239,2480,0.584350206,0.951456311,0.742424242,25,32.791,12.48074886,10.12814759,-53.82560623,1013.938776,796.7040816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74720423717133,5.87403940122557,"2"
65535,51264,0.214765101,0.134228188,0.234899329,0.033557047,0.046979866,0.046979866,1.134228188,0.932885906,0.046979866,0.275167785,0.033557047,0.013422819,3.087248322,0.161073826,0.067114094,0.228187919,0.093959732,0.046979866,0.436241611,0,0.382550336,0.228187919,0.617449664,0.315436242,0.469798658,0.644295302,0.067114094,7.275167785,0.046979866,0.067114094,51264,3770,0.454898132,0.93125,0.665178571,25,42.178,14.79367196,13.17440811,-5.23813455,148.1610738,795.6107383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81662518482574,8.83616565626097,"1"
65535,51289,0.343283582,0.044776119,0.268656716,0.044776119,0.044776119,0.059701493,1.970149254,1.298507463,0.014925373,0.208955224,0.014925373,0.014925373,5.253731343,0.179104478,0.044776119,0.208955224,0.104477612,0.059701493,0.373134328,0,0.343283582,0.208955224,1.567164179,0.223880597,0.925373134,0.447761194,0.059701493,7.358208955,0.089552239,0.044776119,51289,1695,0.790532757,0.881578947,0.553719008,25,30.178,12.05822926,7.384697846,40.61615412,771.7014925,799.2985075,0.594594595,25,51188,0,0,0,0,0,0,0,0,0,0,0,0,1.42914683323272,-15.7251784904675,"4"
65535,51315,0.135416667,0.072916667,0.09375,0.052083333,0.010416667,0.020833333,0.34375,0.78125,0.041666667,0.28125,0.03125,0.020833333,0.520833333,0.09375,0.020833333,0.114583333,0.052083333,0.020833333,0.4375,0,0.53125,0.15625,0.21875,0.135416667,0.291666667,0.375,0.041666667,3.552083333,0.052083333,0.052083333,51315,2429,0.457909867,0.941176471,0.666666667,25,32.816,11.83063146,10.51741509,30.00816406,79.55208333,799.5520833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.4410118391,-1.48725045759248,"10"
