ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_4_ALS_M_Cerebellum_240424_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,neighbour_4_CellId12
65535,30413,1.913461538,0.153846154,0.365384615,0.048076923,0.019230769,0.134615385,1.798076923,1.548076923,0,0.307692308,0.076923077,0.038461538,6.769230769,0.25,0.125,0.384615385,0.057692308,0.028846154,0.355769231,0,0.403846154,0.096153846,1.442307692,0.221153846,1.461538462,0.403846154,0.134615385,5.865384615,0.067307692,0.086538462,30413,1303,0.378478409,0.945454545,0.666666667,13,34.404,12.11466918,11.21346039,8.949744919,268.5,719.4807692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,30425,2.064748201,0.136690647,0.467625899,0.064748201,0.028776978,0.028776978,1.683453237,1.618705036,0.043165468,0.26618705,0.043165468,0.050359712,4.964028777,0.323741007,0.086330935,0.309352518,0.043165468,0.064748201,0.446043165,0,0.215827338,0.079136691,1.107913669,0.143884892,2.848920863,0.525179856,0.035971223,7.899280576,0.050359712,0.064748201,30425,1741,0.696001554,0.939189189,0.668269231,13,41.045,15.82092705,11.3600628,13.05677029,368.7338129,719.3021583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,30438,0.732142857,0.080357143,0.401785714,0.089285714,0.044642857,0.044642857,0.732142857,1.598214286,0.026785714,0.357142857,0.098214286,0.053571429,1.491071429,0.160714286,2.651785714,0.241071429,0.053571429,0.089285714,1.258928571,0.008928571,0.294642857,0.1875,7.964285714,0.178571429,0.9375,0.455357143,0.089285714,8.142857143,0.071428571,0.116071429,30438,1403,0.651768218,0.925619835,0.666666667,13,36.827,13.94153028,10.57351052,-67.61797688,549.8125,722.0714286,0.3125,13,30638,0,0,0,0,0,0,0,0,0,0,0
65535,30450,0.18018018,0.081081081,0.117117117,0.045045045,0,0.036036036,1.054054054,0.648648649,0.081081081,0.144144144,0.009009009,0.018018018,0.261261261,0.135135135,0.072072072,0.063063063,0.009009009,0.063063063,0.207207207,0,0.117117117,0.09009009,0.468468468,0.117117117,1.612612613,0.126126126,0.036036036,1.522522523,0.027027027,0.009009009,30450,1390,0.610561229,0.956896552,0.720779221,13,34.958,13.43481109,10.63995465,3.195739976,1312.54955,720.3603604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,30463,0.892857143,0.071428571,0.726190476,0.107142857,0.011904762,0.023809524,1.202380952,1.226190476,0.05952381,0.261904762,0.023809524,0.023809524,1.166666667,0.297619048,0.05952381,0.297619048,0.05952381,0.071428571,0.321428571,0,0.357142857,0.19047619,5.035714286,0.273809524,0.571428571,0.511904762,0.05952381,9.821428571,0.119047619,0.083333333,30463,1052,0.457513586,0.893617021,0.636363636,13,34.164,11.33549224,10.07954952,-89.15453355,572.4166667,718.797619,13,63,30100,30237,30337,30626,30638,0,0,0,0,0,0,0
65535,30475,0.254901961,0.098039216,1.235294118,0.254901961,0.098039216,0.019607843,0.960784314,0.901960784,0.098039216,0.176470588,0.117647059,0,0.470588235,0.294117647,0.058823529,0.235294118,0,0.039215686,0.490196078,0,0.235294118,0.37254902,8.607843137,0.294117647,0.470588235,0.588235294,0.078431373,13.45098039,0.137254902,0.039215686,30475,639,0.886081478,0.86440678,0.515151515,13,28.367,12.61885153,5.849210163,-28.01188045,607.1764706,722.5294118,13,63,30350,30363,30500,30651,30751,0,0,0,0,0,0,0
65535,30488,0.09,0.14,1.09,0.17,0.01,0.06,0.85,1.12,0.07,0.24,0.06,0.05,0.66,0.32,0.04,0.41,0.05,0.03,1.4,0.01,0.26,0.25,4.36,0.12,0.65,0.78,0.12,17.29,0.09,0.08,30488,1253,0.327550649,0.961538462,0.694444444,13,32.626,11.68132413,11.03690778,-45,960.65,720.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,30500,0.571428571,0.103896104,0.831168831,0.233766234,0.116883117,0.038961039,1.61038961,1.350649351,0.064935065,0.298701299,0.077922078,0.025974026,1.090909091,0.246753247,0.064935065,0.415584416,0.064935065,0.051948052,0.545454545,0,0.376623377,0.363636364,8.545454545,0.246753247,0.961038961,0.818181818,0.103896104,15.42857143,0.090909091,0.090909091,30500,964,0.374745165,0.974683544,0.77,13,28.648,10.42750046,9.66762614,-21.20359569,597.5064935,723.4415584,13,75,30287,30350,30475,30651,30701,30839,0,0,0,0,0,0
65535,30513,0.657142857,0.157142857,0.685714286,0.185714286,0.028571429,0.028571429,1.414285714,1.628571429,0.028571429,0.414285714,0.1,0.042857143,1.271428571,0.214285714,0.157142857,0.385714286,0.057142857,0.042857143,0.485714286,0,0.242857143,0.228571429,1.9,0.228571429,0.5,0.557142857,0.142857143,14.25714286,0.157142857,0.028571429,30513,877,0.466228142,0.933333333,0.7,13,29.756,10.38138303,9.184041278,-26.14656042,632.3428571,721.6857143,13,50,30212,30262,30525,30663,0,0,0,0,0,0,0,0
65535,30525,0.531598513,0.130111524,0.992565056,0.211895911,0.059479554,0.044609665,1.033457249,1.089219331,0.044609665,0.330855019,0.085501859,0.048327138,0.873605948,0.282527881,0.05204461,0.260223048,0.059479554,0.059479554,0.553903346,0.011152416,0.319702602,0.319702602,6.862453532,0.223048327,0.635687732,0.75464684,0.107806691,11.97769517,0.074349442,0.096654275,30525,3369,0.612557016,0.884868421,0.582251082,13,64.533,21.68692591,17.14191889,-35.76454623,645.2899628,724.9219331,0.626506024,50,30212,30275,30513,30663,0,0,0,0,0,0,0,0
