ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,Selection,Sel01
65535,44,1.15384615384615,0.192307692307692,0.692307692307692,0.615384615384615,0.153846153846154,0.0384615384615385,3.03846153846154,1.88461538461538,0.0769230769230769,NaN,0.192307692307692,0.0384615384615385,2.5,0.653846153846154,0.115384615384615,0.538461538461538,0.192307692307692,0.0769230769230769,0.884615384615385,0,1.03846153846154,0.692307692307692,0.807692307692308,0.307692307692308,0.846153846153846,NaN,0.461538461538462,14.6538461538462,0.461538461538462,0.0769230769230769,1934,1143,0.759527018280199,0.962962962962963,0.742857142857143,44,15.366,7.2376633145465,4.70792451263487,20.4515395780146,723.961538461538,4.92307692307692,0,0,0,0,0,0,0,0
65535,88,1.04761904761905,0.19047619047619,0.571428571428571,0.0952380952380952,0.0476190476190476,0.142857142857143,2.23809523809524,4.14285714285714,0.0476190476190476,1.28571428571429,0.142857142857143,0.0952380952380952,11.047619047619,0.857142857142857,0.238095238095238,0.857142857142857,0.142857142857143,0.0476190476190476,2.80952380952381,0,0.714285714285714,0.80952380952381,1.71428571428571,0.80952380952381,0.952380952380952,2.0952380952381,0.19047619047619,18.9047619047619,0.285714285714286,0.19047619047619,3868,923,0.586516213277359,0.91304347826087,0.7,44,14.787,5.97499958006844,4.83937613996657,-5.6217705511066,1095.04761904762,4.42857142857143,0,0,0,0,0,0,0,1
65535,132,0.75,0.171875,0.4375,0.375,0.078125,0.078125,1.734375,2.578125,0.0625,1.0625,0.109375,0.09375,4.203125,0.46875,0.265625,0.515625,0.078125,0.125,2.203125,0.015625,1.1875,0.546875,0.65625,0.5625,0.953125,1.78125,0.21875,12.3125,0.34375,0.109375,5802,2813,0.836439638181842,0.727272727272727,0.447552447552448,44,39.606,14.2516124025641,7.81072527642257,-48.4394329438089,1050.953125,10.71875,0.214285714285714,44,527,0,0,0,0,1
65535,176,0.76,0.08,0.76,0.12,0.12,0,1.8,4.56,0.12,1.2,0.16,0.04,8.44,NaN,0.04,1.08,0.28,0.24,1.44,0.04,0.6,0.32,3.08,0.4,1.28,2.04,0.4,18.16,0.44,0.16,7736,1099,0.803702711901228,44,0.595238095238095,44,16.491,7.51628300283156,4.47242176991527,38.596085382175,1104.8,7.84,0,0,0,0,0,0,0,0
65535,220,0.547169811320755,0.264150943396226,0.358490566037736,0.30188679245283,0.0943396226415094,0.207547169811321,1.58490566037736,3.32075471698113,0.0754716981132075,1.64150943396226,0.0754716981132075,0.0188679245283019,1.33962264150943,0.471698113207547,0.0754716981132075,0.735849056603774,0.0943396226415094,0.0943396226415094,1.18867924528302,0.0188679245283019,1.20754716981132,0.452830188679245,0.60377358490566,1.0188679245283,0.886792452830189,1.37735849056604,0.150943396226415,10.9056603773585,0.339622641509434,0.169811320754717,9670,2330,0.84504842032514,0.946428571428571,0.736111111111111,44,25.927,11.4788182852514,6.13760689304564,-2.84183681043382,1329.77358490566,8.45283018867925,0.419354838709677,88,264,483,0,0,0,1
65535,264,0.121951219512195,0.195121951219512,0.804878048780488,0.365853658536585,0.0975609756097561,0.0731707317073171,1.24390243902439,4.53658536585366,0.0487804878048781,0.780487804878049,0.146341463414634,0.0975609756097561,1.41463414634146,0.975609756097561,0.219512195121951,0.902439024390244,0.24390243902439,0.146341463414634,1.48780487804878,0.024390243902439,NaN,0.536585365853659,2.09756097560976,0.707317073170732,0.48780487804878,1.95121951219512,0.219512195121951,12.6341463414634,0.268292682926829,0.0975609756097561,11604,1802,0.651314250224848,0.911111111111111,0.732142857142857,44,20.973,8.43391017235052,6.39971943585863,19.8379923679868,1320.41463414634,10.8048780487805,0.36,44,220,0,0,0,0,0
65535,308,0.339285714285714,0.267857142857143,0.375,0.428571428571429,0.178571428571429,0.0535714285714286,1.48214285714286,4.73214285714286,0.0357142857142857,1.64285714285714,0.107142857142857,0.0714285714285714,3.07142857142857,0.571428571428571,0.392857142857143,1.375,0.142857142857143,0.160714285714286,1.08928571428571,0,2.125,0.428571428571429,0.625,1.14285714285714,0.589285714285714,2.125,0.178571428571429,8.94642857142857,0.410714285714286,0.0892857142857143,13538,2461,0.429545889110482,0.96551724137931,0.777777777777778,44,23.694,8.9549135222221,8.0866901649024,0,46855,12.6785714285714,0,0,0,0,0,0,0,0
65535,352,0.263157894736842,0.105263157894737,0.596491228070175,0.385964912280702,0.0175438596491228,0.192982456140351,1.35087719298246,2.64912280701754,0.12280701754386,1.03508771929825,0.105263157894737,0.0526315789473684,2.19298245614035,0.719298245614035,0.0350877192982456,0.526315789473684,0.0350877192982456,0.12280701754386,1.07017543859649,0,1.24561403508772,0.666666666666667,1.42105263157895,0.543859649122807,0.824561403508772,2.08771929824561,0.245614035087719,14.3333333333333,0.421052631578947,0.245614035087719,15472,2505,0.730438852199034,0.919354838709677,0.791666666666667,44,26.39,10.597246472031,7.23768724610288,-66.3142363958958,570.684210526316,13.140350877193,0,0,0,0,0,0,0,1
65535,396,0.862068965517241,0.310344827586207,0.586206896551724,0.379310344827586,0.103448275862069,0.0689655172413793,3.6551724137931,3.43103448275862,0.0862068965517241,0.96551724137931,0.103448275862069,0.0344827586206897,2.17241379310345,0.672413793103448,1.55172413793103,0.568965517241379,0.103448275862069,0.310344827586207,3.18965517241379,0.0172413793103448,0.96551724137931,0.482758620689655,0.844827586206897,0.431034482758621,0.844827586206897,2.24137931034483,0.224137931034483,16.7931034482759,0.379310344827586,0.396551724137931,17406,2549,0.852741857839054,0.966666666666667,0.69047619047619,44,26.597,12.0193571391473,6.27810182166794,-16.152828908015,455.103448275862,15.2068965517241,0,0,0,0,0,0,0,1
65535,440,0.4,0.114285714285714,0.471428571428571,0.285714285714286,0.0571428571428571,0.0714285714285714,1.41428571428571,3.24285714285714,0.0857142857142857,NaN,0.1,0.0142857142857143,5.05714285714286,0.785714285714286,0.157142857142857,0.942857142857143,0.1,0.1,1.37142857142857,0.0428571428571429,1.28571428571429,0.471428571428571,1.22857142857143,0.728571428571429,1.24285714285714,1.44285714285714,0.185714285714286,15.4285714285714,0.442857142857143,0.0857142857142857,19340,3077,0.732898665684494,0.958904109589041,0.795454545454545,44,28.168,11.615257763187,7.90229911559996,-3.55114047310757,1135.2,15.8142857142857,0,0,0,0,0,0,0,0
