ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_2_Control_F_FrontalCrtx_240511_1_cellmas,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4
22305,616,0.139240506,0.151898734,0.139240506,0.126582278,0.101265823,0.126582278,1.35443038,2.759493671,0.050632911,0.607594937,0.101265823,0.025316456,2.088607595,0.544303797,0.088607595,0.443037975,0.050632911,0.063291139,0.455696203,0.037974684,0.810126582,0.341772152,0.544303797,0.53164557,0.17721519,0.64556962,0.139240506,5.126582278,0.240506329,0.113924051,51426,79,0.674979256,0.94047619,0.675213675,1,30.36,11.80028723,8.706685051,3.194897906,699.1139241,571.9367089,0.342105263,1,617,0,0,0
22305,617,0.073394495,0.201834862,0.220183486,0.036697248,0.128440367,0.110091743,2.146788991,3.908256881,0.073394495,0.633027523,0.100917431,0.055045872,2.908256881,0.458715596,0.155963303,0.330275229,0.036697248,0.100917431,0.412844037,0.027522936,0.880733945,0.293577982,0.743119266,0.660550459,0.110091743,0.440366972,0.174311927,6.385321101,0.495412844,0.082568807,51510,109,0.592597155,0.947826087,0.648809524,1,36.273,13.38647378,10.78279102,-64.98504865,690.146789,577.3577982,0.361702128,2,610,616,0,0
22305,618,0.055555556,0.111111111,0.097222222,0.055555556,0.111111111,0.097222222,2.305555556,4.027777778,0.069444444,0.680555556,0.055555556,0.013888889,2.069444444,0.625,0.083333333,0.541666667,0.111111111,0.069444444,0.569444444,0.013888889,1.027777778,0.305555556,0.513888889,0.791666667,0.277777778,0.555555556,0.097222222,6.333333333,0.402777778,0.055555556,51593,72,0.414582091,0.935064935,0.654545455,1,27.945,10.14605676,9.233032563,-9.688416821,72.76388889,577.5416667,0.054054054,1,612,0,0,0
22305,619,0.106557377,0.196721311,0.204918033,0.081967213,0.114754098,0.090163934,2.286885246,3.901639344,0.081967213,0.5,0.06557377,0.073770492,5.483606557,0.524590164,0.606557377,0.450819672,0.131147541,0.090163934,0.606557377,0.024590164,0.975409836,0.319672131,0.68852459,0.795081967,0.295081967,0.680327869,0.204918033,6.540983607,0.450819672,0.163934426,51677,122,0.586522096,0.968253968,0.726190476,1,36.546,13.91876793,11.27327262,-29.42326283,116.6311475,580.4098361,0.270833333,1,624,0,0,0
22305,620,0.134328358,0.23880597,0.104477612,0.089552239,0.134328358,0.119402985,1.701492537,2.746268657,0.074626866,0.537313433,0.044776119,0.029850746,4.880597015,0.417910448,0.552238806,0.328358209,0.104477612,0.029850746,0.850746269,0.044776119,0.686567164,0.313432836,0.611940299,0.582089552,0.164179104,0.701492537,0.164179104,5.611940299,0.537313433,0.104477612,51760,67,0.786759928,0.8375,0.609090909,1,30.525,12.58822987,7.770199635,60.88572516,738.8059701,581.4925373,0.552631579,2,614,621,0,0
22305,621,0.108695652,0.195652174,0.217391304,0.173913043,0.086956522,0.086956522,2.065217391,3.043478261,0.043478261,0.739130435,0.065217391,0.02173913,3.152173913,0.369565217,0.369565217,0.695652174,0,0,0.847826087,0.043478261,0.717391304,0.260869565,0.869565217,0.869565217,0.108695652,0.565217391,0.130434783,5.739130435,0.347826087,0.065217391,51844,46,0.769362701,0.884615385,0.638888889,1,23.694,9.792386152,6.255495796,49.35218975,743.9565217,583.173913,0.642857143,1,620,0,0,0
22305,622,0.1,0.122222222,0.255555556,0.066666667,0.133333333,0.077777778,1.366666667,2.388888889,0.077777778,0.488888889,0.011111111,0.033333333,2.266666667,0.311111111,0.1,0.344444444,0.033333333,0.066666667,0.522222222,0,0.577777778,0.266666667,0.588888889,0.544444444,0.122222222,0.522222222,0.133333333,4.755555556,0.388888889,0.111111111,51927,90,0.619600547,0.957446809,0.692307692,1,31.683,12.19107141,9.568982814,6.079588958,251.3,587.6222222,0.243902439,1,627,0,0,0
22305,623,0.113207547,0.075471698,0.141509434,0.028301887,0.066037736,0.066037736,3.933962264,1.867924528,0.066037736,0.273584906,0.037735849,0.047169811,14,0.273584906,0.216981132,0.264150943,0.047169811,0.075471698,0.235849057,0.009433962,0.311320755,0.169811321,2.301886792,0.358490566,0.330188679,0.179245283,0.113207547,4.405660377,0.198113208,0.103773585,52011,106,0.595208423,0.954954955,0.679487179,1,34.404,13.06381934,10.49771109,51.04916926,284.4056604,586.7169811,0,0,0,0,0,0
22305,624,0.077922078,0.116883117,0.168831169,0.168831169,0.103896104,0.12987013,1.792207792,2.727272727,0.064935065,0.467532468,0.064935065,0.064935065,2.428571429,0.285714286,1.818181818,0.233766234,0.103896104,0.051948052,0.532467532,0.077922078,0.688311688,0.220779221,4.181818182,0.402597403,0.168831169,0.675324675,0.064935065,5.298701299,0.38961039,0.116883117,52094,77,0.75944817,0.927710843,0.658119658,1,30.823,12.53151914,8.152602977,10.4524493,125.5584416,586.9480519,0.897435897,3,619,626,631,0
22305,625,0.096153846,0.125,0.144230769,0.115384615,0.134615385,0.067307692,4.173076923,2.836538462,0.163461538,0.326923077,0.076923077,0.057692308,4.923076923,0.788461538,0.836538462,0.413461538,0.096153846,0.086538462,0.288461538,0.028846154,0.451923077,0.394230769,1.057692308,0.413461538,0.336538462,0.576923077,0.230769231,8.644230769,0.240384615,0.153846154,52178,104,0.748286027,0.95412844,0.742857143,1,34.842,14.25548364,9.456748989,-12.99004718,49.32692308,588.5,0.363636364,1,633,0,0,0
22305,626,0.0375,0.125,0.175,0.05,0.025,0.075,1.2125,2.375,0.0375,0.3125,0.0375,0.0125,3.55,0.25,0.2375,0.3625,0.0625,0.0875,0.4375,0.025,0.35,0.225,1.7,0.45,0.05,0.6375,0.1125,7.7125,0.25,0.0875,52261,80,0.684778001,0.909090909,0.606060606,1,31.493,12.04966544,8.781214582,49.24104018,133.5125,590.35,0.85,3,624,631,632,0
22305,627,0.062015504,0.147286822,0.162790698,0.062015504,0.03875969,0,1.085271318,1.697674419,0.046511628,0.302325581,0.023255814,0.03875969,1.263565891,0.240310078,0.069767442,0.186046512,0.046511628,0.007751938,0.23255814,0.007751938,0.325581395,0.124031008,0.620155039,0.263565891,0.07751938,0.387596899,0.124031008,3.434108527,0.186046512,0.093023256,52345,129,0.661299806,0.969924812,0.732954545,1,38.779,14.87696952,11.15953769,-6.70489693,264.4031008,590.2790698,0.208333333,1,622,0,0,0
22305,628,0.0125,0.075,0.2,0.0375,0.0375,0.025,2.1125,2.5875,0.0875,0.3,0.0375,0.0375,2.1375,0.3125,0.025,0.2,0.0625,0.025,0.25,0.0375,0.4125,0.1125,0.55,0.5125,0.0625,0.375,0.2,4.1375,0.2875,0.125,52428,80,0.509641048,0.941176471,0.727272727,1,29.326,11.02542337,9.486132304,-72.0877119,532.15,590.15,0.342105263,1,630,0,0,0
22305,629,0.0625,0.0625,0.0875,0.0375,0.05,0.05,1.875,3.025,0.05,0.325,0,0.075,2.2875,0.3125,0.1125,0.325,0.0875,0.0625,0.15,0.0375,0.375,0.2125,0.55,0.4,0.2125,0.225,0.1375,3.05,0.2625,0.1125,52511,80,0.555760511,0.941176471,0.727272727,1,29.516,11.16314782,9.280398561,-33.20768563,429.0625,591.5625,0,0,0,0,0,0
22305,630,0.12,0.12,0.146666667,0.08,0.04,0.053333333,1.28,3.12,0.026666667,0.506666667,0.04,0.013333333,2.2,0.266666667,0.173333333,0.36,0.053333333,0.053333333,0.24,0.026666667,0.64,0.106666667,0.48,0.386666667,0.106666667,0.373333333,0.133333333,3.706666667,0.213333333,0.066666667,52595,75,0.284461702,0.961538462,0.75,1,28.383,10.09557364,9.678499289,-51.72096506,523.76,591.9333333,0.361111111,1,628,0,0,0
22305,631,0.075,0.05,0.25,0.05,0.1,0.0875,2.1375,2.5875,0.05,0.5875,0.0875,0.0125,3.8375,0.4125,0.1125,0.3875,0.0625,0.1125,0.4875,0.0125,0.8375,0.3375,4.975,0.575,0.1375,0.5375,0.0375,5.425,0.35,0.05,52678,80,0.628768229,0.941176471,0.666666667,1,30.178,11.6434985,9.053900234,-7.01844582,122.3125,594.1,0.487179487,2,624,626,0,0
22305,632,0.075757576,0.106060606,0.136363636,0.090909091,0.166666667,0.196969697,1.636363636,2.242424242,0.03030303,0.621212121,0.090909091,0.03030303,2.984848485,0.242424242,0.696969697,0.303030303,0.015151515,0.060606061,0.515151515,0.015151515,0.46969697,0.212121212,0.636363636,0.393939394,0.257575758,0.424242424,0.106060606,4.257575758,0.348484848,0.060606061,52762,66,0.385621432,0.942857143,0.733333333,1,26.051,9.642166342,8.896413168,1.73641683,141.4090909,593.2121212,0.441176471,1,626,0,0,0
22305,634,0.064814815,0.157407407,0.194444444,0.064814815,0.074074074,0.092592593,2.685185185,3.231481481,0.064814815,0.62962963,0.074074074,0.027777778,2.324074074,0.527777778,1.314814815,0.490740741,0.12037037,0.083333333,0.851851852,0.018518519,0.888888889,0.574074074,5.12962963,0.759259259,0.462962963,0.75,0.157407407,5.87962963,0.342592593,0.194444444,52929,108,0.482339688,0.947368421,0.755244755,1,34.66,12.61545492,11.05093995,-14.16360432,676.8148148,595.8148148,0,0,0,0,0,0
22305,635,0.025974026,0.168831169,0.376623377,0.064935065,0.038961039,0.025974026,0.948051948,1.909090909,0.064935065,0.285714286,0.116883117,0.038961039,1.012987013,0.207792208,0.077922078,0.155844156,0.012987013,0.090909091,0.350649351,0,0.324675325,0.220779221,0.779220779,0.298701299,0.012987013,0.441558442,0.12987013,5.233766234,0.181818182,0.103896104,53012,77,0.326395759,0.950617284,0.77,1,28.383,10.24800688,9.686756372,45,378.6233766,595.6233766,0,0,0,0,0,0
22305,636,0.092436975,0.226890756,0.168067227,0.100840336,0.168067227,0.092436975,2.890756303,3.428571429,0.075630252,0.756302521,0.058823529,0.050420168,2.243697479,0.529411765,0.159663866,0.369747899,0.092436975,0.117647059,0.714285714,0.067226891,1.042016807,0.352941176,0.722689076,0.764705882,0.394957983,0.764705882,0.18487395,5.647058824,0.411764706,0.067226891,53096,119,0.366808426,0.967479675,0.762820513,1,35.785,12.82178518,11.92806188,18.26285985,509.4033613,597.394958,0,0,0,0,0,0
22305,637,0.116071429,0.160714286,0.142857143,0.053571429,0.0625,0.035714286,1.205357143,2.625,0.0625,0.383928571,0.044642857,0.017857143,2.178571429,0.392857143,0.044642857,0.1875,0.080357143,0.098214286,0.276785714,0.035714286,0.660714286,0.303571429,3.330357143,0.410714286,0.116071429,0.419642857,0.151785714,5.580357143,0.294642857,0.071428571,53179,112,0.759549803,0.949152542,0.662721893,1,36.364,14.94533461,9.721180185,45.50278673,646.2946429,596.0892857,0,0,0,0,0,0
22305,638,0.170454545,0.136363636,0.227272727,0.159090909,0.125,0.102272727,3.125,4.909090909,0.102272727,0.727272727,0.045454545,0.045454545,4.75,0.625,0.295454545,0.409090909,0.113636364,0.125,0.420454545,0.045454545,0.840909091,0.443181818,0.613636364,0.806818182,0.431818182,0.511363636,0.181818182,7.488636364,0.465909091,0.113636364,53263,88,0.120188604,0.956521739,0.727272727,1,30.459,10.69692677,10.61938557,-45,277.2727273,599.7272727,0,0,0,0,0,0
22305,639,0.081081081,0.162162162,0.256756757,0.054054054,0.067567568,0.054054054,1.527027027,2.621621622,0.054054054,0.391891892,0.067567568,0.054054054,3.364864865,0.337837838,0.162162162,0.391891892,0.081081081,0.054054054,0.418918919,0.027027027,0.77027027,0.513513514,12.74324324,0.513513514,0.135135135,0.378378378,0.121621622,5.621621622,0.472972973,0.162162162,53346,74,0.488299441,0.936708861,0.672727273,1,29.318,10.59525503,9.246226328,27.82884473,58.83783784,600.3243243,0.805555556,2,633,645,0,0
22305,640,0.087912088,0.065934066,0.197802198,0.032967033,0.10989011,0.054945055,1.824175824,3.351648352,0.043956044,0.450549451,0.021978022,0.065934066,2.208791209,0.483516484,0.076923077,0.285714286,0.076923077,0.076923077,0.395604396,0.010989011,0.549450549,0.296703297,2.351648352,0.538461538,0.142857143,0.505494505,0.142857143,5.681318681,0.274725275,0.098901099,53430,91,0.517745526,0.957894737,0.758333333,1,31.013,11.69798575,10.00803237,9.495192863,480.3626374,601.6043956,0,0,0,0,0,0
22305,641,0.037974684,0.189873418,0.063291139,0.025316456,0.063291139,0.025316456,1,1.544303797,0.025316456,0.367088608,0.050632911,0.063291139,1.227848101,0.303797468,0.151898734,0.215189873,0.050632911,0.012658228,0.215189873,0.012658228,0.518987342,0.392405063,8.417721519,0.35443038,0.240506329,0.392405063,0.075949367,4.303797468,0.278481013,0.202531646,53513,79,0.541404063,0.929411765,0.658333333,1,30.178,11.04384629,9.285252206,17.45359873,606.4936709,604.9873418,0,0,0,0,0,0
22305,642,0.15,0.125,0.1625,0.0625,0.0625,0.05,1.825,4.0125,0.1,0.525,0.0625,0.025,5.125,0.4625,0.0875,0.3125,0.0125,0.05,0.2625,0.0125,0.7,0.2125,0.75,0.4625,0.1625,0.5625,0.2375,5.725,0.2875,0.1,53597,80,0.470824953,0.952380952,0.666666667,1,29.624,10.83205121,9.556324258,0,621.5,605.225,0,0,0,0,0,0
22305,643,0.097560976,0.146341463,0.353658537,0.048780488,0.12195122,0.097560976,0.817073171,2.231707317,0.06097561,0.353658537,0.085365854,0.048780488,1.341463415,0.37804878,0.097560976,0.390243902,0.024390244,0.036585366,0.317073171,0.024390244,0.548780488,0.317073171,10.84146341,0.402439024,0.085365854,0.451219512,0.097560976,5.817073171,0.243902439,0.036585366,53680,82,0.605105395,0.953488372,0.759259259,1,29.88,11.51636276,9.168698962,0,242.804878,606,0,0,0,0,0,0
22305,644,0.126582278,0.088607595,0.113924051,0.012658228,0.063291139,0.088607595,2.164556962,3.037974684,0.075949367,0.405063291,0.063291139,0.063291139,5.797468354,0.329113924,0.303797468,0.253164557,0.012658228,0.139240506,0.265822785,0.012658228,0.620253165,0.215189873,0.797468354,0.481012658,0.17721519,0.518987342,0.215189873,5.278481013,0.291139241,0.037974684,53764,79,0.569951335,0.963414634,0.718181818,1,29.599,11.20776879,9.209182087,-31.0944074,431.7721519,607.2278481,0.351351351,2,649,652,0,0
22305,645,0.115384615,0.115384615,0.294871795,0.051282051,0.08974359,0.08974359,1.423076923,2,0.128205128,0.461538462,0.038461538,0.012820513,1.423076923,0.423076923,0.102564103,0.358974359,0.102564103,0.064102564,0.423076923,0.025641026,0.576923077,0.282051282,0.743589744,0.397435897,0.064102564,0.730769231,0.179487179,5.576923077,0.256410256,0.128205128,53847,78,0.57558668,0.917647059,0.709090909,1,30.062,11.14734905,9.115641839,3.865769225,60.75641026,608.5,0.694444444,2,639,651,0,0
22305,647,0.063492063,0.111111111,0.253968254,0.079365079,0.095238095,0.071428571,2.523809524,3.992063492,0.119047619,0.484126984,0.087301587,0.047619048,3.071428571,0.412698413,0.126984127,0.484126984,0.103174603,0.095238095,0.492063492,0.015873016,0.69047619,0.301587302,1.333333333,0.817460317,0.380952381,0.484126984,0.206349206,6.428571429,0.333333333,0.103174603,54014,126,0.27497136,0.954545455,0.74556213,1,37.563,13.03068975,12.52838816,51.17585975,159.5396825,614.9761905,0.270833333,1,655,0,0,0
22305,648,0.070512821,0.083333333,0.275641026,0.070512821,0.064102564,0.064102564,1.5,2.576923077,0.064102564,0.480769231,0.076923077,0.038461538,2.038461538,0.230769231,0.756410256,0.294871795,0.070512821,0.08974359,0.435897436,0.019230769,0.474358974,0.205128205,0.91025641,0.435897436,0.115384615,0.429487179,0.115384615,5.711538462,0.307692308,0.096153846,54098,156,0.531418347,0.951219512,0.742857143,1,42.641,15.43303136,13.0734678,30.15284433,209.9615385,614.8589744,0,0,0,0,0,0
22305,649,0.156626506,0.096385542,0.21686747,0.048192771,0.072289157,0.096385542,4.228915663,2.481927711,0.048192771,0.361445783,0.012048193,0.060240964,7.638554217,0.337349398,1.240963855,0.265060241,0.084337349,0.048192771,0.301204819,0.024096386,0.746987952,0.265060241,0.445783133,0.698795181,0.301204819,0.493975904,0.084337349,4.590361446,0.325301205,0.060240964,54181,83,0.414502617,0.965116279,0.754545455,1,30.889,11.0667328,10.07125938,43.40552463,430.6506024,615.8795181,0.710526316,2,644,652,0,0
22305,651,0.192771084,0.204819277,0.277108434,0.048192771,0.21686747,0.072289157,2.915662651,2.975903614,0.060240964,0.807228916,0.108433735,0.012048193,2.674698795,0.674698795,0.156626506,0.397590361,0.084337349,0.168674699,0.43373494,0.024096386,0.939759036,0.469879518,8.746987952,0.602409639,0.457831325,0.65060241,0.168674699,6.771084337,0.421686747,0.180722892,54348,83,0.47441103,0.954022989,0.754545455,1,29.971,11.03714308,9.7160352,-39.62964706,63.63855422,617.2289157,0.324324324,1,645,0,0,0
22305,652,0.096153846,0.076923077,0.134615385,0.019230769,0.057692308,0,1.942307692,1.884615385,0.038461538,0.461538462,0.019230769,0.038461538,4.903846154,0.192307692,0.134615385,0.173076923,0.038461538,0.019230769,0.288461538,0,0.403846154,0.365384615,0.442307692,0.346153846,0.134615385,0.307692308,0.115384615,3.019230769,0.134615385,0.096153846,54432,52,0.599682831,0.881355932,0.577777778,1,25.216,9.364460945,7.493795422,70.34773257,437.3461538,618.6923077,0.516129032,2,644,649,0,0
22305,653,0.073825503,0.140939597,0.140939597,0.033557047,0.127516779,0.040268456,3.268456376,1.986577181,0.080536913,0.261744966,0.033557047,0.067114094,7.959731544,0.275167785,0.093959732,0.322147651,0.040268456,0.046979866,0.261744966,0.006711409,0.281879195,0.194630872,0.66442953,0.342281879,0.275167785,0.382550336,0.154362416,4.140939597,0.214765101,0.11409396,54515,149,0.707420758,0.949044586,0.674208145,1,42.087,16.51557733,11.67308891,13.85507969,599.8322148,618.6979866,0,0,0,0,0,0
22305,655,0.1,0.116666667,0.258333333,0.041666667,0.1,0.083333333,1.075,3.116666667,0.066666667,0.416666667,0.083333333,0.075,2.625,0.4,0.1,0.241666667,0.016666667,0.041666667,0.433333333,0.016666667,0.391666667,0.216666667,1.05,0.383333333,0.058333333,0.633333333,0.116666667,6.333333333,0.308333333,0.116666667,54682,120,0.750499905,0.94488189,0.727272727,1,38.572,15.35154809,10.14538614,11.6409525,147.2583333,619.25,0.282608696,1,647,0,0,0
22305,656,0.09375,0.104166667,0.385416667,0.072916667,0.125,0.09375,1.145833333,1.729166667,0.072916667,0.302083333,0.03125,0.020833333,1.333333333,0.15625,0.197916667,0.302083333,0.083333333,0.0625,0.6875,0,0.552083333,0.229166667,0.677083333,0.5625,0.208333333,0.59375,0.125,6.458333333,0.291666667,0.145833333,54766,96,0.55189472,0.95049505,0.8,1,32.973,12.19261952,10.16759361,8.149829761,235.375,620.4479167,0.095238095,1,663,0,0,0
22305,657,0.045977011,0.172413793,0.367816092,0.034482759,0.034482759,0.022988506,1.057471264,2.425287356,0.057471264,0.471264368,0.034482759,0.022988506,1.206896552,0.344827586,0.149425287,0.413793103,0.068965517,0.045977011,0.574712644,0.022988506,0.609195402,0.482758621,8.24137931,0.333333333,0.137931034,0.344827586,0.172413793,4.965517241,0.206896552,0.068965517,54849,87,0.418684859,0.956043956,0.790909091,1,30.343,11.10160744,10.08172045,-16.33190855,626.8735632,620.6091954,0,0,0,0,0,0
22305,658,0.144444444,0.1,0.388888889,0.088888889,0.066666667,0.066666667,1.8,3.788888889,0.088888889,0.5,0.011111111,0,4.288888889,0.411111111,0.111111111,0.311111111,0.133333333,0.122222222,0.255555556,0,0.8,0.3,7.333333333,0.666666667,0.111111111,0.455555556,0.133333333,5.288888889,0.3,0.133333333,54933,90,0.593842975,0.957446809,0.75,1,31.104,11.999108,9.654253832,23.76449415,474.6666667,621.6222222,0,0,0,0,0,0
22305,659,0.087378641,0.106796117,0.174757282,0.106796117,0.048543689,0.116504854,1.514563107,3.961165049,0.038834951,0.45631068,0.116504854,0.029126214,2.54368932,0.466019417,0.126213592,0.504854369,0.019417476,0.077669903,0.349514563,0.009708738,0.757281553,0.184466019,0.601941748,0.718446602,0.126213592,0.339805825,0.145631068,6.194174757,0.213592233,0.067961165,55016,103,0.593618144,0.953703704,0.72027972,1,34.015,12.88458133,10.36882629,18.05147929,651.0194175,625.4757282,0,0,0,0,0,0
22305,660,0.043956044,0.087912088,0.142857143,0.021978022,0.153846154,0.076923077,1.901098901,2.956043956,0.120879121,0.417582418,0.076923077,0.021978022,1.362637363,0.351648352,0.197802198,0.483516484,0.054945055,0.065934066,0.32967033,0.032967033,0.494505495,0.285714286,1.043956044,0.450549451,0.142857143,0.626373626,0.208791209,5.934065934,0.230769231,0.087912088,55099,91,0.459537611,0.93814433,0.689393939,1,31.683,11.52042434,10.23196061,-32.72277782,695.4725275,624.1978022,0.317073171,2,666,669,0,0
