ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10
65535,41620,0.212121212,0.121212121,0.181818182,0.03030303,0.03030303,0,1.575757576,1.96969697,0.121212121,0.636363636,0.121212121,0.090909091,1.303030303,0.272727273,0,0.636363636,0.090909091,0.151515152,0.787878788,0.03030303,0.666666667,0.545454545,2.515151515,0.333333333,0.181818182,1.333333333,0.212121212,8.575757576,0.212121212,0.303030303,41620,470,0.76584199,0.846153846,0.611111111,14,21.66,8.540661301,5.491891246,7.524013213,1118.454545,974.6969697,0.692307692,28,41520,41549,0,0,0,0,0,0,0,0
65535,41648,0.136363636,0.136363636,0.25,0,0.159090909,0.068181818,3.386363636,2.659090909,0.068181818,0.590909091,0.113636364,0.045454545,0.818181818,0.636363636,0.068181818,0.5,0.068181818,0.022727273,0.818181818,0.022727273,0.568181818,0.545454545,1.136363636,0.477272727,0.204545455,1.181818182,0.136363636,7.977272727,0.204545455,0.340909091,41648,627,0.89084207,0.721311475,0.571428571,14,34.007,12.73513385,5.785738323,-73.18761804,1567,978.2727273,0,0,0,0,0,0,0,0,0,0,0,0
65535,41663,0.075268817,0.096774194,0.11827957,0.043010753,0.053763441,0.053763441,3.333333333,1.483870968,0.075268817,0.548387097,0.075268817,0.043010753,0.774193548,0.344086022,0.107526882,0.258064516,0.096774194,0.075268817,0.741935484,0.043010753,0.580645161,0.483870968,0.52688172,0.365591398,0.516129032,1.086021505,0.161290323,4.053763441,0.301075269,0.096774194,41663,1325,0.718300626,0.694029851,0.476923077,14,54.162,14.81143039,10.30479881,17.37280634,207.9462366,975.9032258,0.754385965,71,41477,41534,41819,41990,42261,0,0,0,0,0
65535,41677,0.081081081,0.135135135,0.027027027,0.027027027,0.027027027,0.054054054,2.378378378,1.054054054,0.027027027,0.72972973,0.027027027,0.081081081,0.702702703,0.297297297,0.162162162,0.297297297,0.027027027,0.054054054,0.702702703,0,0.864864865,0.513513514,1.675675676,0.216216216,0.324324324,0.891891892,0.162162162,2.702702703,0.189189189,0.162162162,41677,527,0.667537205,0.948717949,0.685185185,14,20.601,8.145440049,6.064902782,-7.820250801,343.4324324,976.4864865,0,0,0,0,0,0,0,0,0,0,0,0
65535,41691,0.090909091,0.136363636,0.212121212,0.060606061,0.015151515,0.03030303,1.015151515,1.287878788,0.015151515,0.454545455,0.060606061,0.060606061,0.727272727,0.287878788,0.106060606,0.287878788,0.03030303,0.075757576,2.348484848,0,0.5,0.393939394,0.333333333,0.287878788,0.121212121,0.666666667,0.090909091,3.03030303,0.333333333,0.090909091,41691,940,0.832335992,0.785714286,0.5,14,39.458,12.89001819,7.14456856,44.93783734,422.3484848,977.4090909,0,0,0,0,0,0,0,0,0,0,0,0
65535,41705,0.086956522,0.086956522,0.173913043,0.043478261,0.108695652,0.032608696,1.641304348,0.956521739,0.076086957,0.684782609,0.097826087,0.02173913,0.608695652,0.206521739,0.163043478,0.315217391,0.097826087,0.108695652,1.456521739,0.02173913,0.489130435,0.380434783,0.25,0.260869565,0.217391304,0.869565217,0.163043478,3.782608696,0.239130435,0.076086957,41705,1310,0.571113961,0.773109244,0.522727273,14,53.608,12.66128281,10.39327715,86.01418962,791.0326087,976.2826087,0,0,0,0,0,0,0,0,0,0,0,0
65535,41720,0.02739726,0.136986301,0.219178082,0.054794521,0.04109589,0.04109589,1.726027397,1.794520548,0.04109589,0.575342466,0.054794521,0.01369863,1.02739726,0.301369863,0.068493151,0.342465753,0.136986301,0.123287671,1.383561644,0.04109589,0.863013699,0.397260274,2.054794521,0.273972603,0.123287671,1.04109589,0.123287671,5.260273973,0.273972603,0.109589041,41720,1040,0.646726923,0.935897436,0.663636364,14,30.269,11.315155,8.630313484,-43.04210485,522.4931507,975.7534247,0,0,0,0,0,0,0,0,0,0,0,0
65535,41734,0.056818182,0.125,0.204545455,0.102272727,0.079545455,0.068181818,1.602272727,2.261363636,0.022727273,0.727272727,0.045454545,0.068181818,0.806818182,0.238636364,0.068181818,0.534090909,0.113636364,0.068181818,0.590909091,0,0.75,0.693181818,0.647727273,0.375,0.181818182,1.136363636,0.227272727,6.886363636,0.284090909,0.113636364,41734,1253,0.521335266,0.733333333,0.483516484,14,48.397,12.87831654,10.98973646,-72.52851646,1239.909091,974.25,0,0,0,0,0,0,0,0,0,0,0,0
65535,41748,0.107692308,0.138461538,0.076923077,0.030769231,0.015384615,0.107692308,1.815384615,3.046153846,0.076923077,1.938461538,0.046153846,0.107692308,1.830769231,0.323076923,0.076923077,0.307692308,0.061538462,0.092307692,0.384615385,0,1.353846154,1.123076923,0.4,0.507692308,0.169230769,0.861538462,0.138461538,4.107692308,0.307692308,0.076923077,41748,926,0.84467421,0.656565657,0.451388889,14,50.887,14.30454668,7.656948445,46.38125298,1355.723077,978.6,0.458333333,57,41492,41606,41976,42232,0,0,0,0,0,0
65535,41762,0.034782609,0.113043478,0.095652174,0.034782609,0.043478261,0.060869565,3.147826087,1.913043478,0.086956522,1.304347826,0.043478261,0.069565217,6.895652174,0.234782609,0.47826087,0.486956522,0,0.069565217,0.426086957,0.008695652,1.826086957,0.669565217,0.252173913,0.434782609,0.4,1.12173913,0.147826087,3.260869565,0.286956522,0.069565217,41762,1638,0.753435608,0.732484076,0.504385965,14,65.004,16.11142665,10.59361262,-11.50515868,19827,976.1826087,0.317460317,28,41193,41905,0,0,0,0,0,0,0,0
65535,41777,0.077669903,0.13592233,0.077669903,0.067961165,0.038834951,0.019417476,4.980582524,1.990291262,0.029126214,0.398058252,0.029126214,0.029126214,1.932038835,0.330097087,0.048543689,0.359223301,0.048543689,0.048543689,0.776699029,0.009708738,0.631067961,0.417475728,0.786407767,0.339805825,0.223300971,0.951456311,0.165048544,4.213592233,0.32038835,0.116504854,41777,1467,0.896455482,0.62804878,0.377289377,14,65.856,21.45929183,9.509337645,21.7448792,69.97087379,974.0679612,0.222222222,14,41891,0,0,0,0,0,0,0,0,0
