ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,Selection,Sel01
65535,6970,1.939393939,0.272727273,0.212121212,0,0.03030303,0.045454545,0.560606061,0.893939394,0.045454545,0.060606061,0.03030303,0.045454545,3.318181818,0.318181818,0.090909091,0.181818182,0.045454545,0.075757576,0.166666667,0.015151515,0.257575758,0.136363636,3.863636364,0.090909091,0.545454545,0.484848485,0.045454545,8.984848485,0.045454545,0.121212121,29.81818182,52.28787879,6970,1361,0.596604149,21,0.66,21,27.35,10.47683599,8.408034516,51.00147935,549.6969697,139.9090909,0.514285714,21,7094,0,0,0,0,0,0,0,0,0,0,0,1
65535,6991,NaN,0.12371134,0.195876289,0.010309278,0.030927835,0.103092784,0.597938144,1.010309278,0.010309278,0.24742268,0.020618557,0.092783505,5.103092784,0.371134021,0.134020619,0.319587629,0.020618557,0.041237113,0.402061856,0,0.412371134,0.18556701,7.041237113,0.226804124,0.463917526,0.278350515,0.092783505,8.608247423,0.06185567,0.12371134,62.91752577,108.5154639,6991,2000,0.597388583,0.97,0.734848485,21,33.048,12.55220966,10.06626863,25.91554733,16868,141.9175258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,7011,2.325925926,0.140740741,0.207407407,0.081481481,0.081481481,0.088888889,1.022222222,0.977777778,0.081481481,0.288888889,0.125925926,0.066666667,4.540740741,0.451851852,0.125925926,0.244444444,0.074074074,0.037037037,0.325925926,0.022222222,0.348148148,0.125925926,3.096296296,0.125925926,0.42962963,0.437037037,0.118518519,11.11851852,0.066666667,0.133333333,33.31111111,58.4962963,7011,2784,0.604122739,0.931034483,0.649038462,21,42.724,15.18195211,12.09836529,87.73497409,452.2740741,142.162963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,7032,4.517241379,0.172413793,0.206896552,0.068965517,0.034482759,0,0.896551724,1.413793103,0.034482759,0.137931034,0.206896552,0.068965517,6.482758621,0.827586207,0.275862069,0.275862069,0.172413793,0.034482759,0.551724138,0.068965517,0.379310345,0.172413793,1.24137931,0.172413793,0.517241379,0.310344828,0.310344828,18.44827586,0.137931034,0.103448276,10.34482759,20.82758621,7032,598,0.525219718,0.966666667,0.69047619,21,16.218,6.713158836,5.712674318,-6.635321938,483.9655172,141.5862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,7053,3.576923077,0.153846154,0.269230769,0,0.076923077,0.192307692,0.846153846,NaN,0.115384615,0.153846154,0.038461538,0.115384615,7.076923077,0.5,0.076923077,0.038461538,0.076923077,0.076923077,0.5,0,0.307692308,0,1.538461538,0.153846154,0.461538462,0.384615385,0.076923077,10.61538462,0.038461538,0.153846154,10.84615385,21.15384615,7053,536,0.467741199,21,0.722222222,21,14.994,6.223325722,5.50058272,45,764.3461538,142.6538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,7073,3.058823529,0.235294118,0.264705882,0.058823529,0.029411765,0.117647059,1.147058824,1.176470588,0.029411765,0.264705882,0.058823529,0.029411765,7.823529412,0.352941176,0.058823529,0.147058824,0.029411765,0,0.205882353,0.029411765,0.529411765,0.117647059,0.735294118,0.088235294,0.411764706,0.294117647,0.235294118,9.470588235,0.117647059,0.117647059,14.41176471,23.64705882,7073,701,0.694807756,0.918918919,0.607142857,21,20.8,8.071484331,5.804975293,68.04382551,1285.235294,143.1470588,0.625,41,6805,7135,0,0,0,0,0,0,0,0,0,0,0
65535,7094,1.615384615,0.096153846,0.115384615,0.115384615,0.057692308,0.153846154,0.538461538,NaN,0.192307692,0.230769231,0.076923077,0.096153846,3.384615385,0.365384615,0.115384615,0.230769231,0.038461538,0.134615385,0.384615385,0.019230769,0.346153846,0.192307692,5.576923077,0.076923077,0.423076923,0.384615385,0.038461538,8.769230769,0,0.153846154,30.32692308,53.71153846,7094,1072,0.677144854,0.981132075,0.641975309,21,23.62,9.708574059,7.144051746,928,554.3461538,144.3461538,0.53125,21,6970,0,0,0,0,0,0,0,0,0,0,0,0
65535,7114,1.244680851,0.117021277,0.212765957,0.074468085,0.085106383,0.117021277,0.425531915,0.978723404,0.095744681,0.170212766,0.010638298,0.074468085,4.127659574,0.159574468,0.053191489,0.159574468,0.031914894,0.021276596,0.14893617,0.010638298,0.244680851,0.170212766,5.276595745,0.117021277,0.404255319,0.180851064,0.074468085,5.765957447,0.053191489,0.106382979,36.78723404,65.41489362,7114,1938,0.261191274,0.989473684,0.776859504,21,31.46,11.20996074,10.8208301,38.58070162,909.2340426,143.2978723,0.125,21,6558,0,0,0,0,0,0,0,0,0,0,0,1
65535,7135,1.716981132,0.339622642,0.150943396,0.056603774,0.037735849,0.056603774,0.452830189,1.150943396,0.056603774,0.150943396,0.037735849,0.056603774,7.037735849,0.188679245,0.150943396,0.169811321,0.037735849,0.113207547,0.245283019,0.018867925,0.150943396,0.018867925,1.169811321,0.132075472,0.509433962,0.245283019,0.094339623,9.018867925,0.056603774,0.132075472,12.24528302,23.05660377,7135,1093,0.777715593,0.981481481,0.757142857,21,23.876,10.50423863,6.603135651,23.90098424,1275.150943,143.7358491,0.233333333,41,6805,7073,0,0,0,0,0,0,0,0,0,0,0
65535,7156,2.130769231,0.230769231,0.207692308,0.053846154,0.030769231,0.084615385,0.815384615,1.184615385,0.084615385,0.161538462,0.053846154,0.053846154,5.007692308,0.407692308,0.192307692,0.346153846,0.046153846,0.123076923,0.476923077,0.007692308,0.3,0.2,5.638461538,0.107692308,0.669230769,0.438461538,0.169230769,11.76923077,0.069230769,0.138461538,50.56153846,94.04615385,7156,2681,0.578694402,0.962962963,0.666666667,21,38.804,14.49104003,11.81808761,-31.07889396,165.7692308,143.8538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
