ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_1_ALS_F_FrontalCrtx_240511_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6
562861,236,0.651162791,0.100775194,0.255813953,0.069767442,0.069767442,0.054263566,3.968992248,1.937984496,0.054263566,0.100775194,0.062015504,0.046511628,8.829457364,0.294573643,0.124031008,0.162790698,0.093023256,0.046511628,0.240310078,0,0.302325581,0.108527132,0.666666667,0.224806202,0.88372093,0.348837209,0.15503876,5.627906977,0.201550388,0.108527132,19578,129,0.8220659,0.921428571,0.632352941,1,40.863,17.23481826,9.813373794,21.65108569,553.5581395,298,0,0,0,0,0,0,0,0
562861,237,0.602564103,0.320512821,0.794871795,0.128205128,0.141025641,0.064102564,2.025641026,2.525641026,0.038461538,0.384615385,0.08974359,0.064102564,3.923076923,0.320512821,0.294871795,0.384615385,0.115384615,0.076923077,0.679487179,0.025641026,0.294871795,0.217948718,5.730769231,0.333333333,0.679487179,0.679487179,0.102564103,9.820512821,0.320512821,0.192307692,19660,78,0.789572278,0.906976744,0.75,1,31.567,13.02951593,7.995661128,1.351575777,306.8333333,299.525641,0.825,4,233,235,243,246,0,0
562861,238,1.044642857,0.071428571,0.232142857,0.0625,0.053571429,0.071428571,3.607142857,2.196428571,0.0625,0.223214286,0.044642857,0.089285714,12.98214286,0.571428571,0.232142857,0.392857143,0.0625,0.0625,0.366071429,0.017857143,0.321428571,0.107142857,0.642857143,0.276785714,1.241071429,0.508928571,0.142857143,9.758928571,0.151785714,0.142857143,19743,112,0.566807429,0.949152542,0.783216783,1,35.396,13.24609091,10.91279615,-21.66335802,443.5892857,299.3125,0.022727273,1,231,0,0,0,0,0
562861,239,0.64,0.12,0.68,0.08,0.12,0.106666667,3.866666667,1.213333333,0.093333333,0.186666667,0.066666667,0.013333333,3.333333333,0.293333333,1.8,0.453333333,0.026666667,0.053333333,0.28,0,0.28,0.24,5.613333333,0.346666667,0.333333333,0.426666667,0.12,7.333333333,0.146666667,0.133333333,19826,75,0.655887195,0.949367089,0.757575758,1,30.062,11.4162216,8.617636697,-62.16832871,707.1066667,299.1866667,0.540540541,2,230,240,0,0,0,0
562861,240,0.444444444,0.171717172,0.676767677,0.171717172,0.080808081,0.070707071,3.747474747,1.828282828,0.151515152,0.454545455,0.080808081,0.04040404,2.747474747,0.323232323,0.797979798,0.222222222,0.070707071,0.04040404,0.282828283,0.04040404,0.202020202,0.212121212,9.777777778,0.333333333,0.535353535,0.333333333,0.121212121,8.343434343,0.171717172,0.212121212,19909,99,0.86622406,0.804878049,0.55,1,40.466,16.85158941,8.419993719,-69.45981164,713.1515152,296.4545455,0.62,2,230,239,0,0,0,0
562861,241,0.794642857,0.107142857,0.330357143,0.071428571,0.142857143,0.080357143,2.464285714,2.741071429,0.053571429,0.151785714,0.071428571,0.071428571,8.741071429,0.446428571,0.276785714,0.571428571,0.0625,0.053571429,0.339285714,0.017857143,0.410714286,0.133928571,3.375,0.392857143,2.0625,0.508928571,0.133928571,10.36607143,0.133928571,0.142857143,19992,112,0.753715018,0.941176471,0.678787879,1,37.406,14.86240049,9.76759031,21.21100443,150.9017857,300.8839286,0,0,0,0,0,0,0,0
562861,242,0.74015748,0.188976378,0.448818898,0.133858268,0.141732283,0.11023622,2.566929134,2.968503937,0.125984252,0.236220472,0.070866142,0.031496063,6.566929134,0.456692913,6.960629921,0.448818898,0.078740157,0.133858268,0.937007874,0.062992126,0.283464567,0.149606299,3.724409449,0.322834646,1.094488189,0.984251969,0.220472441,11.54330709,0.220472441,0.141732283,20075,127,0.546518334,0.962121212,0.75147929,1,37.381,13.97868867,11.70641283,42.79497081,486.9448819,303.007874,0,0,0,0,0,0,0,0
562861,243,1.0625,0.204545455,0.568181818,0.051136364,0.096590909,0.096590909,4.431818182,2.835227273,0.136363636,0.340909091,0.102272727,0.045454545,7.176136364,0.693181818,0.289772727,0.340909091,0.107954545,0.210227273,0.301136364,0.017045455,0.545454545,0.193181818,3.948863636,0.386363636,1.522727273,1.130681818,0.210227273,10.58522727,0.284090909,0.278409091,20158,176,0.761471958,0.936170213,0.712550607,1,48.703,18.81124558,12.193409,12.26878865,323.4772727,301.9602273,0.93442623,6,235,237,246,247,250,251
562861,245,1.584158416,0.227722772,0.415841584,0.059405941,0.099009901,0.099009901,2.811881188,2.267326733,0.059405941,0.297029703,0.099009901,0.04950495,11.27722772,0.465346535,0.455445545,0.356435644,0.059405941,0.089108911,0.603960396,0.04950495,0.247524752,0.118811881,0.653465347,0.346534653,0.95049505,0.683168317,0.207920792,7.900990099,0.188118812,0.148514851,20324,101,0.542800436,0.971153846,0.765151515,1,33.337,12.45108158,10.45718663,13.3511558,783.4356436,303.4950495,0.268292683,1,244,0,0,0,0,0
562861,246,0.71,0.09,0.42,0.09,0.19,0.07,5.14,2.64,0.18,0.17,0.05,0.05,4.51,0.46,2.16,0.43,0.11,0.14,0.73,0.03,0.43,0.07,1.57,0.32,1.98,0.68,0.17,10.58,0.26,0.17,20407,100,0.660441184,0.925925926,0.699300699,1,34.495,13.13017015,9.859153031,19.39235174,309.08,307.9,0.590909091,4,235,237,243,250,0,0
562861,247,1.306451613,0.096774194,0.491935484,0.161290323,0.153225806,0.112903226,3.387096774,2.491935484,0.10483871,0.25,0.056451613,0.032258065,4.822580645,1.016129032,0.241935484,0.5,0.080645161,0.169354839,0.39516129,0.032258065,0.459677419,0.209677419,3.274193548,0.5,0.983870968,0.774193548,0.193548387,8.943548387,0.338709677,0.137096774,20490,124,0.729015579,0.892086331,0.59047619,1,42.327,15.6809053,10.73353427,-43.29086304,337.2177419,305.6854839,0.692307692,4,243,251,256,260,0,0
562861,248,0.926229508,0.163934426,0.467213115,0.090163934,0.147540984,0.098360656,3.614754098,2.114754098,0.081967213,0.213114754,0.032786885,0.073770492,5.344262295,0.418032787,0.483606557,0.401639344,0.114754098,0.06557377,0.360655738,0.016393443,0.31147541,0.18852459,4.032786885,0.352459016,1.770491803,0.491803279,0.180327869,8.885245902,0.204918033,0.172131148,20573,122,0.662620567,0.960629921,0.677777778,1,37.489,14.4957556,10.85667243,-27.05375255,584.7213115,309.557377,0,0,0,0,0,0,0,0
