ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,Selection,Sel01
65535,33283,0.505494505,0.120879121,0.131868132,0.043956044,0.010989011,0.065934066,0.692307692,0.813186813,0.065934066,0.263736264,0.010989011,0.054945055,2.120879121,0.164835165,0.065934066,0.10989011,0.010989011,0.087912088,0.120879121,0.010989011,0.263736264,0.065934066,0.406593407,0.065934066,0.098901099,0.241758242,0.120879121,3.978021978,0.098901099,0.065934066,33283,4467,0.69648383,0.968085106,0.7,49,32.13,12.85526412,9.224583851,18.78682194,929.3626374,757.8791209,0,0,0,0,0,0,0,1
65535,33332,0.735042735,0.136752137,0.205128205,0.017094017,0.017094017,0.034188034,0.991452991,0.478632479,0.008547009,0.11965812,0.051282051,0.076923077,2.179487179,0.11965812,0.085470085,0.094017094,0.05982906,0.017094017,0.111111111,0.025641026,0.128205128,0.102564103,0.794871795,0.102564103,0.341880342,0.11965812,0.008547009,3.111111111,0.051282051,0.051282051,33332,5744,0.743943495,0.959016393,0.709090909,49,37.464,15.14748332,10.12219256,-15.15220959,326.4273504,758.974359,0,0,0,0,0,0,0,1
65535,33381,0.754545455,0.045454545,0.145454545,0.036363636,0.018181818,0.081818182,1.554545455,0.609090909,0.081818182,0.036363636,0.081818182,0.036363636,2.763636364,0.118181818,0.090909091,0.063636364,0.036363636,0.036363636,0.090909091,0.027272727,0.145454545,0.063636364,0.927272727,0.090909091,0.245454545,0.118181818,0.127272727,2.936363636,0.009090909,0.054545455,33381,5400,0.78066195,0.956521739,0.650887574,49,36.166,15.10235033,9.438267204,-42.95839546,415.7,759.8363636,0,0,0,0,0,0,0,1
65535,33430,0.584269663,0.078651685,0.157303371,0.02247191,0.033707865,0.033707865,0.573033708,0.359550562,0.033707865,0.101123596,0.033707865,0.033707865,1.707865169,0.056179775,0.033707865,0.101123596,0.02247191,0.033707865,0.056179775,0.033707865,0.112359551,0.056179775,1.842696629,0.04494382,0.078651685,0.258426966,0.04494382,2.674157303,0.04494382,0.078651685,33430,4369,0.526482944,0.988888889,0.741666667,49,30.906,11.64185777,9.897740899,4.853725757,499.011236,759.6179775,0,0,0,0,0,0,0,1
65535,33479,0.548780488,0.170731707,0.219512195,0.036585366,0.024390244,0.048780488,1.134146341,0.853658537,0.036585366,0.097560976,0.085365854,0.048780488,1.487804878,0.146341463,0.036585366,0.097560976,0.012195122,0,0.085365854,0,0.158536585,0.170731707,1.585365854,0.158536585,0.207317073,0.231707317,0.109756098,5.37804878,0.048780488,0.097560976,33479,4025,0.658603673,0.964705882,0.745454545,49,29.508,11.85498436,8.920757199,-29.34533014,975.0853659,761.2195122,0,0,0,0,0,0,0,1
65535,33528,0.469879518,0.084337349,0.13253012,0.108433735,0.012048193,0.072289157,0.542168675,0.301204819,0.072289157,0.180722892,0.012048193,0.048192771,1.313253012,0.096385542,0.204819277,0.108433735,0.084337349,0.048192771,0.180722892,0.024096386,0.21686747,0.144578313,0.771084337,0.060240964,0.120481928,0.21686747,0.048192771,2.397590361,0.012048193,0.036144578,33528,4074,0.705921486,0.922222222,0.638461538,49,31.675,12.46471191,8.828631955,-21.79625328,1427.746988,762.8795181,0.463414634,49,33234,0,0,0,0,1
65535,33577,0.669172932,0.045112782,0.233082707,0.037593985,0.007518797,0.030075188,1.045112782,0.503759398,0.037593985,0.15037594,0.037593985,0.037593985,1.77443609,0.157894737,0.060150376,0.045112782,0.007518797,0.015037594,0.067669173,0.007518797,0.22556391,0.097744361,0.939849624,0.067669173,0.210526316,0.233082707,0.067669173,4.458646617,0.015037594,0.090225564,33577,6529,0.757299695,0.95,0.692708333,49,41.31,16.46313692,10.75153983,-69.31488815,1355.827068,766.7819549,0,0,0,0,0,0,0,1
65535,33627,0.397727273,0.056818182,0.136363636,0,0,0.034090909,0.5,0.443181818,0.045454545,0.102272727,0.034090909,0.011363636,0.659090909,0.136363636,0.306818182,0.068181818,0.034090909,0.068181818,0.181818182,0,0.011363636,0.068181818,1.340909091,0.045454545,0.079545455,0.068181818,0.056818182,2.738636364,0.022727273,0.045454545,33627,4320,0.746917289,0.936170213,0.676923077,49,32.138,13.15390114,8.746251958,74.22766279,1251.375,771.1477273,0,0,0,0,0,0,0,1
65535,33676,1.145833333,0.09375,0.125,0.020833333,0.020833333,0.052083333,0.90625,0.541666667,0.09375,0.166666667,0.010416667,0.020833333,2.333333333,0.0625,0.03125,0.09375,0.052083333,0.041666667,0.041666667,0.03125,0.21875,0.114583333,0.96875,0.072916667,0.125,0.104166667,0.072916667,2.114583333,0.03125,0.083333333,33676,4713,0.732932052,0.923076923,0.615384615,49,34.942,13.93855398,9.48242405,-60.11532076,831.3958333,772.3020833,0,0,0,0,0,0,0,1
65535,33725,0.325581395,0.11627907,0.11627907,0.034883721,0.034883721,0.046511628,1.23255814,0.406976744,0.046511628,0.127906977,0.034883721,0.034883721,1.697674419,0.197674419,0.058139535,0.081395349,0.023255814,0.046511628,0.139534884,0,0.104651163,0.034883721,0.604651163,0.011627907,0.511627907,0.081395349,0.046511628,4.058139535,0.034883721,0.046511628,33725,4222,0.639008924,0.977272727,0.651515152,49,31.576,12.13100481,9.33116066,-54.93278076,967.4767442,773.4418605,0.073170732,49,34019,0,0,0,0,1
