ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,Selection,Sel01
65535,20697,0.757575758,0.166666667,0.075757576,0.015151515,0.03030303,0.015151515,0.196969697,0.424242424,0.015151515,0.166666667,0.015151515,0.03030303,1.045454545,0.181818182,0.090909091,0.015151515,0.060606061,0.045454545,0.166666667,0.045454545,0.242424242,0.060606061,0.136363636,0.060606061,0.136363636,0.212121212,0.015151515,1.606060606,0.045454545,0.060606061,16.75757576,31.77272727,20697,1790,0.650957806,27,0.75,27,26.498,10.65748271,8.090243411,8.155288536,1385.787879,122.1515152,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,20724,0.867924528,0.094339623,0.132075472,0.056603774,0.018867925,0.018867925,0.169811321,1.301886792,0.056603774,0.264150943,0,0,5.886792453,0.150943396,0.132075472,0.169811321,0.018867925,0.037735849,0.132075472,0,0.433962264,0.113207547,0.132075472,0.094339623,0.037735849,0.20754717,0.037735849,1.245283019,0.056603774,0.037735849,16.94339623,32.18867925,20724,1438,0.737449718,0.981481481,0.588888889,27,24.935,10.248683,6.921981386,37.00061928,19.98113208,125.0566038,0.515151515,54,18825,20290,0,0,0,0,0,0,0,0,0
65535,20751,0.565789474,0.052631579,0.092105263,0.052631579,0.039473684,0.065789474,0.210526316,0.894736842,0.026315789,0.171052632,0.039473684,0.013157895,4.157894737,0.092105263,0.052631579,0.131578947,0.013157895,0,0.157894737,0.013157895,0.342105263,0.092105263,0.289473684,0.131578947,0.144736842,0.157894737,0.131578947,1.473684211,0.026315789,0.039473684,16.40789474,32.73684211,20751,2062,0.791604816,0.938271605,0.703703704,27,30.426,12.82082122,7.833949974,21.81405527,493.0394737,124.2631579,0.421052632,27,20371,0,0,0,0,0,0,0,0,0,0
65535,20778,0.528735632,0.08045977,0.022988506,0.045977011,0.011494253,0.022988506,0.471264368,0.827586207,0.103448276,0.16091954,0.045977011,0.034482759,3.724137931,0.137931034,0.08045977,0.045977011,0.045977011,0.057471264,0.229885057,0,0.252873563,0.137931034,0.24137931,0.114942529,0.057471264,0.126436782,0.034482759,2.137931034,0.034482759,0.022988506,16.68965517,32.90804598,20778,2360,0.846630824,0.956043956,0.564935065,27,34.479,14.65802299,7.800716262,33.51904623,591.1954023,124.6781609,0.431818182,81,21104,22134,22433,0,0,0,0,0,0,0,0
65535,20805,0.605633803,0.126760563,0.056338028,0,0,0.056338028,0.154929577,0.563380282,0.014084507,0.112676056,0.014084507,0.070422535,3.225352113,0.112676056,0.014084507,0.084507042,0.014084507,0.042253521,0.112676056,0.014084507,0.267605634,0.14084507,0.267605634,0.112676056,0.042253521,0.042253521,0.056338028,1.211267606,0.028169014,0.028169014,18.54929577,31.30985915,20805,1926,0.623275478,0.97260274,0.788888889,27,27.614,10.85278545,8.486903748,24.8239398,664.3943662,124.084507,0.647058824,109,19449,20181,21212,22216,0,0,0,0,0,0,0
65535,20832,0.916666667,0.083333333,0.041666667,0,0.020833333,0.041666667,0.354166667,0.479166667,0.041666667,0.395833333,0.020833333,0.020833333,1.020833333,0.145833333,0.104166667,0.083333333,0.041666667,0.041666667,0.145833333,0,0.25,0.125,0.208333333,0.1875,0.041666667,0.083333333,0.104166667,2.229166667,0.0625,0.041666667,18.6875,31.47916667,20832,1302,0.458736366,0.96,0.666666667,27,22.859,8.50100612,7.553759583,18.92946046,34666,122.8541667,0.827586207,54,19856,21755,0,0,0,0,0,0,0,0,0
65535,20859,0.068965517,0.051724138,0.068965517,0.034482759,0.034482759,0.034482759,0.206896552,0.189655172,0.051724138,0.120689655,0,0.017241379,0.517241379,0.034482759,0.017241379,0.034482759,0.017241379,0,0.034482759,0.017241379,0.155172414,0.086206897,0.172413793,0.137931034,0.017241379,0.017241379,0.051724138,0.948275862,0,0,19.75862069,36.81034483,20859,1573,0.784996028,0.794520548,0.446153846,27,32.527,11.83245963,7.330218165,33.95588397,1444.258621,124.7931034,27,136,20127,20507,20995,21592,21619,0,0,0,0,7,0
65535,20887,0.743243243,0.148648649,0.148648649,0.027027027,0.067567568,0.027027027,0.405405405,0.918918919,0.040540541,0.594594595,0.013513514,0.027027027,2.662162162,0.148648649,0.054054054,0.040540541,0.054054054,0.067567568,0.22972973,0.013513514,0.337837838,0.108108108,1.027027027,0.040540541,0.297297297,0.162162162,0.067567568,3.189189189,0.067567568,0.067567568,20.27027027,977,20887,2007,0.864927111,0.891566265,0.517482517,27,33.371,14.08243564,7.067939135,56.73101592,761.8513514,127.6621622,0.465116279,54,20208,22785,0,0,0,0,0,0,0,0,1
65535,20914,0.629032258,0.048387097,0.112903226,0,0.016129032,0.048387097,0.419354839,0.709677419,0.064516129,0.14516129,0.016129032,0,3.322580645,0.177419355,0.032258065,0.096774194,0.016129032,0,0.306451613,0.016129032,0.209677419,0.064516129,0.258064516,0.129032258,0.14516129,0.387096774,0.064516129,2.516129032,0.016129032,0,16.56451613,30.51612903,20914,1682,0.843892653,0.96875,0.516666667,27,28.872,12.47750636,6.694332642,-37.70277468,808.5322581,126.3064516,0.526315789,27,21700,0,0,0,0,0,0,0,0,0,1
65535,20941,0.578125,0.078125,0.078125,0.046875,0.0625,0.03125,0.171875,0.5,0.0625,0.328125,0.03125,0,0.75,0.09375,0.03125,0.046875,0.09375,0.015625,0.265625,0,0.234375,0.09375,0.15625,0.15625,0.03125,0.1875,0.125,1.921875,0.015625,0.0625,16.984375,30.03125,20941,1736,0.605035502,0.914285714,0.711111111,27,27.085,10.39123664,8.273486959,61.51288327,1254.65625,125.078125,0.583333333,81,19856,21917,22053,0,0,0,0,0,0,0,1
65535,20968,0.518987342,0.075949367,0.126582278,0.012658228,0.037974684,0.063291139,0.341772152,0.64556962,0.037974684,0.215189873,0.037974684,0.037974684,1.139240506,0.17721519,0.063291139,0.088607595,0,0.025316456,0.215189873,0.037974684,0.329113924,0.126582278,0.240506329,0.088607595,0.101265823,0.202531646,0.063291139,3.82278481,0.063291139,0.025316456,17.01265823,32.29113924,20968,2143,0.607925769,0.951807229,0.658333333,27,29.988,11.43056211,9.075796198,-67.25048272,1319.341772,124.9620253,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,20995,0.180555556,0.083333333,0.097222222,0.027777778,0.041666667,0.055555556,0.138888889,0.444444444,0.013888889,0.180555556,0.055555556,0.055555556,0.541666667,0.166666667,0.027777778,0.041666667,0.013888889,0.013888889,0.097222222,0.013888889,0.180555556,0.097222222,0.125,0.069444444,0.055555556,0.180555556,0.013888889,2.513888889,0.083333333,0.097222222,18.625,35.29166667,20995,1953,0.474802451,0.888888889,0.595041322,27,31.187,10.85396449,9.552491656,3.149139655,1454.444444,124.9861111,0.846153846,109,20127,20859,21619,21944,0,0,0,0,0,7,0
