ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_6_Control_M_FrontalCrtx_240424_1_cellmas,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10
18963,740,0.059006211,0.086956522,0.229813665,0.055900621,0.01552795,0.062111801,0.413043478,1.177018634,0.046583851,0.366459627,0.034161491,0.02173913,0.354037267,0.832298137,0.037267081,0.276397516,0.055900621,0.049689441,0.434782609,0.02173913,0.549689441,0.537267081,0.729813665,0.282608696,0.245341615,1.068322981,0.121118012,17.48136646,0.099378882,0.136645963,54004,322,0.503981442,0.867924528,0.636363636,1,73.266,22.6986517,19.60515418,-80.87365789,718.8602484,679.4099379,0.631578947,4,719,725,738,756,0,0,0,0,0,0
18963,741,0.102325581,0.106976744,0.241860465,0.013953488,0.018604651,0.046511628,0.306976744,0.96744186,0.041860465,0.348837209,0.041860465,0.018604651,0.488372093,0.190697674,0.046511628,0.227906977,0.060465116,0.03255814,0.68372093,0.009302326,0.660465116,0.502325581,0.362790698,0.181395349,0.558139535,0.674418605,0.139534884,12.50697674,0.069767442,0.125581395,54077,215,0.663258532,0.964125561,0.707236842,1,51.06,19.30212767,14.44552613,16.12070489,268.3813953,680.9813953,0.107692308,1,739,0,0,0,0,0,0,0,0,0
18963,742,0.051136364,0.096590909,0.625,0.073863636,0.034090909,0.0625,0.5,1.210227273,0.051136364,0.295454545,0.051136364,0.017045455,0.278409091,0.267045455,0.079545455,0.318181818,0.034090909,0.051136364,0.778409091,0.034090909,0.4375,0.386363636,4.323863636,0.232954545,0.340909091,0.727272727,0.079545455,19.75568182,0.079545455,0.153409091,54150,176,0.566609591,0.961748634,0.690196078,1,46.189,16.72877376,13.7842819,10.75114901,764.5625,682.2840909,0.389830508,1,747,0,0,0,0,0,0,0,0,0
18963,743,0.080645161,0.092741935,0.407258065,0.084677419,0.048387097,0.052419355,0.536290323,1.350806452,0.052419355,0.225806452,0.032258065,0.040322581,0.423387097,0.39516129,0.088709677,0.435483871,0.052419355,0.028225806,0.52016129,0.016129032,0.326612903,0.439516129,2.108870968,0.225806452,0.27016129,0.907258065,0.116935484,27.54435484,0.080645161,0.225806452,54223,248,0.790520852,0.835016835,0.607843137,1,67.17,24.22989015,14.8392358,-4.696924747,455.358871,682.6169355,0.411764706,2,748,752,0,0,0,0,0,0,0,0
18963,744,0.073684211,0.089473684,0.247368421,0.036842105,0.031578947,0.047368421,0.563157895,1.284210526,0.078947368,0.321052632,0.042105263,0.036842105,0.336842105,0.531578947,0.047368421,0.210526316,0.047368421,0.063157895,0.531578947,0.015789474,0.289473684,0.526315789,0.763157895,0.157894737,0.305263158,0.536842105,0.121052632,18.10526316,0.121052632,0.131578947,54296,190,0.694253568,0.954773869,0.703703704,1,47.694,18.44602875,13.27616938,-23.74382526,514.9263158,685.9842105,0.37704918,3,733,745,750,0,0,0,0,0,0,0
18963,745,0.203125,0.109375,0.21875,0.015625,0.015625,0.0625,1.203125,1.78125,0.03125,0.421875,0.0625,0,0.40625,0.203125,0.0625,0.0625,0.046875,0.078125,0.421875,0,0.5625,0.515625,1.5625,0.203125,0.515625,0.609375,0.171875,11.828125,0.03125,0.15625,54369,64,0.817204072,0.914285714,0.831168831,1,28.168,12.1785487,7.019087337,8.167927981,530.03125,684.859375,1,5,733,735,744,750,761,0,0,0,0,0
18963,746,0.157894737,0.131578947,0.263157895,0.043859649,0.00877193,0.061403509,1.815789474,1.535087719,0.052631579,0.526315789,0.043859649,0,0.412280702,0.192982456,0.035087719,0.280701754,0.035087719,0.026315789,0.877192982,0.026315789,0.543859649,0.49122807,0.692982456,0.324561404,0.833333333,0.885964912,0.105263158,19.72807018,0.131578947,0.149122807,54442,114,0.25126193,0.912,0.626373626,1,37.861,12.49481934,12.09397467,75.69305664,291.9736842,684.0614035,0.775510204,3,732,739,754,0,0,0,0,0,0,0
18963,747,0.075555556,0.137777778,0.164444444,0.013333333,0.031111111,0.044444444,0.395555556,1.164444444,0.031111111,0.4,0.035555556,0.004444444,0.32,0.315555556,0.022222222,0.302222222,0.053333333,0.035555556,0.453333333,0.004444444,0.706666667,0.328888889,0.431111111,0.266666667,0.4,0.617777778,0.08,12.97777778,0.097777778,0.102222222,54515,225,0.680021856,0.9375,0.657894737,1,53.227,20.05601708,14.70490809,57.14674231,776.4577778,687.4666667,0.328571429,1,742,0,0,0,0,0,0,0,0,0
18963,748,0.066666667,0.066666667,0.32,0.066666667,0.066666667,0.053333333,0.346666667,1.053333333,0.053333333,0.173333333,0.093333333,0.026666667,0.28,0.373333333,0.026666667,0.2,0.026666667,0.04,0.32,0.013333333,0.346666667,0.693333333,1.986666667,0.16,0.293333333,1.04,0.226666667,23.08,0.106666667,0.16,54588,75,0.812415463,0.882352941,0.595238095,1,33.362,13.2118372,7.703544778,26.9886014,460.8266667,689.8933333,0.904761905,2,743,752,0,0,0,0,0,0,0,0
18963,749,0.08,0.16,0.2,0.07,0.04,0.01,0.7,1.07,0.01,0.42,0,0.04,0.6,0.22,0.07,0.2,0.03,0,0.78,0.01,0.36,0.45,0.54,0.26,0.41,0.67,0.11,14.74,0.07,0.11,54661,100,0.530741533,0.952380952,0.699300699,1,33.089,12.35651082,10.47255972,6.483808467,420.93,689.12,0.272727273,1,758,0,0,0,0,0,0,0,0,0
