ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,neighbour_4_CellId12,neighbour_4_CellId13,neighbour_4_CellId14,neighbour_4_CellId15
65535,48162,0.033333333,0.166666667,0.433333333,0.3,0.1,0,2.866666667,1.8,0.066666667,0.266666667,0.133333333,0.1,2.666666667,0.366666667,0.066666667,0.633333333,0.033333333,0.066666667,1.266666667,0,0.4,0.6,4.1,0.633333333,0.3,1.066666667,0.233333333,16.83333333,0.4,0.166666667,48162,356,0.883154991,0.769230769,0.46875,12,26.713,9.947616969,4.666241049,47.84873062,1239.5,1358.266667,0.740740741,24,47639,47853,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,48174,0.1875,0.145833333,0.395833333,0.270833333,0.145833333,0.114583333,3.572916667,2.833333333,0.1875,0.25,0.052083333,0.072916667,3.5,0.572916667,0.114583333,0.583333333,0.135416667,0.03125,1.135416667,0,0.739583333,0.5625,15.54166667,0.802083333,0.5,0.958333333,0.166666667,22.41666667,0.260416667,0.208333333,48174,1141,0.766424729,0.761904762,0.492307692,12,47.107,15.85984065,10.18731695,-18.84213207,606.6145833,1359.59375,0.509090909,48,47710,47805,48507,49350,0,0,0,0,0,0,0,0,0,0,0
65535,48198,0.057692308,0.153846154,0.538461538,0.211538462,0.096153846,0.096153846,3.057692308,2.5,0.096153846,0.076923077,0.019230769,0.038461538,5.730769231,0.557692308,0.076923077,0.711538462,0.057692308,0.057692308,0.846153846,0,0.519230769,0.365384615,6.769230769,0.538461538,0.230769231,0.673076923,0.230769231,24.30769231,0.25,0.269230769,48198,618,0.893793963,0.764705882,0.52,12,33.238,13.27729802,5.954573623,56.43270839,954.9423077,1355.711538,0.864864865,48,47413,47532,48305,49445,0,0,0,0,0,0,0,0,0,0,0
65535,48210,0.075,0.275,0.35,0.25,0.1,0.05,3.425,2.8,0.075,0.35,0.075,0.025,2.45,0.425,0.375,0.7,0.175,0.1,0.925,0.05,0.35,0.475,4.025,0.75,0.25,0.475,0.125,22.35,0.275,0.3,48210,475,0.884731739,0.85106383,0.666666667,12,25.307,10.92842324,5.093744411,10.13921744,1070.5,1358.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,48221,0.15,0.2,0.55,0.125,0.175,0.075,8.2,2.975,0.1,0.35,0.025,0,5.95,0.65,4.125,0.875,0.275,0.05,0.875,0,0.45,0.775,16.525,0.775,0.625,0.875,0.325,25.15,0.425,0.45,48221,475,0.675042688,0.975609756,0.816326531,12,20.022,8.410001283,6.204719582,-41.57861329,13214,1356.8,0.833333333,36,47556,48614,48899,0,0,0,0,0,0,0,0,0,0,0,0
65535,48233,0.032258065,0.129032258,0.161290323,0.064516129,0.129032258,0.032258065,4.709677419,9.483870968,0.064516129,0.548387097,0.129032258,0.064516129,7.483870968,0.709677419,0.322580645,1.451612903,0.290322581,0.064516129,1.032258065,0,1.419354839,0.516129032,6.419354839,1.774193548,1.290322581,0.709677419,0.322580645,26.4516129,0.419354839,0.193548387,48233,368,0.82154161,0.885714286,0.574074074,12,20.601,8.9310629,5.092032669,-88.33341816,26.48387097,1360.064516,0.5,12,48816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,48245,0.272727273,0.090909091,0.363636364,0.121212121,0.090909091,0.090909091,3.666666667,3.484848485,0,0.363636364,0,0.151515152,19.09090909,0.545454545,0.878787879,0.575757576,0,0.121212121,0.848484848,0,0.878787879,0.393939394,10.75757576,0.818181818,0.242424242,0.606060606,0.212121212,24.27272727,0.333333333,0.272727273,48245,392,0.486613719,0.76744186,0.589285714,12,29.599,7.898830738,6.900554739,27.31727011,462.8787879,1358.393939,0.571428571,24,47603,48031,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,48257,0.077922078,0.155844156,0.220779221,0.168831169,0.077922078,0.077922078,2.038961039,2.25974026,0.103896104,0.727272727,0.090909091,0.077922078,10.83116883,0.376623377,0.168831169,0.662337662,0.090909091,0.077922078,1.649350649,0.012987013,1.116883117,0.818181818,0.727272727,0.649350649,0.584415584,1.584415584,0.168831169,13.94805195,0.38961039,0.207792208,48257,915,0.897889443,0.865168539,0.458333333,12,37.762,15.68768695,6.906049582,43.66927806,524.8701299,1361.909091,0.6,48,47865,48043,49683,49873,0,0,0,0,0,0,0,0,0,0,0
65535,48269,0.085714286,0.257142857,0.371428571,0.171428571,0.114285714,0.114285714,4.314285714,2.942857143,0.057142857,0.4,0.085714286,0,3.142857143,0.571428571,0.028571429,0.542857143,0.028571429,0.028571429,1.285714286,0,0.8,0.514285714,4.942857143,0.514285714,0.571428571,0.657142857,0.2,24.08571429,0.485714286,0.142857143,48269,416,0.755394428,0.945945946,0.729166667,12,20.212,8.480279647,5.556875985,61.74893421,766.5142857,1359.857143,0.956521739,48,48281,48756,48768,48958,0,0,0,0,0,0,0,0,0,0,0
65535,48281,0.072463768,0.231884058,0.608695652,0.289855072,0.173913043,0.130434783,3.898550725,2.565217391,0.043478261,0.31884058,0.057971014,0.057971014,3.376811594,0.405797101,0.15942029,0.652173913,0.101449275,0.130434783,1.492753623,0.014492754,0.492753623,0.579710145,8.739130435,0.84057971,0.289855072,0.913043478,0.130434783,23.14492754,0.289855072,0.362318841,48281,820,0.720205853,0.831325301,0.570247934,12,32.758,11.93964487,8.283253115,-64.19854494,772.1884058,1356.695652,0.763157895,48,48186,48269,48768,48958,0,0,0,0,0,0,0,0,0,0,0
